ActionAffinity/&DHFeeblemindSpellDescription	Incapaz de lanzar hechizos.
Feat/&FeatTelekineticWisPullTitle	Atracción telequinética
Feat/&FeatTelekineticWisPushDescription	Empuja telequinéticamente a una criatura lejos de ti.
Feat/&FeatTelekineticWisPushTitle	Empuje telequinético
Feat/&FeatTelekineticWisTitle	Telequinético (Sabiduría)
Feat/&FeatTitanFightingDescription	Obtienes un +2 para impactar contra criaturas de tamaño Grande o mayor.
Feat/&FeatTitanFightingTitle	Estilo de lucha: lucha contra titanes
Feat/&FeatToughDescription	Tu máximo de puntos de vida aumenta en una cantidad igual al doble de tu nivel cuando obtienes esta dote. Siempre que ganes un nivel a partir de entonces, tu máximo de puntos de golpe aumenta en 2 puntos de golpe adicionales.
Feat/&FeatToughTitle	Pese
Feat/&FeatWarCasterDescription	Obtienes ventaja en los controles para mantener la concentración.\nObtienes la capacidad de realizar el componente somático de los hechizos incluso con ambas manos ocupadas.\nCuando el movimiento de una criatura hostil provoca un ataque de oportunidad tuyo, puedes usar tu reacción para lanzar un cantrip a la criatura, en lugar de hacer un ataque de oportunidad. El cantrip debe tener un tiempo de lanzamiento de 1 acción o acción adicional y debe tener como objetivo solo a esa criatura.
Feat/&FeatWarCasterTitle	lanzador de guerra
Feat/&FeatWiseDefenseDescription	Aumenta tu Sabiduría en 1, hasta un máximo de 20.\nMientras no llevas ninguna armadura, tu CA es igual a 10 + tu modificador de Destreza + tu modificador de Sabiduría.
Feat/&FeatWiseDefenseTitle	Defensa sabia
Feat/&FeatWisePrecisionDescription	Puedes usar una acción adicional para seleccionar un arma. Sus ataques cuentan como mágicos y usas tu Sabiduría para tus tiradas de ataque y daño durante 1 minuto. Esta función se puede utilizar dos veces por descanso prolongado.
Feat/&FeatWisePrecisionTitle	Precisión sabia
Feat/&FeatWisIncrementDescription	Aumenta tu Sabiduría en 1, hasta un máximo de 20.
Feat/&FeatWisIncrementTitle	Aumento del atributo de sabiduría
Feat/&FeyTeleportationLanguageTirmarianDescription	Obtienes competencia en Tirmarian.
Feat/&FeyTeleportationLanguageTirmarianTitle	Tirmarian
Feat/&FightingStyleArcheryDescription	Obtienes una bonificación de +2 a las tiradas de ataque con armas a distancia.
Feat/&FightingStyleArcheryTitle	Estilo de lucha: Tiro con arco
Feat/&FightingStyleDefenseDescription	Mientras llevas armadura, obtienes una bonificación de +1 a la CA.
Feat/&FightingStyleDefenseTitle	Estilo de lucha: Defensa
Feat/&FightingStyleDuelingDescription	Cuando empuñas un arma cuerpo a cuerpo en una mano y ninguna otra arma, obtienes una bonificación de +2 a las tiradas de daño con esa arma.
Feat/&FightingStyleDuelingTitle	Estilo de lucha: Duelo
Feat/&FightingStyleGeneralFeatDescription	Puedes seleccionar un estilo de lucha.
Feat/&FightingStyleGeneralFeatitle	Estilo de lucha
Feat/&FightingStyleGreatWeaponDescription	Cuando sacas un 1 o un 2 en un dado de daño por un ataque que haces con un arma cuerpo a cuerpo que empuñas con las dos manos, puedes volver a tirar el dado. Debes usar la nueva tirada, incluso si es un 1 o un 2. El arma debe tener la propiedad de dos manos o versátil para que obtengas este beneficio.
Feat/&FightingStyleGreatWeaponTitle	Estilo de lucha: gran arma
Feat/&FightingStyleProtectionDescription	Cuando una criatura que puedes ver ataca a un objetivo que no seas tú y que esté a menos de 5 pies de ti, puedes usar tu reacción para imponer una desventaja en la tirada de ataque. Debes estar empuñando un escudo.
Feat/&FightingStyleProtectionTitle	Estilo de lucha: Protección
Feat/&FightingStyleTwoWeaponDescription	Cuando participas en una pelea con dos armas, puedes agregar tu modificador de habilidad al daño del segundo ataque.
Feat/&FightingStyleTwoWeaponTitle	Estilo de lucha: dos armas
Feat/&FlameArtillery_2Description	3d8 daño por fuego (Cono).
Feat/&FlameArtillery_2Title	Artillería de fuego (mejorada)
Feat/&FlameArtilleryConstructDescription	Crea un cono de fuego que inflige 2d8 de daño si falla la salvación.
Feat/&FlameArtilleryConstructDescription_3	Crea un cono de fuego que inflige 3d8 de daño si falla la salvación.
Feat/&FlameArtilleryConstructTitle	Construcción de artillería de llamas
Feat/&FlameArtilleryDescription	2d8 daño por fuego (Cono).
Feat/&FlameArtilleryTitle	Artillería de fuego
Feat/&ForceArtillery_2Description	3d8 fuerza de daño y empuja al objetivo 5 pies.
Feat/&ForceArtillery_2Title	Artillería de fuerza (mejorada)
Feat/&ForceArtilleryAdditionalDamageDescription	La construcción mejorada inflige 1d8 más de daño por golpe.
Feat/&ForceArtilleryConstructDescription	Inflige 2d8 de daño de fuerza y ​​empuja al objetivo a 5 pies de distancia de Construct.
Feat/&ForceArtilleryConstructDescription_3	Inflige 3d8 de daño de fuerza y ​​empuja al objetivo a 5 pies de distancia de Construct.
Feat/&ForceArtilleryConstructTitle	Construcción de artillería de fuerza
Feat/&ForceArtilleryDescription	2d8 Fuerza el daño y empuja 5 pies.
Feat/&ForceStrikePowerDescription	Ataque a distancia 1d6 de daño de fuerza de tu compañero de confianza.
Feat/&ForceStrikePowerTitle	Force Sling (Servidor artificial)
Feat/&GauntletsGrappleDescription	Ahora puede atraer a los enemigos al rango cuerpo a cuerpo con una acción adicional e infligir 1d8 de daño por trueno.
Feat/&GauntletsGrappleTitle	Garfio de guantelete
Feat/&HalfCoverShieldDescription	Los aliados en un radio de 10 pies ganan +2 CA.
Feat/&HalfCoverShieldTitle	Cúpula de media cubierta
Feat/&HealerDescription	Obtienes competencia o experiencia en las pruebas de Medicina. Ganas la capacidad de estabilizar a una criatura moribunda así como de revivir una criatura que murió en los últimos 12 segundos una vez por descanso prolongado. Puedes usar una acción para restaurar 1d6 + 4 + puntos de golpe de nivel de personaje un número de veces por breve descanso igual a tu modificador de Sabiduría.
Feat/&HealerResuscitateDescription	Usa una acción para revivir a una criatura que murió en los últimos 15 segundos.
Feat/&HealerResuscitateTitle	Resucitar
Feat/&HealerStabilizeDescription	Usa una acción para estabilizar a una criatura moribunda.
Feat/&HealerStabilizeTitle	Estabilizar
Feat/&HealerTitle	Curador
Feat/&HealerUseMedicineDescription	Puedes usar una acción para restaurar 1d6 + 4 + puntos de golpe de nivel de personaje un número de veces por breve descanso igual a tu modificador de Sabiduría.
Feat/&HealerUseMedicineTitle	usar medicina
Feat/&IncreaseConstructSelectingDescription	Ahora puedes invocar dos construcciones de artillería. Las construcciones pueden ser del mismo modo o de modos diferentes.
Feat/&IncreaseConstructSelectingTitle	Refuerzos
Feat/&InspiringLeaderDescription	Una vez por descanso breve, puedes pasar 10 minutos para inspirar hasta 6 criaturas aliadas (que puedes incluirte a ti) dentro de 30 pies de ti. Cada criatura gana puntos de golpe temporales iguales a tu nivel + tu modificador de Carisma.
Feat/&InspiringLeaderTitle	Líder inspirador
Feat/&IntToAttackAndDamageDescription	Puedes usar tu modificador de Inteligencia, en lugar del modificador de Fuerza o Destreza, para tus tiradas de ataque y daño con Armas Blindadas.
Feat/&IntToAttackAndDamageTitle	Armadura Arma
Feat/&MendingConstructDescription	Repara tu construcción por 2d6 HP durante 1 minuto.
Feat/&MendingConstructTitle	Construcción reparadora
Feat/&ModeSwitchingPoolDescription	Puedes cambiar de modo una vez por breve descanso creando y usando armas temporales.
Feat/&ModeSwitchingPoolTitle	Modo de armadura
Feat/&MoonlitBonusCantripsDescription	Tu control de la luz de la luna ha aumentado a un nuevo nivel. Puedes lanzar los hechizos rayo de luna y fuego de hadas a voluntad.
Feat/&MoonlitBonusCantripsTitle	Control de luz
Feat/&PickPocketFeatDescription	Ganas competencia con Sleight of Hand, o experiencia si ya eres competente. También tienes ventaja en las pruebas de Destreza de Juego de manos.
Feat/&PickPocketFeatTitle	Carterista
Feat/&PowerAlchemistEmboldeningShotsDescription	Obtienes la habilidad de administrar un elixir que envalentona a tus aliados, proporcionándoles 4d6 + modificador de Inteligencia puntos de golpe temporales.
Feat/&PowerAlchemistEmboldeningShotsTitle	Disparos envalentonadores
Feat/&PowerAlchemistGreaterRestorativeElixirsDescription	Una vez al día, puedes lanzar una restauración mayor.
Feat/&PowerAlchemistGreaterRestorativeElixirsTitle	Gran Restauración
Feat/&PowerAlchemistHealElixirsDescription	Una vez al día, puedes lanzar sanar.
Feat/&PowerAlchemistHealElixirsTitle	Sanar
Feat/&PowerAlchemistRestorativeElixirsDescription	Puedes lanzar restauración menor sin gastar un espacio de hechizo. Puedes hacer esto un número de veces por descanso prolongado igual a tu modificador de Inteligencia.
Feat/&PowerAlchemistRestorativeElixirsTitle	Elixires restauradores
Feat/&PowerAttackFeatDescription	Aprendiste a intercambiar precisión para asestar golpes más letales. Cuando atacas con armas cuerpo a cuerpo, puedes elegir recibir una penalización de -3 a tu golpe para hacer un daño adicional igual a 3 + tu bonificación de competencia.
Feat/&PowerAttackFeatTitle	Ataque de poder
Feat/&PowerFalseLifeFromFeatDescription	Reforzándote con un facsímil nigromántico de la vida, ganas 1d4 + 4 Puntos de Golpe Temporales mientras dure.
Feat/&PowerFalseLifeFromFeatTitle	vida falsa
Feat/&PowerInflictWoundsFromFeatDescription	Realiza un ataque de hechizo cuerpo a cuerpo contra una criatura a tu alcance. Con un impacto, el objetivo sufre 3d10 de daño necrótico.
Feat/&PowerInflictWoundsFromFeatTitle	infligir heridas
Feat/&PowerInvisibilityFromFeatDescription	Una criatura que tocas se vuelve invisible hasta que finaliza el hechizo. Cualquier cosa que el objetivo lleve puesto o que lleve es invisible mientras esté en la persona del objetivo. El hechizo finaliza para un objetivo que ataca o lanza un hechizo.
Feat/&PowerInvisibilityFromFeatTitle	Invisibilidad
Feat/&PowerMistyStepFromFeatDescription	Brevemente rodeado de niebla plateada, te teletransportas hasta 30 pies a un espacio desocupado que puedes ver.
Feat/&PowerMistyStepFromFeatTitle	paso brumoso
Feat/&PowerShadowTouchedFromFeatDescription	Aprende a lanzar los hechizos de invisibilidad, vida falsa e infligir heridas.
Feat/&PowerShadowTouchedFromFeatTitle	Sombra tocada
Feat/&ProfChefTreatActionDescription	Come una golosina como acción adicional y gana 5 puntos de golpe temporales.
Feat/&ProfChefTreatActionTitle	Coma la delicia del chef
Feat/&ProfChefTreatCookDescription	Dedique una hora a cocinar golosinas que, cuando se comen, proporcionan 5 puntos de golpe temporales.
Feat/&ProfChefTreatCookTitle	Cocinero delicia del chef
Feat/&ProfChefTreatDescription	Come como acción adicional y gana 5 puntos de golpe temporales.
Feat/&ProfChefTreatTitle	Trato del chef
Feat/&ProfHealerMedicineDescription	Obtiene competencia en Medicina, o experiencia si ya es competente.
Feat/&ProfHealerMedicineTitle	Conocimiento de la medicina
Feat/&ProtectorConstructAttackDescription	El constructo protector realiza un ataque que inflige 1d10 de daño por fuerza.
Feat/&ProtectorConstructAttackTitle	Desgarro forzado
Feat/&ProtectorConstructDescription	Es amistoso contigo y tus compañeros, y obedece tus órdenes.
Feat/&ProtectorConstructDescription_5	Mejora de construcción protectora.
Feat/&ProtectorConstructLevel15AutopreparedSpellsDescription	Obtienes hechizos de bonificación que se consideran hechizos de Tinkerer para ti, siempre están preparados y no cuentan contra la cantidad de hechizos de Tinkerer que conoces.
Feat/&ProtectorConstructLevel15AutopreparedSpellsTitle	Hechizos de construcción protectora
Feat/&ProtectorConstructLevel3AutopreparedSpellsDescription	Obtienes hechizos de bonificación que se consideran hechizos de Tinkerer para ti, siempre están preparados y no cuentan contra la cantidad de hechizos de Tinkerer que conoces.
Feat/&ProtectorConstructLevel3AutopreparedSpellsTitle	Hechizos de construcción protectora
Feat/&ProtectorConstructTitle	Construcción protectora
Feat/&ProtectorConstructTitle_5	Mejora de construcción protectora
Feat/&RecklessFuryFeatDescription	Obtienes la capacidad de entrar en furia durante un minuto una vez al día sin ninguna restricción de armadura.\nPuedes atacar imprudentemente, ganando ventaja en tus ataques cuerpo a cuerpo mientras das ventaja a tus atacantes hasta el comienzo de tu próximo turno.
Feat/&RecklessFuryFeatTitle	furia imprudente
Feat/&ResummonArtilleryConstruct_03Title	Reanudar la construcción de artillería 1
Feat/&ResummonArtilleryConstruct_09Title	Reanudar la construcción de artillería 2
Feat/&ResummonArtilleryConstruct_15Title	Reanudar la construcción de artillería 3
Feat/&ResummonArtilleryConstructDescription	Este hechizo le permite al Tinkerer volver a convocar una construcción de artillería en uno de los múltiples modos después de que expire la convocatoria inicial. La construcción reinvocada también dura 1 hora.
Feat/&RetributionDescription	Construct hace 1d4 + tu modificador de Inteligencia de daño por fuerza al atacante cuando es golpeado por un ataque.
Feat/&RetributionTitle	Venganza
Feat/&ScoutSentinelFeatureSet_level03Description	<size=17><color=#add8e6ff>Múltiples funciones de armadura</color></size>\nPuede cambiar entre los modos de función una vez al día creando y usando armas temporales\n\n<size=17><color=#add8e6ff>Modo centinela</color></size>\nObtenga un número limitado de HP temporales según el nivel. Imponer desventaja a los enemigos que atacan a los aliados\n\n<size=17><color=#add8e6ff>Modo Explorador</color></size>\nObtenga mayor movimiento, ventaja de sigilo y un ataque a distancia que inflige un dado adicional de daño una vez por turno.\n\n<size=17><color=#add8e6ff>Características</color></size>\nPuedes usar las armas de la armadura como un foco de lanzamiento de hechizos para tus hechizos.\nHeavy Armor no tiene un requisito de fuerza\nObtienes competencia en herramientas de herrero y armaduras pesadas.
Feat/&ScoutSentinelFeatureSet_level03Title	Centinela explorador
Feat/&ScoutSentinelFeatureSet_level05Description	<size=17><color=#add8e6ff>Ataque adicional</color></size>\nPuedes atacar una vez más, por turno de combate, cuando usas las acciones de ataque o empujón.
Feat/&ScoutSentinelFeatureSet_level05Title	Centinela explorador
Feat/&ScoutSentinelFeatureSet_level09Description	<size=17><color=#add8e6ff>Ranuras de infusión adicionales</color></size>\nObtienes ranuras de infusión adicionales, debes usarlas en armaduras.
Feat/&ScoutSentinelFeatureSet_level09Title	Centinela explorador
Feat/&ScoutSentinelFeatureSet_level15Description	<size=17><color=#add8e6ff>Modo centinela mejorado</color></size>\nAhora puede llevar a los enemigos al rango cuerpo a cuerpo con una acción adicional e infligir 1d8 de daño de trueno a través del poder Gauntlet Grapple.\n\n<size=17><color=#add8e6ff>Modo Explorador mejorado</color></size>\nAhora puede crear ventajas para los aliados y desventajas para los enemigos con un solo ataque.
Feat/&ScoutSentinelFeatureSet_level15Title	Centinela explorador
Feat/&SelfDestructDescription	Autodestruirse y forzar una tirada de salvación de Destreza para criaturas dentro de 10 pies. Si falla, inflige 3d8 de daño por fuerza.
Feat/&SelfDestructTitle	Auto destrucción
Feat/&SelfRepairDescription	Cura 2d8 PS, 3 veces al día.
Feat/&SelfRepairTitle	Auto-reparación
Feat/&SubclassMovementDescription	La armadura pesada no tiene un requisito de Fuerza.
Feat/&SubclassMovementTitle	Inmunidad de armadura pesada
Feat/&SubclassProficienciesDescription	Obtienes competencia en herramientas de herrero y armaduras pesadas.
