ActionAffinity/&DHFeeblemindSpellDescription	Incapaz de lançar feitiços.
Feat/&FeatTelekineticWisPushTitle	Empurrão Telecinético
Feat/&FeatTelekineticWisTitle	Telecinética (Sabedoria)
Feat/&FeatTitanFightingDescription	Você ganha +2 para acertar contra criaturas de tamanho Grande ou maior.
Feat/&FeatTitanFightingTitle	Estilo de luta: Titan Fighting
Feat/&FeatToughDescription	Seu máximo de pontos de vida aumenta em uma quantidade igual ao dobro do seu nível quando você ganha este talento. Sempre que você ganha um nível depois disso, seu máximo de pontos de vida aumenta em 2 pontos de vida adicionais.
Feat/&FeatToughTitle	Difícil
Feat/&FeatWarCasterDescription	Você ganha vantagem em testes para manter a concentração.\nVocê ganha a habilidade de realizar o componente somático de feitiços mesmo com as duas mãos ocupadas.\nQuando o movimento de uma criatura hostil provoca um ataque de oportunidade de você, você pode usar sua reação para lançar um truque na criatura, em vez de fazer um ataque de oportunidade. O truque deve ter um tempo de lançamento de 1 ação ou ação bônus e deve ter como alvo apenas aquela criatura.
Feat/&FeatWarCasterTitle	Conjurador de Guerra
Feat/&FeatWiseDefenseDescription	Aumente sua Sabedoria em 1, até um máximo de 20.\nEnquanto você não estiver usando nenhuma armadura, sua CA é igual a 10 + seu modificador de Destreza + seu modificador de Sabedoria.
Feat/&FeatWiseDefenseTitle	Defesa Sábia
Feat/&FeatWisePrecisionDescription	Você pode usar uma ação bônus para selecionar uma arma. Seus ataques contam como mágicos e você usa sua Sabedoria para suas jogadas de ataque e dano por 1 minuto. Esta característica pode ser usada duas vezes por descanso longo.
Feat/&FeatWisePrecisionTitle	Sábia Precisão
Feat/&FeatWisIncrementDescription	Aumente sua Sabedoria em 1, até um máximo de 20.
Feat/&FeatWisIncrementTitle	Aumento de Atributo de Sabedoria
Feat/&FeyTeleportationLanguageTirmarianDescription	Você ganha proficiência em Tirmarian.
Feat/&FeyTeleportationLanguageTirmarianTitle	Timariano
Feat/&FightingStyleArcheryDescription	Você ganha um bônus de +2 nas jogadas de ataque com armas de longo alcance.
Feat/&FightingStyleArcheryTitle	Estilo de luta: Tiro com arco
Feat/&FightingStyleDefenseDescription	Enquanto estiver usando armadura, você ganha um bônus de +1 na CA.
Feat/&FightingStyleDefenseTitle	Estilo de luta: Defesa
Feat/&FightingStyleDuelingDescription	Quando você está empunhando uma arma corpo a corpo em uma mão e nenhuma outra arma, você ganha um bônus de +2 nas jogadas de dano com aquela arma.
Feat/&FightingStyleDuelingTitle	Estilo de luta: Duelo
Feat/&FightingStyleGeneralFeatDescription	Você pode selecionar um estilo de luta.
Feat/&FightingStyleGeneralFeatitle	Estilo de luta
Feat/&FightingStyleGreatWeaponDescription	Quando você rola 1 ou 2 em um dado de dano para um ataque que você faz com uma arma corpo a corpo que você está empunhando com as duas mãos, você pode rolar o dado novamente. Você deve usar a nova rolagem, mesmo que seja 1 ou 2. A arma deve ter a propriedade de duas mãos ou versátil para que você ganhe esse benefício.
Feat/&FightingStyleGreatWeaponTitle	Estilo de luta: Grande arma
Feat/&FightingStyleProtectionDescription	Quando uma criatura que você pode ver ataca um alvo diferente de você que está a até 1,5 metro de você, você pode usar sua reação para impor desvantagem na jogada de ataque. Você deve estar empunhando um escudo.
Feat/&FightingStyleProtectionTitle	Estilo de luta: Proteção
Feat/&FightingStyleTwoWeaponDescription	Quando você luta com duas armas, você pode adicionar seu modificador de habilidade ao dano do segundo ataque.
Feat/&FightingStyleTwoWeaponTitle	Estilo de luta: Duas armas
Feat/&FlameArtillery_2Description	3d8 de dano de fogo (Cone).
Feat/&FlameArtillery_2Title	Artilharia Flamejante (Melhorada)
Feat/&FlameArtilleryConstructDescription	Cria um cone de fogo que causa 2d8 de dano se falhar na resistência.
Feat/&FlameArtilleryConstructDescription_3	Cria um cone de fogo que causa 3d8 de dano se falhar na resistência.
Feat/&FlameArtilleryConstructTitle	Construção de Artilharia Flamejante
Feat/&FlameArtilleryConstructTitle_3	Construção de Artilharia Flamejante
Feat/&FlameArtilleryConstructTitle_5	Construção de Artilharia Flamejante
Feat/&FlameArtilleryDescription	2d8 de dano de fogo (Cone).
Feat/&FlameArtilleryTitle	Artilharia Flamejante
Feat/&ForceArtillery_2Description	3d8 de dano de força e empurra o alvo 1,5 m.
Feat/&ForceArtillery_2Title	Artilharia da Força (Aprimorado)
Feat/&ForceArtilleryAdditionalDamageDescription	O constructo atualizado causa 1d8 a mais de dano por acerto.
Feat/&ForceArtilleryConstructDescription	Causa 2d8 de dano de força e empurra o alvo 1,5 metro para longe do Constructo.
Feat/&ForceArtilleryConstructDescription_3	Causa 3d8 de dano de força e empurra o alvo 1,5m para longe do Constructo.
Feat/&ForceArtilleryConstructTitle	Força Artilharia Construída
Feat/&ForceArtilleryConstructTitle_3	Força Artilharia Construída
Feat/&ForceArtilleryConstructTitle_5	Força Artilharia Construída
Feat/&ForceArtilleryDescription	2d8 de dano de Força e empurrão 1,5 m.
Feat/&ForceStrikePowerDescription	Ataque à distância 1d6 de dano de força do seu fiel ajudante.
Feat/&ForceStrikePowerTitle	Force Sling (Servo Artificial)
Feat/&GauntletsGrappleDescription	Agora pode puxar inimigos para o alcance corpo a corpo com uma ação bônus e causar 1d8 de dano trovejante.
Feat/&GauntletsGrappleTitle	Garra de manopla
Feat/&HalfCoverShieldDescription	Aliados a até 3 metros ganham +2 AC.
Feat/&HalfCoverShieldTitle	Cúpula Meia Cobertura
Feat/&HealerDescription	Você ganha proficiência ou perícia em testes de Medicina. Você ganha a habilidade de estabilizar uma criatura moribunda, bem como reviver uma criatura que morreu nos últimos 12 segundos uma vez por descanso longo. Você pode usar uma ação para restaurar 1d6 + 4 + pontos de vida do nível do personagem um número de vezes por descanso curto igual ao seu modificador de Sabedoria.
Feat/&HealerResuscitateDescription	Use uma ação para reviver uma criatura que morreu nos últimos 15 segundos.
Feat/&HealerResuscitateTitle	Ressuscitar
Feat/&HealerStabilizeDescription	Use uma ação para estabilizar uma criatura moribunda.
Feat/&HealerStabilizeTitle	Estabilizar
Feat/&HealerTitle	Curador
Feat/&HealerUseMedicineDescription	Você pode usar uma ação para restaurar 1d6 + 4 + pontos de vida do nível do personagem um número de vezes por descanso curto igual ao seu modificador de Sabedoria.
Feat/&HealerUseMedicineTitle	Usar Medicina
Feat/&IncreaseConstructSelectingDescription	Agora você pode convocar dois Constructos de Artilharia. As construções podem ser do mesmo modo ou de modos diferentes.
Feat/&IncreaseConstructSelectingTitle	Reforços
Feat/&InspiringLeaderDescription	Uma vez por descanso curto, você pode gastar 10 minutos para inspirar até 6 criaturas amigas (que podem incluir você mesmo) a até 9 metros de você. Cada criatura ganha pontos de vida temporários iguais ao seu nível + seu modificador de Carisma.
Feat/&InspiringLeaderTitle	Líder inspirador
Feat/&IntToAttackAndDamageDescription	Você pode usar seu modificador de Inteligência, em vez do modificador de Força ou Destreza, para suas jogadas de ataque e dano com Armas de Armadura.
Feat/&IntToAttackAndDamageTitle	Arma de Armadura
Feat/&MendingConstructDescription	Conserte sua construção em 2d6 HP ao longo de 1 minuto.
Feat/&MendingConstructTitle	Consertando Construto
Feat/&ModeSwitchingPoolDescription	Você pode alternar entre os modos uma vez por descanso curto criando e usando armas temporárias.
Feat/&ModeSwitchingPoolTitle	Modo de armadura
Feat/&MoonlitBonusCantripsDescription	Seu controle da luz da lua aumentou para um novo nível. Você pode lançar os feitiços Moonbeam e Faerie Fire à vontade.
Feat/&MoonlitBonusCantripsTitle	Controle de luz
Feat/&PickPocketFeatDescription	Você ganha proficiência com Prestidigitação, ou perícia se já for proficiente. Você também tem vantagem em testes de Prestidigitação.
Feat/&PickPocketFeatTitle	Batedor de carteiras
Feat/&PowerAlchemistEmboldeningShotsDescription	Você ganha a habilidade de administrar um elixir que encoraja seus aliados, fornecendo a eles 4d6 + modificador de Inteligência pontos de vida temporários.
Feat/&PowerAlchemistEmboldeningShotsTitle	Tiros encorajadores
Feat/&PowerAlchemistGreaterRestorativeElixirsDescription	Uma vez por dia, você pode lançar uma restauração maior.
Feat/&PowerAlchemistGreaterRestorativeElixirsTitle	Maior Restauração
Feat/&PowerAlchemistHealElixirsDescription	Uma vez por dia, você pode lançar curar.
Feat/&PowerAlchemistHealElixirsTitle	Curar
Feat/&PowerAlchemistRestorativeElixirsDescription	Você pode lançar uma restauração menor sem gastar um espaço de magia. Você pode fazer isso um número de vezes por descanso longo igual ao seu modificador de Inteligência.
Feat/&PowerAlchemistRestorativeElixirsTitle	Elixires Restauradores
Feat/&PowerAttackFeatDescription	Você aprendeu a trocar precisão para acertar golpes mais mortais. Ao atacar com armas corpo a corpo, você pode escolher receber uma penalidade de -3 no seu ataque para causar dano adicional igual a 3 + seu bônus de proficiência.
Feat/&PowerAttackFeatTitle	Ataque Poderoso
Feat/&PowerFalseLifeFromFeatDescription	Reforçando-se com um fac-símile necromântico da vida, você ganha 1d4 + 4 Pontos de Vida Temporários pela duração.
Feat/&PowerFalseLifeFromFeatTitle	Vida Falsa
Feat/&PowerInflictWoundsFromFeatDescription	Faça um ataque corpo a corpo mágico contra uma criatura ao seu alcance. Em um acerto, o alvo sofre 3d10 de dano necrótico.
Feat/&PowerInflictWoundsFromFeatTitle	Infligir Ferimentos
Feat/&PowerInvisibilityFromFeatDescription	Uma criatura que você toca torna-se invisível até que a magia termine. Qualquer coisa que o alvo esteja vestindo ou carregando é invisível enquanto estiver na pessoa do alvo. A magia termina para um alvo que ataque ou conjure uma magia.
Feat/&PowerInvisibilityFromFeatTitle	Invisibilidade
Feat/&PowerMistyStepFromFeatDescription	Brevemente cercado por névoa prateada, você se teletransporta até 9 metros para um espaço desocupado que você pode ver.
Feat/&PowerMistyStepFromFeatTitle	Passo Nebuloso
Feat/&PowerShadowTouchedFromFeatDescription	Aprenda a lançar os feitiços invisibilidade, vida falsa e infligir feridas.
Feat/&PowerShadowTouchedFromFeatTitle	Sombra Tocada
Feat/&ProfChefTreatActionDescription	Coma uma guloseima como uma ação bônus e ganhe 5 pontos de vida temporários.
Feat/&ProfChefTreatActionTitle	Coma o deleite do chef
Feat/&ProfChefTreatCookDescription	Gaste uma hora para cozinhar guloseimas que, quando comidas, fornecem 5 pontos de vida temporários.
Feat/&ProfChefTreatCookTitle	Cozinhe o deleite do chef
Feat/&ProfChefTreatDescription	Coma como uma ação bônus e ganhe 5 pontos de vida temporários.
Feat/&ProfChefTreatTitle	Delícia do Chef
Feat/&ProfHealerMedicineDescription	Você ganha proficiência em Medicina, ou perícia se já for proficiente.
Feat/&ProfHealerMedicineTitle	Conhecimento em Medicina
Feat/&ProtectorConstructAttackDescription	O constructo protetor realiza um ataque que causa 1d10 de dano de força.
Feat/&ProtectorConstructAttackTitle	Forçar rasgo
Feat/&ProtectorConstructDescription	É amigável com você e seus companheiros e obedece aos seus comandos.
Feat/&ProtectorConstructDescription_5	Atualização de construção protetora.
Feat/&ProtectorConstructLevel15AutopreparedSpellsDescription	Você ganha feitiços bônus que são considerados feitiços de Tinkerer para você, eles estão sempre preparados e não contam para o número de feitiços de Tinkerer que você conhece.
Feat/&ProtectorConstructLevel15AutopreparedSpellsTitle	Feitiços de construção protetora
Feat/&ProtectorConstructLevel3AutopreparedSpellsDescription	Você ganha feitiços bônus que são considerados feitiços de Tinkerer para você, eles estão sempre preparados e não contam para o número de feitiços de Tinkerer que você conhece.
Feat/&ProtectorConstructLevel3AutopreparedSpellsTitle	Feitiços de construção protetora
Feat/&ProtectorConstructTitle	Construto Protetor
Feat/&ProtectorConstructTitle_5	Atualização de construção protetora
Feat/&RecklessFuryFeatDescription	Você ganha a habilidade de entrar em fúria por um minuto uma vez por dia sem nenhuma restrição de armadura.\nVocê pode atacar de forma imprudente, ganhando vantagem em seus ataques corpo a corpo enquanto dá vantagem aos seus atacantes até o início do seu próximo turno.
Feat/&RecklessFuryFeatTitle	Fúria Imprudente
Feat/&ResummonArtilleryConstruct_03Title	Retomar Construto de Artilharia 1
Feat/&ResummonArtilleryConstruct_09Title	Retomar Construto de Artilharia 2
Feat/&ResummonArtilleryConstruct_15Title	Retomar Construto de Artilharia 3
Feat/&ResummonArtilleryConstructDescription	Este feitiço permite que o Tinkerer ressuscite um Artillery Construct em um dos vários modos após a convocação inicial expirar. A construção recuperada também dura 1 hora.
Feat/&RetributionDescription	Constructo causa 1d4 + seu modificador de Inteligência de dano de força ao atacante quando é atingido por um ataque.
Feat/&RetributionTitle	Retribuição
Feat/&ScoutSentinelFeatureSet_level03Description	<size=17><color=#add8e6ff>Várias funções de armadura</color></size>\nVocê pode alternar entre os modos de função uma vez por dia criando e usando armas temporárias\n\n<size=17><color=#add8e6ff>Modo Sentinela</color></size>\nGanhe um número limitado de HP temporário com base no nível. Impor desvantagem em inimigos atacando aliados\n\n<size=17><color=#add8e6ff>Modo Explorador</color></size>\nGanhe movimento aumentado, vantagem furtiva e um ataque à distância que causa um dado extra de dano uma vez por turno.\n\n<size=17><color=#add8e6ff>Recursos</color></size>\nVocê pode usar as armas da armadura como um foco de conjuração para seus feitiços\nArmadura Pesada não tem um requisito de força\nVocê ganha proficiência em ferramentas de ferreiro e armaduras pesadas.
Feat/&ScoutSentinelFeatureSet_level03Title	Sentinela Escoteira
Feat/&ScoutSentinelFeatureSet_level05Description	<size=17><color=#add8e6ff>Ataque Extra</color></size>\nVocê pode atacar mais uma vez, por turno de combate, quando usar as ações de ataque ou empurrão.
Feat/&ScoutSentinelFeatureSet_level05Title	Sentinela Escoteira
Feat/&ScoutSentinelFeatureSet_level09Description	<size=17><color=#add8e6ff>Slots de infusão extra</color></size>\nVocê ganha slots de infusão extras, deve ser usado em armaduras.
Feat/&ScoutSentinelFeatureSet_level09Title	Sentinela Escoteira
Feat/&ScoutSentinelFeatureSet_level15Description	<size=17><color=#add8e6ff>Modo Sentinela Aprimorado</color></size>\nAgora pode puxar os inimigos para o alcance corpo a corpo com uma ação bônus e causar 1d8 de dano trovejante através do poder Gauntlet Grapple\n\n<size=17><color=#add8e6ff>Modo Explorador Aprimorado</color></size>\nAgora pode criar vantagem para aliados e desvantagem para inimigos com um único ataque.
Feat/&ScoutSentinelFeatureSet_level15Title	Sentinela Escoteira
Feat/&SelfDestructDescription	Se autodestrua e force um teste de resistência de Destreza para criaturas a até 3 metros. Em uma falha, cause 3d8 de dano de força.
