ActionAffinity/&DHFeeblemindSpellDescription	No puede lanzar hechizos.
Feat/&FightingStyleProtectionDescription	Cuando una criatura que puedes ver ataca a un objetivo que no seas tÃº y que estÃ© a menos de 1,5 metros de ti, puedes usar tu reacciÃ³n para imponer desventaja en la tirada de ataque. Debes estar blandiendo un escudo.
Feat/&FightingStyleProtectionTitle	Estilo de lucha: ProtecciÃ³n
Feat/&FightingStyleTwoWeaponDescription	Cuando participas en un combate con dos armas, puedes aÃ±adir tu modificador de habilidad al daÃ±o del segundo ataque.
Feat/&FightingStyleTwoWeaponTitle	Estilo de lucha: Dos Armas
Feat/&FlameArtillery_2Description	3d8 de daÃ±o por fuego (Cono).
Feat/&FlameArtillery_2Title	ArtillerÃ­a de llamas (mejorada)
Feat/&FlameArtilleryConstructDescription	Crea un cono de fuego que inflige 2d8 de daÃ±o en una salvaciÃ³n fallida.
Feat/&FlameArtilleryConstructDescription_3	Crea un cono de fuego que inflige 3d8 de daÃ±o en una salvaciÃ³n fallida.
Feat/&FlameArtilleryConstructTitle	ConstrucciÃ³n de artillerÃ­a de llamas
Feat/&FlameArtilleryConstructTitle_3	ConstrucciÃ³n de artillerÃ­a de llamas
Feat/&FlameArtilleryConstructTitle_5	Constructo de artillerÃ­a de llamas
Feat/&FlameArtilleryDescription	2d8 de daÃ±o de fuego (Cono).
Feat/&FlameArtilleryTitle	ArtillerÃ­a de llamas
Feat/&ForceArtillery_2Description	3d8 de daÃ±o de Fuerza y empuja al objetivo 5 pies.
Feat/&ForceArtillery_2Title	ArtillerÃ­a de Fuerza (Mejorada)
Feat/&ForceArtilleryAdditionalDamageDescription	El constructo mejorado inflige 1d8 mÃ¡s de daÃ±o por impacto.
Feat/&ForceArtilleryConstructDescription	Inflige 2d8 de daÃ±o de fuerza y empuja al objetivo a 1,5 m del constructo.
Feat/&ForceArtilleryConstructDescription_3	Inflige 3d8 de daÃ±o de fuerza y aleja al objetivo 1,5 m del constructo.
Feat/&ForceArtilleryConstructTitle	Constructo de artillerÃ­a de fuerza
Feat/&ForceArtilleryConstructTitle_3	Constructo de artillerÃ­a de fuerza
Feat/&ForceArtilleryConstructTitle_5	Constructo de artillerÃ­a de fuerza
Feat/&ForceArtilleryDescription	Causa 2d8 de daÃ±o de fuerza y empuja a 1,5 m.
Feat/&ForceStrikePowerDescription	Ataque a distancia 1d6 de daÃ±o de fuerza de tu fiel compaÃ±ero.
Feat/&ForceStrikePowerTitle	Honda de la fuerza (siervo artificial)
Feat/&GauntletsGrappleDescription	Ahora puede arrastrar a los enemigos a distancia de cuerpo a cuerpo con una acciÃ³n adicional e infligir 1d8 de daÃ±o de trueno.
Feat/&GauntletsGrappleTitle	Agarre con guante
Feat/&HalfCoverShieldDescription	Otorga +2 de CA mientras estÃ© a 10 pies.
Feat/&HalfCoverShieldTitle	CÃºpula de media cobertura
Feat/&HealerDescription	Ganas competencia o pericia en los chequeos de Medicina. Obtienes la habilidad de estabilizar a una criatura moribunda asÃ­ como de revivir a una criatura que haya muerto en los Ãºltimos 12 segundos una vez por descanso largo. Puedes usar una acciÃ³n para restaurar 1d6 + 4 + nivel de personaje puntos de golpe un nÃºmero de veces por descanso corto igual a tu modificador de SabidurÃ­a.
Feat/&HealerResuscitateDescription	Utiliza una acciÃ³n para revivir a una criatura que haya muerto en los Ãºltimos 15 segundos.
Feat/&HealerResuscitateTitle	Resucitar
Feat/&HealerStabilizeDescription	Utiliza una acciÃ³n para estabilizar a una criatura moribunda.
Feat/&HealerStabilizeTitle	Estabilizar
Feat/&HealerTitle	Sanador
Feat/&HealerUseMedicineDescription	Puedes usar una acciÃ³n para restaurar 1d6 + 4 + nivel de personaje puntos de golpe un nÃºmero de veces por descanso corto igual a tu modificador de SabidurÃ­a.
Feat/&HealerUseMedicineTitle	Usar Medicina
Feat/&IncreaseConstructSelectingDescription	Ahora puedes invocar dos Constructos de ArtillerÃ­a. Los constructos pueden ser de la misma o diferente modalidad.
Feat/&IncreaseConstructSelectingTitle	Refuerzos
Feat/&InspiringLeaderDescription	Dedica 10 minutos a inspirar hasta 6 criaturas amigas (entre las que puedes incluirte) en un radio de 30 pies de ti. Cada criatura gana puntos de golpe temporales iguales a tu nivel + tu modificador de Carisma. Se puede utilizar una vez por descanso corto.
Feat/&InspiringLeaderTitle	LÃ­der inspirador
Feat/&IntToAttackAndDamageDescription	Puedes usar tu modificador de Inteligencia, en lugar del modificador de Fuerza o Destreza, para tus tiradas de ataque y daÃ±o con Armas de Armadura.
Feat/&IntToAttackAndDamageTitle	Arma de Armadura
Feat/&MendingConstructDescription	Repara tu constructo por 2d6 HP durante 1 min.
Feat/&MendingConstructTitle	Constructora reparadora
Feat/&ModeSwitchingPoolDescription	Puedes cambiar de modo una vez al dÃ­a creando y usando armas temporales.
Feat/&ModeSwitchingPoolTitle	Modo Armadura
Feat/&MoonlitBonusCantripsDescription	Tu control de la luz lunar ha aumentado a un nuevo nivel. Puedes lanzar Rayo de luna y Fuego de hada a voluntad.
Feat/&MoonlitBonusCantripsTitle	Control de la luz
Feat/&PickPocketFeatDescription	Ganas competencia en Juego de manos, o experiencia si ya eres competente. TambiÃ©n tienes ventaja en los chequeos de Destreza de Juego de Manos.
Feat/&PickPocketFeatTitle	Carterista
Feat/&PowerAlchemistEmboldeningShotsDescription	Obtienes la habilidad de administrar un elixir que envalentona a tus aliados, proporcionÃ¡ndoles 4d6 + modificador de Inteligencia puntos de golpe temporales.
Feat/&PowerAlchemistEmboldeningShotsTitle	Tiros envalentonados
Feat/&PowerAlchemistGreaterRestorativeElixirsDescription	Una vez al dÃ­a, puedes lanzar RestauraciÃ³n mayor.
Feat/&PowerAlchemistGreaterRestorativeElixirsTitle	RestauraciÃ³n mayor
Feat/&PowerAlchemistHealElixirsDescription	Una vez al dÃ­a, puedes lanzar SanaciÃ³n.
Feat/&PowerAlchemistHealElixirsTitle	Sanar
Feat/&PowerAlchemistRestorativeElixirsDescription	Puedes lanzar RotaciÃ³n menor sin gastar una ranura de hechizo. Puedes hacer esto un nÃºmero de veces por descanso largo igual a tu modificador de Inteligencia.
Feat/&PowerAlchemistRestorativeElixirsTitle	Elixires reconstituyentes
Feat/&PowerAttackFeatDescription	Has aprendido a cambiar la precisiÃ³n por golpes mÃ¡s mortÃ­feros. Cuando atacas con armas cuerpo a cuerpo, puedes elegir sufrir una penalizaciÃ³n de -3 a tu golpe para hacer un daÃ±o adicional igual a 3 + tu bonificador de competencia.
Feat/&PowerAttackFeatTitle	Ataque de poder
Feat/&PowerFalseLifeFromFeatDescription	Al reforzarte con un facsÃ­mil nigromÃ¡ntico de vida, ganas 1d4+4 puntos de golpe temporales durante la duraciÃ³n.
Feat/&PowerFalseLifeFromFeatTitle	Vida falsa
Feat/&PowerInflictWoundsFromFeatDescription	Realiza un ataque de hechizo cuerpo a cuerpo contra una criatura que puedas alcanzar. Si aciertas, el objetivo recibe 3d10 puntos de daÃ±o necrÃ³tico.
Feat/&PowerInflictWoundsFromFeatTitle	Infligir Heridas
Feat/&PowerInvisibilityFromFeatDescription	Una criatura que toques se vuelve Invisible hasta que el hechizo termine. Cualquier cosa que el objetivo lleve puesta o porte es Invisible mientras estÃ© en su persona. El hechizo termina para un objetivo que ataca o lanza un hechizo.
Feat/&PowerInvisibilityFromFeatTitle	Invisibilidad
Feat/&PowerMistyStepFromFeatDescription	Rodeado brevemente por una niebla plateada, te teletransportas hasta 30 pies a un espacio desocupado que puedas ver.
Feat/&PowerMistyStepFromFeatTitle	Paso de la Niebla
Feat/&PowerShadowTouchedFromFeatDescription	Aprende a lanzar los hechizos Invisibilidad, Vida falsa e Infligir heridas.
Feat/&PowerShadowTouchedFromFeatTitle	Aprender Invisibilidad, Vida Falsa e Infligir Heridas
Feat/&ProfChefTreatActionDescription	Come una golosina como acciÃ³n adicional y gana 5 puntos de golpe temporales.
Feat/&ProfChefTreatActionTitle	Comer golosina del chef
Feat/&ProfChefTreatCookDescription	Dedica una hora a cocinar golosinas que al comerlas proporcionan 5 puntos de golpe temporales.
Feat/&ProfChefTreatCookTitle	Cocinar un bocadillo del chef
Feat/&ProfChefTreatDescription	Come como acciÃ³n adicional y gana 5 puntos de vida temporales.
Feat/&ProfChefTreatTitle	Trato de Chef
Feat/&ProfHealerMedicineDescription	Gana competencia en Medicina, o pericia si ya eres competente.
Feat/&ProfHealerMedicineTitle	Conocimiento de Medicina
Feat/&ProtectorConstructAttackDescription	Melee 1d10 de daÃ±o de fuerza del constructo protector.
Feat/&ProtectorConstructAttackTitle	Rendimiento de fuerza
Feat/&ProtectorConstructDescription	Es amigable contigo y tus compaÃ±eros, y obedece tus Ã³rdenes.
Feat/&ProtectorConstructDescription_5	Mejora del constructo protector.
Feat/&ProtectorConstructLevel15AutopreparedSpellsDescription	Ganas hechizos adicionales que se consideran hechizos de Tinker para ti, siempre estÃ¡n preparados y no cuentan contra el nÃºmero de hechizos de Tinker que conoces.
Feat/&ProtectorConstructLevel15AutopreparedSpellsTitle	Hechizos del Constructor Protector
Feat/&ProtectorConstructLevel3AutopreparedSpellsDescription	Ganas hechizos de bonificaciÃ³n que se consideran hechizos de Hojalatero para ti, siempre estÃ¡n preparados y no cuentan contra el nÃºmero de hechizos de Hojalatero que conoces.
Feat/&ProtectorConstructLevel3AutopreparedSpellsTitle	Hechizos de Constructor Protector
Feat/&ProtectorConstructTitle	Constructo Protector
Feat/&ProtectorConstructTitle_5	Mejora del Constructo Protector
Feat/&RecklessFuryFeatDescription	Obtienes la habilidad de entrar en furia durante un minuto una vez al dÃ­a (ten en cuenta que no hay restricciÃ³n de armadura), y puedes atacar temerariamente ganando ventaja en tus ataques cuerpo a cuerpo mientras das ventaja a tus atacantes hasta tu siguiente turno.
Feat/&RecklessFuryFeatTitle	Furia temeraria
Feat/&ResummonArtilleryConstruct_03Title	Invocar construcciÃ³n de artillerÃ­a 1
Feat/&ResummonArtilleryConstruct_09Title	Invocar construcciÃ³n de artillerÃ­a 2
Feat/&ResummonArtilleryConstruct_15Title	Invocar construcciÃ³n de artillerÃ­a 3
Feat/&ResummonArtilleryConstructDescription	Este hechizo permite al Hechicero volver a invocar un constructo de artillerÃ­a en uno de sus mÃºltiples modos despuÃ©s de que expire la invocaciÃ³n inicial. El constructo invocado tambiÃ©n dura 1 hora.
Feat/&RetributionDescription	El constructo hace 1d4 + tu modificador de Inteligencia de daÃ±o de fuerza al atacante cuando es golpeado por un ataque.
Feat/&RetributionTitle	RetribuciÃ³n
Feat/&ScoutSentinelFeatureSet_level03Description	<size=17><color=#add8e6ff>MÃºltiples funciones de armadura</color></size>\nPuedes cambiar entre los modos de funciÃ³n una vez al dÃ­a creando y usando armas temporales\n\n<size=17><color=#add8e6ff>Modo centinela</color></size>\nGana un nÃºmero limitado de PS temporales segÃºn el nivel. Impone desventaja a los enemigos que atacan a los aliados\n\n<size=17><color=#add8e6ff>Modo Explorador</color></size>\nObtiene mayor movimiento, ventaja de sigilo y un ataque a distancia que inflige un dado extra de daÃ±o una vez por turno. \n\n<size=17><color=#add8e6ff>CaracterÃ­sticas</color></size>\nPuedes usar las armas de la armadura como foco de conjuro para tus hechizos\nLa armadura pesada no tiene un requisito de fuerza\nGanas competencia en herramientas de herrero y armadura pesada.
Feat/&ScoutSentinelFeatureSet_level03Title	Centinela explorador
Feat/&ScoutSentinelFeatureSet_level05Description	<size=17><color=#add8e6ff>Ataque extra</color></size>\nPuedes atacar una vez mÃ¡s, por turno de combate, cuando uses las acciones de ataque o empuje.
Feat/&ScoutSentinelFeatureSet_level05Title	Centinela explorador
Feat/&ScoutSentinelFeatureSet_level09Description	<size=17><color=#add8e6ff>Ranuras de infusiÃ³n extra</color></size>\nGanas ranuras de infusiÃ³n extra, deben usarse en la armadura.
Feat/&ScoutSentinelFeatureSet_level09Title	Centinela explorador
Feat/&ScoutSentinelFeatureSet_level15Description	<size=17><color=#add8e6ff>Modo de centinela mejorado</color></size>\nAhora puede atraer a los enemigos al rango de cuerpo a cuerpo con una acciÃ³n de bonificaciÃ³n e infligir 1d8 de daÃ±o de trueno mediante el poder de garfio de agarre\n\n<size=17><color=#add8e6ff>Modo de explorador mejorado</color></size>\nAhora puede crear ventaja para los aliados y desventaja para los enemigos con un solo ataque.
Feat/&ScoutSentinelFeatureSet_level15Title	Centinela explorador
Feat/&SelfDestructDescription	Se autodestruye y obliga a realizar una tirada de salvaciÃ³n de Destreza a las criaturas en un radio de 3 metros. Si falla, inflige 3d8 de daÃ±o de fuerza.
Feat/&SelfDestructTitle	AutodestrucciÃ³n
Feat/&SelfRepairDescription	Cura 2d8 PS, 3 veces al dÃ­a.
Feat/&SelfRepairTitle	AutorreparaciÃ³n
Feat/&SubclassMovementDescription	La armadura pesada no tiene un requisito de Fuerza.
Feat/&SubclassMovementTitle	Inmunidad a la armadura pesada
Feat/&SubclassProficienciesDescription	Ganas competencia en herramientas de herrero y armadura pesada.
Feat/&SubclassProficienciesTitle	Proficiencias de subclase
Feat/&SummonArtificialServantDescription	El siervo es amigable contigo y tus compaÃ±eros, y obedece tus Ã³rdenes.
Feat/&SummonArtificialServantTitle	Invocar siervo artificial
Feat/&SummonArtilleryConstructDescription	El Blaster crea y comanda un Constructo de ArtillerÃ­a en uno de sus mÃºltiples modos. Los PS del constructo aumentan con los niveles de su invocador y puede ser invocado gratuitamente durante 1 hora una vez al dÃ­a. El constructo puede volver a ser invocado mediante un hechizo de primer nivel. Los tres modos son: \n<color=#add8e6ff>ConstrucciÃ³n CÃºpula Protectora:</color>\nOtorga 1d8 + 4 PV temporales a los aliados en un radio de 3 metros \n<color=#add8e6ff>ConstrucciÃ³n ArtillerÃ­a de Fuego:</color>\nCrea un cono de fuego. Las criaturas deben hacer una tirada de salvaciÃ³n de Destreza o recibirÃ¡n 2d8 de daÃ±o\n<color=#add8e6ff>ConstrucciÃ³n de artillerÃ­a de fuerza:</color>\nInflige 2d8 de daÃ±o de fuerza y empuja al enemigo a 5 pies de distancia.
Feat/&SummonArtilleryConstructlevel09Description	Se ha aÃ±adido una nueva funciÃ³n. El Constructo de ArtillerÃ­a puede destruirse a sÃ­ mismo, forzando una salvaciÃ³n de Destreza o infligiendo 3d8 de daÃ±o de fuerza en caso de fallar. \nAdemÃ¡s, las tiradas de daÃ±o de la ArtillerÃ­a de Llama y de Fuerza aumentan en 1d8 hasta un total de 3d8.
Feat/&SummonArtilleryConstructlevel09Title	Mejora de la construcciÃ³n de artillerÃ­a: autodestrucciÃ³n
Feat/&SummonArtilleryConstructlevel15Description	Se ha aÃ±adido una nueva funciÃ³n. Ahora el Constructo de ArtillerÃ­a proporciona media cobertura a los aliados en un radio de 3 metros \n<size=17><color=#add8e6ff>ActualizaciÃ³n del Constructo de ArtillerÃ­a: Refuerzos</color></size>\nAhora puedes invocar dos Constructos de ArtillerÃ­a. Los constructos pueden ser de la misma o diferente modalidad.
Feat/&SummonArtilleryConstructlevel15Title	Mejora del constructo de artillerÃ­a: CÃºpula de media cobertura
Feat/&SummonArtilleryConstructTitle	Invoca un constructo de artillerÃ­a
Feat/&SummonProtectorConstructDescription	Tu propio compaÃ±ero de batalla estÃ¡ listo para defenderte y atacar a los enemigos. El Constructora Protectora puede autorrepararse 3 veces al dÃ­a y puede imponer desventaja en los ataques a los aliados.
Feat/&SummonProtectorConstructDescription_2	Invoca la mejora del constructo protector.
Feat/&SummonProtectorConstructDescription_Upgrade	Invocar mejora del constructo protector.
Feat/&SummonProtectorConstructTitle	Invocar construcciÃ³n protectora
Feat/&SummonProtectorConstructTitle_2	Mejora de la estructura protectora invocada
Feat/&SummonProtectorConstructTitle_Upgrade	Invocar mejora de construcciÃ³n protectora
Feat/&TempHPShieldConstructDescription	Concede 1d8 + 4 PS temporales a los aliados en un radio de 3 metros.
Feat/&TempHPShieldConstructTitle	Constructo CÃºpula Protectora
Feat/&TempHPShieldConstructTitle_3	ConstrucciÃ³n de cÃºpula protectora
Feat/&TempHPShieldConstructTitle_5	Constructo CÃºpula Protectora
Feat/&TempHPShieldDescription	Proporciona 1d8 + 4 PS temporales a los aliados en un radio de 3 metros.
Feat/&ThunderShieldDescription	El escudo defensivo proporciona HP temporales iguales a tu nivel. Puede usarse 5 veces por descanso largo.
Feat/&ThunderShieldTitle	Escudo del Trueno
Feat/&TinkererConstructFamilyDescription	Creado por Tinkerer.
Feat/&TinkererConstructFamilyTitle	Constructor Hechicero
Feat/&TorchbearerDescription	Eres hÃ¡bil en el uso de una antorcha en batalla. Una vez por turno, como acciÃ³n adicional, puedes elegir usar una fuente de luz que tengas equipada para intentar prender fuego a un enemigo que puedas tocar. Tu objetivo debe tener Ã©xito en una tirada de salvaciÃ³n de Destreza (DC 8 + tu bono de competencia + tu modificador de Destreza) o recibir 1d4 de daÃ±o por fuego por turno durante 1 minuto o hasta que se extinga.
Feat/&TorchbearerTitle	Portador de antorchas
Feat/&UseArmorWeaponsAsFocusDescription	Puedes utilizar las armas de la armadura como foco de conjuro para tus hechizos.
Feat/&UseArmorWeaponsAsFocusTitle	Foco de conjuro
Feat/&UsingitemPowerDescription	Permite utilizar el poder de las armas en una acciÃ³n extra.
Feat/&UsingitemPowerTitle	Usar poder de arma
Feature/&AdditionalActionDualFlurryDescription	Puedes hacer un ataque adicional fuera de la mano.
Feature/&AdditionalActionDualFlurryTitle	Flurry doble
Feature/&AdditionalDamageAgonizingBlastDescription	AÃ±ades tu modificador de Carisma a la primera tirada de daÃ±o de un ataque de rÃ¡faga eldritch.
Feature/&AdditionalDamageAgonizingBlastTitle	RÃ¡faga Agonizante
Feature/&AdditionalDamageFeatShadySneakAttackDescription	Una vez por turno, puedes infligir un daÃ±o extra de 1d6 a una criatura a la que golpees con un ataque que cumpla el Ataque Furtivo del PÃ­caro. A 7Âº nivel este daÃ±o aumenta a 2d6 y a 14Âº nivel a 3d6. Esto puede acumularse con el Ataque Furtivo del PÃ­caro.
Feature/&AdditionalDamageFeatShadySneakAttackTitle	Ataque Furtivo del PÃ­caro
Feature/&AdditionalDamageHinderingBlastDescription	Cuando golpeas a una criatura con tu rÃ¡faga eldritch, puedes reducir la velocidad de esa criatura en 3 metros hasta el final de tu siguiente turno.
Feature/&AdditionalDamageHinderingBlastTitle	RÃ¡faga obstaculizadora
Feature/&AgonizingBlastDescription	AÃ±ade tu modificador de Carisma al daÃ±o de las rÃ¡fagas de eldritch.
Feature/&AgonizingBlastTitle	RÃ¡faga agonizante
Feature/&AHSoulBladeEmpowerDamageBonusDescription	Tienes poder y haces un bono de daÃ±o igual a tu competencia en todos tus ataques.
