ActionAffinity/&DHFeeblemindSpellDescription	Impossibile lanciare incantesimi.
Feat/&ResummonArtilleryConstruct_15Title	Risvegliare l'Artiglieria Costruttiva 3
Feat/&ResummonArtilleryConstructDescription	Questo incantesimo permette al Tinkerer di riummontare un Costrutto d'Artiglieria in una delle diverse modalitÃ  dopo la scadenza dell'evocazione iniziale. Anche il costrutto rievocato dura 1 ora.
Feat/&RetributionDescription	Il costrutto infligge 1d4 + il proprio modificatore di Intelligenza alla forza dell'attaccante quando viene colpito da un attacco.
Feat/&RetributionTitle	Vendetta
Feat/&ScoutSentinelFeatureSet_level03Description	<size=17><color=#add8e6ff>Funzioni multiple dell'armatura</color></size>\nPuoi passare da una modalitÃ  all'altra una volta al giorno creando e usando armi temporanee\n\n<size=17><color=#add8e6ff>ModalitÃ  Sentinella</color></size>\nGuadagna un numero limitato di HP temporanei in base al livello. Impone uno svantaggio ai nemici che attaccano gli alleati\n\n<size=17><color=#add8e6ff>ModalitÃ  Scout</color></size>\nOttiene un aumento del movimento, un vantaggio di furtivitÃ  e un attacco a distanza che infligge un dado di danno extra una volta per turno. \n\n<size=17><color=#add8e6ff>Caratteristiche</color></size>\nPuoi usare le armi dell'armatura come fulcro per i tuoi incantesimi\nL'armatura pesante non ha un requisito di forza\nGuadagni competenza negli strumenti da fabbro e nelle armature pesanti.
Feat/&ScoutSentinelFeatureSet_level03Title	Sentinella esploratrice
Feat/&ScoutSentinelFeatureSet_level05Description	<size=17><color=#add8e6ff>Attacco extra</color></size>\nPuoi attaccare una volta in piÃ¹, per turno di combattimento, quando usi le azioni Attacco o Spinta.
Feat/&ScoutSentinelFeatureSet_level05Title	Sentinella esploratrice
Feat/&ScoutSentinelFeatureSet_level09Description	<size=17><color=#add8e6ff>Slot di infusione extra</color></size>\nSi ottengono slot di infusione extra, da utilizzare per le armature.
Feat/&ScoutSentinelFeatureSet_level09Title	Sentinella esploratrice
Feat/&ScoutSentinelFeatureSet_level15Description	<size=17><color=#add8e6ff>ModalitÃ  Sentinella migliorata</color></size>\nOra puÃ² attirare i nemici in mischia con un'azione bonus e infliggere 1d8 danni da tuono con il potere Gauntlet Grapple\n\n<size=17><color=#add8e6ff>ModalitÃ  Scout migliorata</color></size>\nOra puÃ² creare vantaggio per gli alleati e svantaggio per i nemici con un singolo attacco.
Feat/&ScoutSentinelFeatureSet_level15Title	Sentinella scout
Feat/&SelfDestructDescription	Si autodistrugge e costringe a un tiro salvezza di Destrezza le creature entro 3 metri. Se fallisce, infligge 3d8 danni da forza.
Feat/&SelfDestructTitle	Autodistruzione
Feat/&SelfRepairDescription	Guarisce 2d8 HP, 3 volte al giorno.
Feat/&SelfRepairTitle	Autoriparazione
Feat/&SubclassMovementDescription	Le armature pesanti non hanno un requisito di Forza.
Feat/&SubclassMovementTitle	ImmunitÃ  alle armature pesanti
Feat/&SubclassProficienciesDescription	Si ottiene una competenza negli strumenti da fabbro e nelle armature pesanti.
Feat/&SubclassProficienciesTitle	Competenze di sottoclasse
Feat/&SummonArtificialServantDescription	Il servitore Ã¨ amichevole con voi e con i vostri compagni e obbedisce ai vostri comandi.
Feat/&SummonArtificialServantTitle	Evocare un servitore artificiale
Feat/&SummonArtilleryConstructDescription	Il blaster crea e comanda un costrutto di artiglieria in una delle diverse modalitÃ . Gli HP del costrutto aumentano con i livelli del suo evocatore e puÃ² essere evocato gratuitamente per 1 ora una volta al giorno. Il costrutto puÃ² essere rievocato con un incantesimo di 1Â° livello. Le tre modalitÃ  sono: \n<color=#add8e6ff>Costrutto della cupola protettiva:</color>\nConferisce 1d8 + 4 HP temporanei agli alleati entro 10ft \n<color=#add8e6ff>Costrutto dell'artiglieria di fuoco:</color>\nCrea un cono di fuoco. Le creature devono effettuare un tiro salvezza di Destrezza o subire 2d8 danni \n<color=#add8e6ff>Costruzione dell'artiglieria della forza:</color>\nInfligge 2d8 danni da forza e spinge il nemico a 5ft di distanza.
Feat/&SummonArtilleryConstructlevel09Description	Ãˆ stata aggiunta una nuova funzione. Il Costrutto d'Artiglieria puÃ² distruggersi, obbligando a un tiro salvezza di Destrezza o infliggendo 3d8 danni da forza in caso di fallimento. \nInoltre, i tiri per i danni dell'Artiglieria della Fiamma e della Forza aumentano di 1d8 per un totale di 3d8.
Feat/&SummonArtilleryConstructlevel09Title	Potenziamento del costrutto di artiglieria: autodistruzione
Feat/&SummonArtilleryConstructlevel15Description	Ãˆ stata aggiunta una nuova funzione. Il costrutto di artiglieria ora fornisce mezza copertura agli alleati entro 3 metri \n<size=17><color=#add8e6ff>Miglioramento del costrutto di artiglieria: Rinforzi</color></size>\nOra Ã¨ possibile evocare due Costrutti d'artiglieria. I costrutti possono essere della stessa modalitÃ  o di modalitÃ  diverse.
Feat/&SummonArtilleryConstructlevel15Title	Potenziamento del costrutto d'artiglieria: cupola di mezza copertura
Feat/&SummonArtilleryConstructTitle	Evoca il costrutto d'artiglieria
Feat/&SummonProtectorConstructDescription	Il vostro compagno di battaglia personale Ã¨ pronto a difendervi e ad attaccare i nemici. Il Costrutto Protettore puÃ² autoripararsi 3 volte al giorno e puÃ² imporre svantaggio agli attacchi degli alleati.
Feat/&SummonProtectorConstructDescription_2	Potenziamento del costrutto Evoca Protettore.
Feat/&SummonProtectorConstructDescription_Upgrade	Potenziamento del costrutto Evoca Protettore.
Feat/&SummonProtectorConstructTitle	Evoca il costrutto del Protettore
Feat/&SummonProtectorConstructTitle_2	Potenziamento del costrutto dell'evocatore
Feat/&SummonProtectorConstructTitle_Upgrade	Potenziamento del costrutto dell'evocatore
Feat/&TempHPShieldConstructDescription	Conferisce 1d8 + 4 HP temporanei agli alleati entro 3 metri.
Feat/&TempHPShieldConstructTitle	Costrutto della cupola protettiva
Feat/&TempHPShieldConstructTitle_3	Costrutto della Cupola Protettiva
Feat/&TempHPShieldConstructTitle_5	Costrutto della Cupola di Protezione
Feat/&TempHPShieldDescription	Fornisce 1d8 + 4 HP temporanei agli alleati entro 3 metri.
Feat/&ThunderShieldDescription	Lo scudo difensivo fornisce HP temporanei pari al proprio livello. PuÃ² essere usato 5 volte per riposo lungo.
Feat/&ThunderShieldTitle	Scudo del tuono
Feat/&TinkererConstructFamilyDescription	Creato dal Tinkerer.
Feat/&TinkererConstructFamilyTitle	Costrutto dello stagnino
Feat/&TorchbearerDescription	Siete abili nell'uso di una torcia in battaglia. Una volta per turno, come azione bonus, potete scegliere di usare una fonte di luce che avete equipaggiato per tentare di incendiare un nemico che potete toccare. Il bersaglio deve riuscire in un tiro salvezza di Destrezza (DC 8 + il bonus di competenza + il modificatore di Destrezza) o subire 1d4 danni da fuoco per turno per 1 minuto o finchÃ© non si spegne.
Feat/&TorchbearerTitle	Portatore di torce
Feat/&UseArmorWeaponsAsFocusDescription	Si possono usare le armi dell'armatura come fuoco d'incantesimo per i propri incantesimi.
Feat/&UseArmorWeaponsAsFocusTitle	Incantesimo focalizzato
Feat/&UsingitemPowerDescription	Permette di utilizzare il potere delle armi come azione bonus.
Feat/&UsingitemPowerTitle	Utilizzare il potere delle armi
Feature/&AdditionalActionDualFlurryDescription	Si puÃ² effettuare un attacco supplementare a mano libera.
Feature/&AdditionalActionDualFlurryTitle	Doppia raffica!
Feature/&AdditionalDamageAgonizingBlastDescription	Si aggiunge il proprio modificatore di Carisma al primo tiro per i danni di un attacco con esplosione eldritch.
Feature/&AdditionalDamageAgonizingBlastTitle	Esplosione agonizzante
Feature/&AdditionalDamageFeatShadySneakAttackDescription	Una volta per turno, potete infliggere 1d6 danni extra a una creatura che avete colpito con un attacco che soddisfa l'Attacco Furtivo del Rogue. Al 7Â° livello i danni aumentano a 2d6 e al 14Â° livello a 3d6. Questa caratteristica puÃ² essere cumulata con l'Attacco furtivo del ladro.
Feature/&AdditionalDamageFeatShadySneakAttackTitle	Attacco furtivo ombroso
Feature/&AdditionalDamageHinderingBlastDescription	Quando si colpisce una creatura con la propria esplosione eldritch, si puÃ² ridurre la velocitÃ  di quella creatura di 3 metri fino alla fine del proprio turno successivo.
Feature/&AdditionalDamageHinderingBlastTitle	Esplosione ostacolante
Feature/&AgonizingBlastDescription	Aggiungete il vostro modificatore di Carisma ai danni dei soffi eldritici.
Feature/&AgonizingBlastTitle	Esplosione agonizzante
Feature/&AHSoulBladeEmpowerDamageBonusDescription	Si Ã¨ potenziati e si ottiene un bonus ai danni pari alla propria competenza in tutti gli attacchi.
Feature/&AHSoulBladeEmpowerWeaponConditionDescription	Sei potenziato e ottieni un bonus ai danni pari alla tua competenza su tutti i tuoi attacchi.
Feature/&AHSoulBladeEmpowerWeaponConditionTitle	Potenziamento dell'anima
Feature/&AHSoulBladeEmpowerWeaponDamageBonusDescription	Sei potenziato e ottieni un bonus ai danni pari alla tua competenza per tutti i tuoi attacchi.
Feature/&AHSoulBladeEmpowerWeaponDamageBonusTitle	Anima potenziata
Feature/&AHSoulBladeSummonPactWeaponPowerDescription	Una volta per riposo breve, potete evocare una forma spirituale di un'arma dal vostro patto come azione gratuita. Come azione bonus, potete dirigere l'arma come desiderate per attaccare i vostri nemici. L'arma si muove fino a 6 metri ogni volta prima di colpire.
Feature/&AHSoulBladeSummonPactWeaponPowerTitle	Arma del patto spirituale
Feature/&AHWarlockClassPactBoonSetDescription	Al 3Â° livello, il vostro patrono ultraterreno vi concede un dono per il vostro fedele servizio. Si puÃ² scegliere tra:
Feature/&AHWarlockClassPactBoonSetTitle	Dono del patto
Feature/&AHWarlockClassPactOfTheBladeSetDescription	Diventi abile con tutte le armi e i tuoi attacchi con le armi sono considerati magici.
Feature/&AHWarlockClassPactOfTheBladeSetTitle	Patto della lama
Feature/&AHWarlockSoulBladePactEmpowerWeaponPowerDescription	Una volta per riposo lungo si puÃ² potenziare un'arma con il potere delle anime. L'arma utilizza il modificatore di Carisma per i tiri di attacco e di danno e conta come magica fino al riposo lungo.
Feature/&AHWarlockSoulBladePactEmpowerWeaponPowerTitle	Potenziare le anime
Feature/&AHWarlockSoulBladePactExtendedSpellListDescription	La lama dell'anima consente di scegliere da un elenco ampliato di incantesimi quando si impara un incantesimo da Warlock. I seguenti incantesimi vengono aggiunti alla lista degli incantesimi del Warlock: {0}\n\n
Feature/&AHWarlockSoulBladePactExtendedSpellListTitle	Incantesimi del Soulblade
Feature/&AHWarlockSoulBladePactSoulShieldPowerDescription	Una volta per riposo breve, puoi usare il potere delle anime per difenderti. Utilizzando un'azione bonus, si guadagnano CV temporanei pari al proprio livello + modificatore di Carisma.
Feature/&AHWarlockSoulBladePactSoulShieldPowerTitle	Scudo dell'anima
Feature/&AlwaysBeardDescription	{0}% di possibilitÃ  di farsi crescere una barba gloriosa!
Feature/&AncientForestExpandedSpelllistAfinityDescription	Quando si impara un incantesimo da stregone, si sceglie da un elenco ampliato di incantesimi. I seguenti incantesimi vengono aggiunti alla lista degli incantesimi del Warlock: {0}\n\n
Feature/&AncientForestExpandedSpelllistAfinityTitle	Incantesimi della Foresta Antica
Feature/&AncientForestLightAffinityDescription	Puoi assorbire energia dalla luce del sole. Quando si Ã¨ in piena luce, si guadagnano 2 HP per round.
Feature/&AncientForestLightAffinityTitle	Fotosintesi
Feature/&AncientForestRegrowthDescription	Si dispone di una riserva di potere curativo che si ricostituisce quando si riposa a lungo. Con questa riserva, Ã¨ possibile ripristinare un numero totale di punti ferita pari al proprio livello di Warlock Ã— 5.
Feature/&AncientForestRegrowthTitle	Ricrescita
Feature/&ArcaneDetonationDescription	Quando si colpisce con un attacco d'arma una creatura con il proprio Marchio dell'Arcano, il marchio esplode, infliggendo 1d6 danni da forza e distruggendo il marchio.
Feature/&ArcaneDetonationTitle	Detonazione arcana
Feature/&ArcaneDetonationUpgradeDescription	A partire dall'11Â° livello, i danni della Detonazione Arcana aumentano a 2d6.
Feature/&ArcaneDetonationUpgradeTitle	Detonazione arcana maggiore
Feature/&ArcanePulseDescription	A partire dal 7Â° livello, Ã¨ possibile provocare un'eruzione di energia arcana a una distanza di 9 metri. Le creature ostili entro 15 piedi dal punto d'impatto subiscono 4d8 danni e ottengono un Marchio dell'arcanista. Si puÃ² usare questa capacitÃ  un numero di volte pari al proprio modificatore di Saggezza per ogni riposo lungo. Al 15Â° livello, i danni di Impulso Arcano aumentano a 8d8.
Feature/&ArcanePulseTitle	Impulso arcano
Feature/&ArcanistAutoPreparedSpellsDescription	Guadagni incantesimi bonus che sono considerati incantesimi da Ranger, sono sempre preparati e non contano per il numero di incantesimi da Ranger che conosci: \n{0}\n\n
Feature/&ArcanistAutoPreparedSpellsTitle	Incantesimi bonus del ranger arcanista
Feature/&ArcanistMarkDescription	A partire dal 3Â° livello, le tue armi sono dotate di potere arcano. Le creature che vengono colpite dai tuoi attacchi sono afflitte dal Marchio dell'arcanista.
Feature/&ArcanistMarkTitle	Marchio dell'arcanista
Feature/&ArmorofShadowsTitle	Armatura delle ombre
Feature/&ArtificerInfusionCastingDescription	Si possono eseguire le componenti somatiche degli incantesimi mentre si impugnano armi e scudi.
Feature/&ArtificerInfusionCastingTitle	Infusione di incantesimi
Feature/&ArtificerSpecialistArchetypesDescription	In quale campo di studio sei specializzato? I Tinkerer possono essere esperti di danni, guaritori e specialisti marziali.
Feature/&ArtificerSpecialistArchetypesTitle	Specializzazioni dello stagnino
Feature/&AscendantStepTitle	Passo dell'Ascendente
Feature/&AspectoftheMoonDescription	Non hai piÃ¹ bisogno di dormire e puoi fare la guardia, riducendo le possibilitÃ  di attacco e assicurandoti di essere sveglio se l'accampamento viene attaccato.
Feature/&AspectoftheMoonTitle	Aspetto della Luna
Feature/&AttributeModifier{0}Description	{0}
Feature/&AttributeModifierBolgrifStrengthAbilityScoreIncreaseDescription	Forza +1.
Feature/&AttributeModifierBolgrifStrengthAbilityScoreIncreaseTitle	Aumento degli attributi
Feature/&AttributeModifierBolgrifWisdomAbilityScoreIncreaseDescription	Saggezza +2.
Feature/&AttributeModifierBolgrifWisdomAbilityScoreIncreaseTitle	Aumento dell'attributo
Feature/&AttributeModifierForestGnomeAbilityScoreIncreaseDescription	Destrezza +1.
Feature/&AttributeModifierForestGnomeAbilityScoreIncreaseTitle	Aumento dell'attributo Gnomo delle foreste
Feature/&AttributeModifierGnomeAbilityScoreIncreaseDescription	Intelligenza +2.
Feature/&AttributeModifierGnomeAbilityScoreIncreaseTitle	Aumento di attributo degli gnomi
Feature/&BarbarianIndomitableMightDescription	Se il totale di una prova di Forza Ã¨ inferiore al proprio punteggio di Forza, si puÃ² usare quel punteggio al posto del totale.
Feature/&BarbarianIndomitableMightTitle	Forza indomabile
Feature/&BardSkillsTitle	AbilitÃ  del bardo
Feature/&BeguilingInfluenceDescription	Ottenete una competenza nelle abilitÃ  di Inganno e Persuasione.
Feature/&BeguilingInfluenceTitle	Influenza seducente
Feature/&BolgrifDruidicMagicDescription	Conosci un cantrip a tua scelta dall'elenco degli incantesimi del druido. La Saggezza Ã¨ la tua capacitÃ  di incantesimo per questo incantesimo.
Feature/&BolgrifDruidicMagicTitle	Magia druidica
Feature/&BolgrifInvisibilityPowerDescription	Come azione bonus, si puÃ² diventare magicamente invisibili per 1 round. L'invisibilitÃ  si interrompe se si compie un'azione offensiva. Una volta usata questa capacitÃ , non Ã¨ possibile utilizzarla di nuovo fino al termine di un riposo breve o lungo.
Feature/&BolgrifInvisibilityPowerTitle	Svanire
Feature/&BolgrifPowerfulBuildDescription	Per determinare la propria capacitÃ  di trasporto, la propria taglia viene considerata Grande.
Feature/&BolgrifPowerfulBuildTitle	Edificio potente
Feature/&BondoftheTalismanDescription	Teletrasporto fino a 30 metri di distanza.
Feature/&BondoftheTalismanTitle	Talismano del teletrasporto
Feature/&ChainsofCarceriDescription	Paralizza un celestiale, un demone o un elementale a meno che non riesca a superare un tiro salvezza della Saggezza.
Feature/&ChainsofCarceriTitle	Catene di Carceri
Feature/&ClassMonkDeflectMissileDescription	Si puÃ² usare la reazione per deviare il missile quando si viene colpiti da un attacco con armi a distanza. In questo caso, i danni subiti dall'attacco vengono ridotti di 1d10 + il modificatore di Destrezza + il livello da Monaco.
