ActionAffinity/&DHFeeblemindSpellDescription	Unable to cast spells.
Feat/&FeatWisePrecisionTitle	Wise Precision
Feat/&FeatWisIncrementDescription	Increase your Wisdom by 1, to a maximum of 20.
Feat/&FeatWisIncrementTitle	Wisdom Attribute Increase
Feat/&FeyTeleportationLanguageTirmarianDescription	You gain proficiency in Tirmarian.
Feat/&FeyTeleportationLanguageTirmarianTitle	Tirmarian
Feat/&FightingStyleArcheryDescription	You gain a +2 bonus to attack rolls with ranged weapons.
Feat/&FightingStyleArcheryTitle	Fighting Style: Archery
Feat/&FightingStyleDefenseDescription	While you are wearing armor, you gain a +1 bonus to AC.
Feat/&FightingStyleDefenseTitle	Fighting Style: Defense
Feat/&FightingStyleDuelingDescription	When you are wielding a melee weapon in one hand and no other weapons, you gain a +2 bonus to damage rolls with that weapon.
Feat/&FightingStyleDuelingTitle	Fighting Style: Dueling
Feat/&FightingStyleGeneralFeatDescription	You can select a fighting style.
Feat/&FightingStyleGeneralFeatitle	Fighting Style
Feat/&FightingStyleGreatWeaponDescription	When you roll a 1 or 2 on a damage die for an attack you make with a melee weapon that you are wielding with two hands, you can reroll the die. You must use the new roll, even if it is a 1 or a 2. The weapon must have the two-handed or versatile property for you to gain this benefit.
Feat/&FightingStyleGreatWeaponTitle	Fighting Style: Great Weapon
Feat/&FightingStyleProtectionDescription	When a creature you can see attacks a target other than you that is within 5 feet of you, you can use your reaction to impose disadvantage on the attack roll. You must be wielding a shield.
Feat/&FightingStyleProtectionTitle	Fighting Style: Protection
Feat/&FightingStyleTwoWeaponDescription	When you engage in two-weapon fighting, you can add your ability modifier to the damage of the second attack.
Feat/&FightingStyleTwoWeaponTitle	Fighting Style: Two Weapon
Feat/&FlameArtillery_2Description	3d8 fire damage (Cone).
Feat/&FlameArtillery_2Title	Flame Artillery (Improved)
Feat/&FlameArtilleryConstructDescription	Creates a cone of fire that deals 2d8 damage on a failed save.
Feat/&FlameArtilleryConstructDescription_3	Creates a cone of fire that deals 3d8 damage on a failed save.
Feat/&FlameArtilleryConstructTitle	Flame Artillery Construct
Feat/&FlameArtilleryConstructTitle_3	Flame Artillery Construct
Feat/&FlameArtilleryConstructTitle_5	Flame Artillery Construct
Feat/&FlameArtilleryDescription	2d8 fire damage (Cone).
Feat/&FlameArtilleryTitle	Flame Artillery
Feat/&ForceArtillery_2Description	3d8 force damage and push target 5 ft.
Feat/&ForceArtillery_2Title	Force Artillery (Improved)
Feat/&ForceArtilleryAdditionalDamageDescription	The upgraded construct deals 1d8 more damage per hit.
Feat/&ForceArtilleryConstructDescription	Deals 2d8 force damage and pushes target 5ft away from Construct.
Feat/&ForceArtilleryConstructDescription_3	Deals 3d8 force damage and pushes target 5ft away from Construct.
Feat/&ForceArtilleryConstructTitle	Force Artillery Construct
Feat/&ForceArtilleryConstructTitle_3	Force Artillery Construct
Feat/&ForceArtilleryConstructTitle_5	Force Artillery Construct
Feat/&ForceArtilleryDescription	2d8 Force damage and push 5 ft.
Feat/&ForceStrikePowerDescription	Ranged attack 1d6 force damage from your trusty sidekick.
Feat/&ForceStrikePowerTitle	Force Sling (Artificial Servant)
Feat/&GauntletsGrappleDescription	Can now pull enemies into melee range with a bonus action and inflict 1d8 thunder damage.
Feat/&GauntletsGrappleTitle	Gauntlet grapple
Feat/&HalfCoverShieldDescription	Allies within 10 feet gain +2 AC.
Feat/&HalfCoverShieldTitle	Half Cover Dome
Feat/&HealerDescription	You gain proficiency or expertise in Medicine checks. You gain the ability to stabilize a dying creature as well as to revive a creature that died within the last 12 seconds once per long rest. You can use an action to restore 1d6 + 4 + character level hit points a number of times per short rest equal to your Wisdom modifier.
Feat/&HealerResuscitateDescription	Use an action to revive a creature that died within the last 15 seconds.
Feat/&HealerResuscitateTitle	Resuscitate
Feat/&HealerStabilizeDescription	Use an action to stabilize a dying creature.
Feat/&HealerStabilizeTitle	Stabilize
Feat/&HealerTitle	Healer
Feat/&HealerUseMedicineDescription	You can use an action to restore 1d6 + 4 + character level hit points a number of times per short rest equal to your Wisdom modifier.
Feat/&HealerUseMedicineTitle	Use Medicine
Feat/&IncreaseConstructSelectingDescription	You can now summon two Artillery Constructs. The constructs can be of the same or different modes.
Feat/&IncreaseConstructSelectingTitle	Reinforcements
Feat/&InspiringLeaderDescription	Once per short rest, you can spend 10 minutes to inspire up to 6 friendly creatures (which can include yourself) within 30 feet of you. Each creature gains temporary hit points equal to your level + your Charisma modifier.
Feat/&InspiringLeaderTitle	Inspiring Leader
Feat/&IntToAttackAndDamageDescription	You can use your Intelligence modifier, instead of Strength or Dexterity modifier, for your attack and damage rolls with Armor Weapons.
Feat/&IntToAttackAndDamageTitle	Armor Weapon
Feat/&MendingConstructDescription	Repair your construct for 2d6 HP over 1 minute.
Feat/&MendingConstructTitle	Mending Construct
Feat/&ModeSwitchingPoolDescription	You can switch between modes once per short rest by creating and using temporary weapons.
Feat/&ModeSwitchingPoolTitle	Armor Mode
Feat/&MoonlitBonusCantripsDescription	Your control of moon light has increased to a new level. You can cast the spells moonbeam and faerie fire at will.
Feat/&MoonlitBonusCantripsTitle	Light Control
Feat/&PickPocketFeatDescription	You gain proficiency with Sleight of Hand, or expertise if already proficient. You also have advantage on Sleight of Hand Dexterity checks.
Feat/&PickPocketFeatTitle	Pickpocket
Feat/&PowerAlchemistEmboldeningShotsDescription	You gain the ability to administer an elixir that emboldens your allies, providing them 4d6 + Intelligence modifier temporary hit points.
Feat/&PowerAlchemistEmboldeningShotsTitle	Emboldening Shots
Feat/&PowerAlchemistGreaterRestorativeElixirsDescription	Once per day, you can cast greater restoration.
Feat/&PowerAlchemistGreaterRestorativeElixirsTitle	Greater Restoration
Feat/&PowerAlchemistHealElixirsDescription	Once per day, you can cast heal.
Feat/&PowerAlchemistHealElixirsTitle	Heal
Feat/&PowerAlchemistRestorativeElixirsDescription	You can cast lesser restoration without expending a spell slot. You can do this a number of times per long rest equal to your Intelligence modifier.
Feat/&PowerAlchemistRestorativeElixirsTitle	Restorative Elixirs
Feat/&PowerAttackFeatDescription	You learned to trade accuracy to land deadlier blows. When attacking with melee weapons, you can choose to take a -3 penalty to your to hit in order to do additional damage equal to 3 + your proficiency bonus.
Feat/&PowerAttackFeatTitle	Power Attack
Feat/&PowerFalseLifeFromFeatDescription	Bolstering yourself with a necromantic facsimile of life, you gain 1d4 + 4 Temporary Hit Points for the duration.
Feat/&PowerFalseLifeFromFeatTitle	False Life
Feat/&PowerInflictWoundsFromFeatDescription	Make a melee spell attack against a creature within your reach. On a hit, the target takes 3d10 necrotic damage.
Feat/&PowerInflictWoundsFromFeatTitle	Inflict Wounds
Feat/&PowerInvisibilityFromFeatDescription	A creature you touch becomes invisible until the spell ends. Anything the target is wearing or carrying is invisible as long as it is on the target's person. The spell ends for a target that attacks or casts a spell.
Feat/&PowerInvisibilityFromFeatTitle	Invisibility
Feat/&PowerMistyStepFromFeatDescription	Briefly surrounded by silvery mist, you teleport up to 30 feet to an unoccupied space that you can see.
Feat/&PowerMistyStepFromFeatTitle	Misty Step
Feat/&PowerShadowTouchedFromFeatDescription	Learn to cast the spells invisibility, false life, and inflict wounds.
Feat/&PowerShadowTouchedFromFeatTitle	Shadow Touched
Feat/&ProfChefTreatActionDescription	Eat a treat as a bonus action and gain 5 temporary hit points.
Feat/&ProfChefTreatActionTitle	Eat Chef's Treat
Feat/&ProfChefTreatCookDescription	Spend one hour to cook treats that when eaten provide 5 temporary hit points.
Feat/&ProfChefTreatCookTitle	Cook Chef's Treat
Feat/&ProfChefTreatDescription	Eat as a bonus action and gain 5 temporary hit points.
Feat/&ProfChefTreatTitle	Chef's Treat
Feat/&ProfHealerMedicineDescription	You gain proficiency in Medicine, or expertise if you are already proficient.
Feat/&ProfHealerMedicineTitle	Medicine Knowledge
Feat/&ProtectorConstructAttackDescription	The protector construct makes an attack that deals 1d10 force damage.
Feat/&ProtectorConstructAttackTitle	Force Rend
Feat/&ProtectorConstructDescription	It is friendly to you and your companions, and it obeys your commands.
Feat/&ProtectorConstructDescription_5	Protector Construct Upgrade.
Feat/&ProtectorConstructLevel15AutopreparedSpellsDescription	You gain bonus spells that are considered Tinkerer spells for you, they are always prepared and don't count against the number of Tinkerer spells you know.
Feat/&ProtectorConstructLevel15AutopreparedSpellsTitle	Protector Construct Spells
Feat/&ProtectorConstructLevel3AutopreparedSpellsDescription	You gain bonus spells that are considered Tinkerer spells for you, they are always prepared and don't count against the number of Tinkerer spells you know.
Feat/&ProtectorConstructLevel3AutopreparedSpellsTitle	Protector Construct Spells
Feat/&ProtectorConstructTitle	Protector Construct
Feat/&ProtectorConstructTitle_5	Protector Construct Upgrade
Feat/&RecklessFuryFeatDescription	You gain the ability to enter a rage for one minute once per day without any armor restrictions.\nYou can attack recklessly, gaining advantage on your melee attacks while giving advantage to your attackers until the start of your next turn.
Feat/&RecklessFuryFeatTitle	Reckless Fury
Feat/&ResummonArtilleryConstruct_03Title	Resummon Artillery Construct 1
Feat/&ResummonArtilleryConstruct_09Title	Resummon Artillery Construct 2
Feat/&ResummonArtilleryConstruct_15Title	Resummon Artillery Construct 3
Feat/&ResummonArtilleryConstructDescription	This spell allows the Tinkerer to resummon an Artillery Construct in one of multiple modes after the initial summons expires. The resummoned construct also lasts 1 hour.
Feat/&RetributionDescription	Construct does 1d4 + your Intelligence modifier force damage to the attacker when it is hit by an attack.
Feat/&RetributionTitle	Retribution
Feat/&ScoutSentinelFeatureSet_level03Description	<size=17><color=#add8e6ff>Multiple Armor Functions</color></size>\nYou can switch between function modes once per day by creating and using temporary weapons\n\n<size=17><color=#add8e6ff>Sentinel Mode</color></size>\nGain a limited number of temporary HP based on level. Impose disadvantage on enemies attacking allies\n\n<size=17><color=#add8e6ff>Scout Mode</color></size>\nGain increased movement, stealth advantage and a ranged attack which deals an extra die of damage once a turn.\n\n<size=17><color=#add8e6ff>Features</color></size>\nYou can use the armor's weapons as a spellcasting focus for your spells\nHeavy Armor does not have a strength requirement\nYou gain proficiency in smith's tools and heavy armor.
Feat/&ScoutSentinelFeatureSet_level03Title	Scout Sentinel
Feat/&ScoutSentinelFeatureSet_level05Description	<size=17><color=#add8e6ff>Extra Attack</color></size>\nYou can attack one more time, per combat turn, when you use the attack or shove actions.
Feat/&ScoutSentinelFeatureSet_level05Title	Scout Sentinel
Feat/&ScoutSentinelFeatureSet_level09Description	<size=17><color=#add8e6ff>Extra Infusion Slots</color></size>\nYou gain extra infusion slots, should be used on armor.
Feat/&ScoutSentinelFeatureSet_level09Title	Scout Sentinel
Feat/&ScoutSentinelFeatureSet_level15Description	<size=17><color=#add8e6ff>Improved Sentinel Mode</color></size>\nCan now pull enemies into melee range with a bonus action and inflict 1d8 thunder damage via the Gauntlet Grapple power\n\n<size=17><color=#add8e6ff>Improved Scout Mode</color></size>\nCan now create advantage for allies and disadvantage for enemies with a single attack.
Feat/&ScoutSentinelFeatureSet_level15Title	Scout Sentinel
Feat/&SelfDestructDescription	Self-destruct and force a Dexterity saving throw for creatures within 10ft. On a failure, deal 3d8 force damage.
Feat/&SelfDestructTitle	Self-Destruct
Feat/&SelfRepairDescription	Heal 2d8 HP, 3 times per day.
Feat/&SelfRepairTitle	Self-Repair
Feat/&SubclassMovementDescription	Heavy armor does not have a Strength requirement.
Feat/&SubclassMovementTitle	Heavy armor immunity
Feat/&SubclassProficienciesDescription	You gain proficiency in smith's tools and heavy armor.
Feat/&SubclassProficienciesTitle	Subclass Proficiencies
Feat/&SummonArtificialServantDescription	The servant is friendly to you and your companions, and it obeys your commands.
Feat/&SummonArtificialServantTitle	Summon Artificial Servant
Feat/&SummonArtilleryConstructDescription	The Blaster creates and commands an Artillery Construct in one of multiple modes. The construct's HP increases with its summoner's levels and can be summoned for free for 1 hour once per day. The construct can be resummoned via 1st level spell. The three modes are: \n<color=#add8e6ff>Protecting Dome Construct:</color>\nGrants 1d8 + 4 temporary HP to allies within 10ft \n<color=#add8e6ff>Flame Artillery Construct:</color>\nCreates a cone of fire. Creatures must make a Dexterity saving throw or take 2d8 damage\n<color=#add8e6ff>Force Artillery Construct:</color>\nDeals 2d8 force damage and pushes enemy 5ft away.
