ActionAffinity/&DHFeeblemindSpellDescription	Incapaz de lançar feitiços.
Feat/&GauntletsGrappleDescription	Pode agora puxar os inimigos para dentro do alcance melee com uma ação bônus e infligir danos de 1d8 trovões.
Feat/&GauntletsGrappleTitle	Gauntlet garra
Feat/&HalfCoverShieldDescription	Dá +2 AC enquanto dentro de 10 pés.
Feat/&HalfCoverShieldTitle	Cúpula com meia tampa
Feat/&HealerDescription	Você ganha proficiência ou perícia em checagem de medicamentos. Você ganha a habilidade de estabilizar uma criatura moribunda, bem como de reviver uma criatura que morreu nos últimos 12 segundos uma vez por longo descanso. Você pode usar uma ação para restaurar 1d6 + 4 + pontos de golpe de nível de caráter um número de vezes por descanso curto igual ao seu modificador de Sabedoria.
Feat/&HealerResuscitateDescription	Use uma ação para reanimar uma criatura que morreu nos últimos 15 segundos.
Feat/&HealerResuscitateTitle	Ressuscite
Feat/&HealerStabilizeDescription	Use uma ação para estabilizar uma criatura moribunda.
Feat/&HealerStabilizeTitle	Estabilizar
Feat/&HealerTitle	Curandeiro
Feat/&HealerUseMedicineDescription	Você pode usar uma ação para restaurar 1d6 + 4 + pontos de acerto de nível de caracteres um número de vezes por curto descanso igual ao seu modificador de Sabedoria.
Feat/&HealerUseMedicineTitle	Use a medicina
Feat/&IncreaseConstructSelectingDescription	Agora você pode convocar duas Construções de Artilharia. As construções podem ser do mesmo modo ou de modos diferentes.
Feat/&IncreaseConstructSelectingTitle	Reforços
Feat/&InspiringLeaderDescription	Passe 10 minutos para inspirar até 6 criaturas amigáveis (que podem incluir você mesmo) a menos de 30 metros de você. Cada criatura ganha pontos de golpe temporários iguais ao seu nível + seu modificador de Carisma. Útil uma vez por curto descanso.
Feat/&InspiringLeaderTitle	Líder inspirador
Feat/&IntToAttackAndDamageDescription	Você pode usar seu modificador de Inteligência, em vez do modificador de Força ou Destreza, para seus rolos de ataque e danos com Armas Armadas.
Feat/&IntToAttackAndDamageTitle	Armas de Armadura
Feat/&MendingConstructDescription	Conserte sua construção por 2d6 HP durante 1 minuto.
Feat/&MendingConstructTitle	Conserto de construção
Feat/&ModeSwitchingPoolDescription	Você pode alternar entre modos uma vez por dia, criando e usando armas temporárias.
Feat/&ModeSwitchingPoolTitle	Modo Armadura
Feat/&MoonlitBonusCantripsDescription	Seu controle da luz da lua aumentou para um novo nível. Você pode lançar o raio da Lua e o Fogo da Fada à vontade.
Feat/&MoonlitBonusCantripsTitle	Controle de Luz
Feat/&PickPocketFeatDescription	Você ganha proficiência com Sleight of Hand, ou perícia se já for proficiente. Você também tem vantagem nas verificações de destreza de mão.
Feat/&PickPocketFeatTitle	Pickpocket
Feat/&PowerAlchemistEmboldeningShotsDescription	Você ganha a capacidade de administrar um elixir que embala seus aliados, fornecendo-lhes pontos de golpe temporários 4d6 + Modificador de Inteligência.
Feat/&PowerAlchemistEmboldeningShotsTitle	Tiros de Emboldening
Feat/&PowerAlchemistGreaterRestorativeElixirsDescription	Uma vez por dia, você pode lançar a Grande Restauração.
Feat/&PowerAlchemistGreaterRestorativeElixirsTitle	Maior Restauração
Feat/&PowerAlchemistHealElixirsDescription	Uma vez por dia, você pode lançar o Heal.
Feat/&PowerAlchemistHealElixirsTitle	Curar
Feat/&PowerAlchemistRestorativeElixirsDescription	Você pode lançar a Rotação Menor sem gastar um feitiço. Você pode fazer isto um número de vezes por descanso longo igual ao seu modificador de Inteligência.
Feat/&PowerAlchemistRestorativeElixirsTitle	Elixires restauradores
Feat/&PowerAttackFeatDescription	Você aprendeu a trocar precisão para aterrissar golpes mais mortais. Ao atacar com armas de combate corpo a corpo, você pode optar por uma penalidade de -3 a seu golpear a fim de fazer danos adicionais iguais a 3 + seu bônus de proficiência.
Feat/&PowerAttackFeatTitle	Ataque de poder
Feat/&PowerFalseLifeFromFeatDescription	Reforçando-se com um fac-símile necromântico da vida, você ganha 1d4+4 Pontos de Golpe Temporários para a Duração.
Feat/&PowerFalseLifeFromFeatTitle	Vida Falsa
Feat/&PowerInflictWoundsFromFeatDescription	Faça um feitiço de ataque corpo a corpo contra uma criatura que você possa alcançar. Em um acerto, o alvo leva danos necróticos 3d10.
Feat/&PowerInflictWoundsFromFeatTitle	Feridas de Inflição
Feat/&PowerInvisibilityFromFeatDescription	Uma criatura que você toca torna-se Invisível até que o feitiço termine. Qualquer coisa que o alvo esteja vestindo ou carregando é Invisível desde que esteja na pessoa do alvo. O feitiço termina para um alvo que ataca ou lança um feitiço.
Feat/&PowerInvisibilityFromFeatTitle	Invisibilidade
Feat/&PowerMistyStepFromFeatDescription	Brevemente rodeado de névoa prateada, você se teletransporta até 30 pés para um espaço desocupado que você pode ver.
Feat/&PowerMistyStepFromFeatTitle	Degrau enevoado
Feat/&PowerShadowTouchedFromFeatDescription	Aprenda a lançar os feitiços Invisibilidade, Falsa Vida e Feridas de Inflição.
Feat/&PowerShadowTouchedFromFeatTitle	Aprenda a Invisibilidade, Vida Falsa e Feridas Infligidas
Feat/&ProfChefTreatActionDescription	Coma uma guloseima como uma ação bônus e ganhe 5 pontos de sucesso temporários.
Feat/&ProfChefTreatActionTitle	Coma um petisco do chef
Feat/&ProfChefTreatCookDescription	Passar uma hora para cozinhar guloseimas que, quando comidas, proporcionam 5 pontos de sucesso temporários.
Feat/&ProfChefTreatCookTitle	Tratar do cozinheiro
Feat/&ProfChefTreatDescription	Coma como uma ação bônus e ganhe 5 pontos de sucesso temporários.
Feat/&ProfChefTreatTitle	Tratamento do Chef
Feat/&ProfHealerMedicineDescription	Ganhe Proficiência em Medicina, ou Especialização se você já é proficiente.
Feat/&ProfHealerMedicineTitle	Conhecimento em Medicina
Feat/&ProtectorConstructAttackDescription	Melee 1d10 força danos da construção do protetor.
Feat/&ProtectorConstructAttackTitle	Fenda de força
Feat/&ProtectorConstructDescription	É amigável para você e seus companheiros, e obedece às suas ordens.
Feat/&ProtectorConstructDescription_5	Atualização do Protector Construct.
Feat/&ProtectorConstructLevel15AutopreparedSpellsDescription	Você ganha feitiços de bônus que são considerados feitiços Funileiro para você, eles estão sempre preparados e não contam contra o número de feitiços Funileiro que você conhece.
Feat/&ProtectorConstructLevel15AutopreparedSpellsTitle	Feitiços de Construção de Protetor
Feat/&ProtectorConstructLevel3AutopreparedSpellsDescription	Você ganha feitiços de bônus que são considerados feitiços Funileiro para você, eles estão sempre preparados e não contam contra o número de feitiços Funileiro que você conhece.
Feat/&ProtectorConstructLevel3AutopreparedSpellsTitle	Feitiços de Construção de Protetores
Feat/&ProtectorConstructTitle	Construtor Protetor
Feat/&ProtectorConstructTitle_5	Atualização do Protector Construct
Feat/&RecklessFuryFeatDescription	Você ganha a capacidade de entrar em fúria por um minuto uma vez por dia (note que não há restrição de armaduras), e pode atacar imprudentemente ganhando vantagem em seus ataques corpo a corpo enquanto dá vantagem a seus atacantes até sua próxima vez.
Feat/&RecklessFuryFeatTitle	Fúria sem medo
Feat/&ResummonArtilleryConstruct_03Title	Resummon Artillery Construct 1
Feat/&ResummonArtilleryConstruct_09Title	Resummon Artillery Construct 2
Feat/&ResummonArtilleryConstruct_15Title	Resummon Artillery Construct 3
Feat/&ResummonArtilleryConstructDescription	Este feitiço permite ao Sininho retomar uma Construção de Artilharia em um dos vários modos após o término da convocação inicial. A construção resumida também dura 1 hora.
Feat/&RetributionDescription	Construct faz 1d4 + seu modificador de Inteligência forçar dano ao atacante quando ele é atingido por um ataque.
Feat/&RetributionTitle	Retribuição
Feat/&ScoutSentinelFeatureSet_level03Description	<Tamanho=17># cor=#add8e6ff>Multiple Armor Functions</color></tamanho>\n Você pode alternar entre os modos funcionais uma vez por dia, criando e usando armas temporárias\n\n<tamanho=17># cor=#add8e6ff>Modo Sentinela</cor></tamanho>\nGanhe um número limitado de HP temporários com base no nível. Impor desvantagem aos inimigos que atacam os aliados. Tamanho=17> cor=#add8e6ff>Scout Mode</cor>## tamanho>#nGanhe maior movimento, vantagem de furto e um ataque à distância que lida com um dado extra de dano uma vez por vez. \Tamanho = 17 cor = 8e6ff Características = cor = tamanho = 1. Você pode usar as armas da armadura como um foco soletrador para seus feitiços.
Feat/&ScoutSentinelFeatureSet_level03Title	Sentinela de escoteiro
Feat/&ScoutSentinelFeatureSet_level05Description	<tamanho=17><color=#add8e6ff>Extra Attack</cor></tamanho>\n Você pode atacar mais uma vez, por turno de combate, quando usar o ataque ou empurrar ações.
Feat/&ScoutSentinelFeatureSet_level05Title	Sentinela Escoteiro
Feat/&ScoutSentinelFeatureSet_level09Description	<tamanho=17><color=#add8e6ff>Extra Infusion Slots</cor></tamanho>\nVocê ganha slots de infusão extras, devem ser usados em armaduras.
Feat/&ScoutSentinelFeatureSet_level09Title	Sentinela de escoteiro
Feat/&ScoutSentinelFeatureSet_level15Description	<tamanho=17><color=#add8e6ff>Modo Sentinela Melhorado</cor></tamanho>\nCanpodem agora puxar os inimigos para dentro do alcance melee com uma ação bônus e infligir danos de 1d8 trovões através do Gauntlet Grapple power\n\n<tamanho=17><color=#add8e6ff>Modo Escoteiro Melhorado</cor></tamanho>\nCanpodem agora criar vantagem para os aliados e desvantagem para os inimigos com um único ataque.
Feat/&ScoutSentinelFeatureSet_level15Title	Scout Sentinel
Feat/&SelfDestructDescription	Autodestruição e forçar um arremesso de destreza para as criaturas num raio de 10 pés. Em caso de falha, lidar com danos de força 3d8.
Feat/&SelfDestructTitle	Autodestruição
Feat/&SelfRepairDescription	Curar 2d8 HP, 3 vezes por dia.
Feat/&SelfRepairTitle	Auto-Reparo
Feat/&SubclassMovementDescription	A blindagem pesada não tem um requisito de Força.
Feat/&SubclassMovementTitle	Imunidade a armaduras pesadas
Feat/&SubclassProficienciesDescription	Você ganha proficiência em ferramentas de ferreiro e armadura pesada.
Feat/&SubclassProficienciesTitle	Proficiências de subclasse
Feat/&SummonArtificialServantDescription	O servo é amigável com você e seus companheiros, e obedece às suas ordens.
Feat/&SummonArtificialServantTitle	Invocar o Servo Artificial
Feat/&SummonArtilleryConstructDescription	O Explosivo cria e comanda uma Construção de Artilharia em um de vários modos. O HP da construção aumenta com os níveis de seu invocador e pode ser invocado gratuitamente por 1 hora uma vez por dia. A construção pode ser retomada através de um feitiço de 1º nível. Os três modos são: \n<color=#add8e6ff>Protecting Dome Construct:</color>\nGrants 1d8 + 4 HP temporários para aliados dentro de 10ft \n<color=#add8e6ff>Flame Artillery Construct:</color>\nCria um cone de fogo. As criaturas devem fazer um lançamento salvador de destreza ou sofrer danos 2d8\n<color=#add8e6ff>Force Artillery Construct:</color>\nDeals 2d8 força o dano e empurra o inimigo 5ft de distância.
Feat/&SummonArtilleryConstructlevel09Description	Uma nova função foi adicionada. A Artillery Construct pode se destruir, forçando uma Dexterity a salvar ou lidando com danos por força 3d8 em uma falha. \nAdicionalmente tanto a Chama como os rolos de dano de Artilharia de Força aumentam em 1d8 para um total de 3d8.
Feat/&SummonArtilleryConstructlevel09Title	Atualização da construção de artilharia: Autodestruição
Feat/&SummonArtilleryConstructlevel15Description	Uma nova função foi acrescentada. A Artillery Construct agora fornece metade da cobertura aos aliados dentro de 10ft \n<size=17><color=#add8e6ff>Artillery Construct Upgrade: Reforços</cor>## tamanho>\n Agora você pode convocar duas Artillery Constructs. As construções podem ser do mesmo modo ou de modos diferentes.
Feat/&SummonArtilleryConstructlevel15Title	Modernização da construção de artilharia: Cúpula de meia tampa
Feat/&SummonArtilleryConstructTitle	Invocação da construção de artilharia
Feat/&SummonProtectorConstructDescription	Seu próprio Battle Buddy está pronto para defendê-lo e atacar os inimigos. O Protector Construct pode Auto-Reparar 3 vezes ao dia e pode impor desvantagens aos ataques aos aliados.
Feat/&SummonProtectorConstructDescription_2	Invocar o Protector Construct Upgrade.
Feat/&SummonProtectorConstructDescription_Upgrade	Chame o Protetor Construtor Construtor Upgrade.
Feat/&SummonProtectorConstructTitle	Invocar o Protetor Construtor Construir
Feat/&SummonProtectorConstructTitle_2	Invocar a atualização do Protetor Construtor
Feat/&SummonProtectorConstructTitle_Upgrade	Invocar a atualização do Protetor Construtor
Feat/&TempHPShieldConstructDescription	Concede 1d8 + 4 HP temporários aos aliados dentro de 10 pés.
Feat/&TempHPShieldConstructTitle	Proteção da Construção da Cúpula
Feat/&TempHPShieldConstructTitle_3	Proteção da Construção da Cúpula
Feat/&TempHPShieldConstructTitle_5	Proteção da Construção da Cúpula
Feat/&TempHPShieldDescription	Fornecer 1d8 + 4 TempHP aos aliados dentro de 10 pés.
Feat/&ThunderShieldDescription	O escudo defensivo fornece TempHP igual ao seu nível. Pode ser usado 5 vezes por descanso longo.
Feat/&ThunderShieldTitle	Escudo contra trovoadas
Feat/&TinkererConstructFamilyDescription	Criado por Funileiro.
Feat/&TinkererConstructFamilyTitle	Funileiro Construct
Feat/&TorchbearerDescription	Você é hábil no uso de uma tocha em batalha. Uma vez por vez, como uma ação bônus, você pode optar por usar uma fonte de luz que tenha equipado para tentar incendiar um inimigo que você possa tocar. Seu alvo deve ser bem sucedido em um lançamento salvador de Dexterity (DC 8 + seu bônus de proficiência + seu modificador de Dexterity) ou levar dano de fogo 1d4 por turno durante 1 minuto ou até ser extinto.
Feat/&TorchbearerTitle	Carregador de tocha
Feat/&UseArmorWeaponsAsFocusDescription	Você pode usar as armas da armadura como um foco de soletração para seus feitiços.
Feat/&UseArmorWeaponsAsFocusTitle	Foco de fundição ortográfica
Feat/&UsingitemPowerDescription	Permite que o poder das armas seja usado em ações bônus.
Feat/&UsingitemPowerTitle	Usar a energia das armas
Feature/&AdditionalActionDualFlurryDescription	Você pode fazer um ataque adicional fora de mão.
Feature/&AdditionalActionDualFlurryTitle	Flurry duplo!
Feature/&AdditionalDamageAgonizingBlastDescription	Você adiciona seu modificador de Carisma ao primeiro rolo de dano de um ataque de explosão de eldritch.
Feature/&AdditionalDamageAgonizingBlastTitle	Explosão agonizante
Feature/&AdditionalDamageFeatShadySneakAttackDescription	Uma vez por vez, você pode lidar com um dano extra de 1d6 a uma criatura que você atinge com um ataque que encontra o Rogue's Sneak Attack. No 7º nível, este dano aumenta para 2d6 e no 14º nível para 3d6. Isto pode ser empilhado com o Rogue's Sneak Attack.
Feature/&AdditionalDamageFeatShadySneakAttackTitle	Ataque Sneak Sneak Sneak Shady
Feature/&AdditionalDamageHinderingBlastDescription	Quando você atinge uma criatura com sua explosão de eldritch, você pode reduzir a velocidade dessa criatura em 3 metros até o final de sua próxima curva.
Feature/&AdditionalDamageHinderingBlastTitle	Dificultando a explosão
Feature/&AgonizingBlastDescription	Adicione seu modificador de Carisma aos danos de Eldritch Basts.
