ActionAffinity/&DHFeeblemindSpellDescription	Kann keine Zaubersprüche wirken.
Feat/&TempHPShieldConstructDescription	Gewährt Verbündeten im Umkreis von 10 Fuß 1d8 + 4 temporäre HP.
Feat/&TempHPShieldConstructTitle	Schutzkuppel-Konstrukt
Feat/&TempHPShieldConstructTitle_3	Schützendes Kuppel-Konstrukt
Feat/&TempHPShieldConstructTitle_5	Schutzkuppel-Konstrukt
Feat/&TempHPShieldDescription	Gewährt 1d8 + 4 TempHP an Verbündete im Umkreis von 10ft.
Feat/&ThunderShieldDescription	Der Verteidigungsschild verleiht Temp-HP in Höhe deiner Stufe. Kann 5 Mal pro langer Pause verwendet werden.
Feat/&ThunderShieldTitle	Schild des Donners
Feat/&TinkererConstructFamilyDescription	Erschaffen von Tinkerer.
Feat/&TinkererConstructFamilyTitle	Tüftler-Konstrukt
Feat/&TorchbearerDescription	Du bist geübt im Umgang mit einer Fackel im Kampf. Einmal pro Runde kannst du als Bonusaktion eine Lichtquelle, die du ausgerüstet hast, benutzen, um einen Gegner, den du berühren kannst, in Brand zu setzen. Dein Ziel muss einen Rettungswurf auf Geschicklichkeit bestehen (DC 8 + dein Fertigkeitsbonus + dein Geschicklichkeitsmodifikator) oder 1 Minute lang oder bis zum Erlöschen 1d4 Feuerschaden pro Runde erleiden.
Feat/&TorchbearerTitle	Fackelträger
Feat/&UseArmorWeaponsAsFocusDescription	Du kannst die Waffen der Rüstung als Zauberfokus für deine Zaubersprüche verwenden.
Feat/&UseArmorWeaponsAsFocusTitle	Fokus für Zaubersprüche
Feat/&UsingitemPowerDescription	Ermöglicht den Einsatz von Waffenkraft als Bonusaktion.
Feat/&UsingitemPowerTitle	Waffenkraft verwenden
Feature/&AdditionalActionDualFlurryDescription	Du kannst einen zusätzlichen Angriff aus der freien Hand ausführen.
Feature/&AdditionalActionDualFlurryTitle	Doppelter Ansturm!
Feature/&AdditionalDamageAgonizingBlastDescription	Du addierst deinen Charisma-Modifikator zum ersten Schadenswurf eines Eldritch-Blast-Angriffs.
Feature/&AdditionalDamageAgonizingBlastTitle	Qualvolle Explosion
Feature/&AdditionalDamageFeatShadySneakAttackDescription	Einmal pro Runde kannst du einer Kreatur, die du mit einem Angriff triffst, der den Schleichangriff des Schurken erfüllt, zusätzlich 1d6 Schaden zufügen. Ab Stufe 7 erhöht sich dieser Schaden auf 2d6 und ab Stufe 14 auf 3d6. Dieser Angriff kann mit dem Schleichangriff des Schurken gestapelt werden.
Feature/&AdditionalDamageFeatShadySneakAttackTitle	Schattiger Schleichangriff
Feature/&AdditionalDamageHinderingBlastDescription	Wenn du eine Kreatur mit deinem Eldritch-Schlag triffst, kannst du die Geschwindigkeit dieser Kreatur bis zum Ende deines nächsten Zuges um 10 Fuß verringern.
Feature/&AdditionalDamageHinderingBlastTitle	Hinderliche Explosion
Feature/&AgonizingBlastDescription	Addiere deinen Charisma-Modifikator zum Schaden von Eldritch Basts.
Feature/&AgonizingBlastTitle	Quälende Explosion
Feature/&AHSoulBladeEmpowerDamageBonusDescription	Du bist befähigt und verursachst bei all deinen Angriffen einen Schadensbonus in Höhe deiner Befähigung.
Feature/&AHSoulBladeEmpowerWeaponConditionDescription	Du bist befähigt und verursachst bei all deinen Angriffen einen Schadensbonus in Höhe deiner Befähigung.
Feature/&AHSoulBladeEmpowerWeaponConditionTitle	Seele gestärkt
Feature/&AHSoulBladeEmpowerWeaponDamageBonusDescription	Du bist ermächtigt und verursachst bei all deinen Angriffen einen Schadensbonus in Höhe deiner Befähigung.
Feature/&AHSoulBladeEmpowerWeaponDamageBonusTitle	Ermächtigte Seele
Feature/&AHSoulBladeSummonPactWeaponPowerDescription	Einmal pro kurzer Ruhepause kannst du als freie Aktion eine spirituelle Form einer Waffe aus deinem Pakt herbeirufen. Als Bonusaktion kannst du die Waffe nach Belieben ausrichten, um deine Feinde anzugreifen. Die Waffe bewegt sich jedes Mal bis zu 20 Fuß weit, bevor sie zuschlägt.
Feature/&AHSoulBladeSummonPactWeaponPowerTitle	Spirituelle Paktwaffe
Feature/&AHWarlockClassPactBoonSetDescription	Auf der 3. Stufe überreicht dir dein jenseitiger Gönner ein Geschenk für deine loyalen Dienste. Du kannst wählen zwischen:
Feature/&AHWarlockClassPactBoonSetTitle	Paktsegen
Feature/&AHWarlockClassPactOfTheBladeSetDescription	Du wirst im Umgang mit allen Waffen geübt und deine Waffenangriffe werden als magisch angesehen.
Feature/&AHWarlockClassPactOfTheBladeSetTitle	Pakt der Klinge
Feature/&AHWarlockSoulBladePactEmpowerWeaponPowerDescription	Einmal pro langer Ruhezeit kannst du eine Waffe mit der Macht der Seelen ausstatten. Diese Waffe verwendet den Charisma-Modifikator für Angriffs- und Schadenswürfe und gilt bis zur langen Ruhezeit als magisch.
Feature/&AHWarlockSoulBladePactEmpowerWeaponPowerTitle	Seelenkraft
Feature/&AHWarlockSoulBladePactExtendedSpellListDescription	Die Seelenklinge lässt dich aus einer erweiterten Liste von Zaubern wählen, wenn du einen Hexenmeisterzauber erlernst. Die folgenden Zauber werden der Zauberliste des Hexenmeisters für dich hinzugefügt: 0
Feature/&AHWarlockSoulBladePactExtendedSpellListTitle	Seelenklingen-Zaubersprüche
Feature/&AHWarlockSoulBladePactSoulShieldPowerDescription	Einmal pro kurzer Ruhezeit kannst du die Macht der Seelen nutzen, um dich zu verteidigen. Mit einer Bonusaktion erhältst du temporäre PS in Höhe deiner Stufe + Charisma-Modifikator.
Feature/&AHWarlockSoulBladePactSoulShieldPowerTitle	Seelenschild
Feature/&AlwaysBeardDescription	{0}% Chance, dir einen prächtigen Bart wachsen zu lassen!
Feature/&AncientForestExpandedSpelllistAfinityDescription	Du wählst aus einer erweiterten Liste von Zaubern, wenn du einen Hexenmeister-Zauber erlernst. Die folgenden Zauber werden der Liste der Hexenmeisterzauber für dich hinzugefügt: {0}}n
Feature/&AncientForestExpandedSpelllistAfinityTitle	Uralte Waldzauber
Feature/&AncientForestLightAffinityDescription	Du kannst Energie aus Sonnenlicht absorbieren. Solange du dich in direktem, hellem Licht befindest, erhältst du 2 HP pro Runde.
Feature/&AncientForestLightAffinityTitle	Photosynthese
Feature/&AncientForestRegrowthDescription	Du verfügst über einen Vorrat an Heilkraft, der sich bei einer langen Ruhepause wieder auffüllt. Mit diesem Pool kannst du eine Gesamtzahl an Trefferpunkten wiederherstellen, die deiner Hexenmeisterstufe × 5 entspricht.
Feature/&AncientForestRegrowthTitle	Nachwuchs
Feature/&ArcaneDetonationDescription	Wenn du eine Kreatur, die dein Arkanistenmal trägt, mit einem Waffenangriff triffst, explodiert das Zeichen, verursacht 1d6 Kraftschaden und zerstört das Zeichen.
Feature/&ArcaneDetonationTitle	Arkane Detonation
Feature/&ArcaneDetonationUpgradeDescription	Ab Stufe 11 erhöht sich der Schaden deiner Arkanen Detonation auf 2d6.
Feature/&ArcaneDetonationUpgradeTitle	Größere Arkane Detonation
Feature/&ArcanePulseDescription	Ab der 7. Stufe kannst du eine Eruption arkaner Energie in einem Umkreis von 30 Fuß auslösen. Feindliche Kreaturen im Umkreis von 15 Fuß um den Einschlagspunkt erleiden 4d8 Schaden und erhalten ein Arkanistenmal. Du kannst diese Fähigkeit so oft einsetzen, wie es deinem Weisheitsmodifikator pro langer Ruhezeit entspricht. Auf Stufe 15 erhöht sich der Schaden deines Arkanen Impulses auf 8d8.
Feature/&ArcanePulseTitle	Arkaner Impuls
Feature/&ArcanistAutoPreparedSpellsDescription	Du erhältst Bonuszauber, die für dich als Waldläuferzauber gelten. Sie sind immer vorbereitet und werden nicht auf die Anzahl der Waldläuferzauber angerechnet, die du kennst: \n{0}\n\n
Feature/&ArcanistAutoPreparedSpellsTitle	Waldläufer-Arkanist-Bonuszauber
Feature/&ArcanistMarkDescription	Ab Stufe 3 durchdringt du deine Waffen mit arkaner Macht. Kreaturen, die von deinen Angriffen getroffen werden, werden mit dem Mal des Arkanisten behaftet.
Feature/&ArcanistMarkTitle	Zeichen des Arkanisten
Feature/&ArmorofShadowsTitle	Rüstung der Schatten
Feature/&ArtificerInfusionCastingDescription	Du kannst die somatischen Komponenten von Zaubern ausführen, während du Waffen und Schilde hältst.
Feature/&ArtificerInfusionCastingTitle	Infusionszauber
Feature/&ArtificerSpecialistArchetypesDescription	Auf welches Fachgebiet hast du dich spezialisiert? Kesselflicker können Schadensausteiler, Heiler und Kampfspezialisten sein.
Feature/&ArtificerSpecialistArchetypesTitle	Kesselflicker-Spezialisierungen
Feature/&AscendantStepTitle	Aufsteigende Stufe
Feature/&AspectoftheMoonDescription	Du brauchst nicht mehr zu schlafen und kannst Wache halten, um die Wahrscheinlichkeit eines Angriffs zu verringern und sicherzustellen, dass du wach bist, wenn das Lager angegriffen wird.
Feature/&AspectoftheMoonTitle	Aspekt des Mondes
Feature/&AttributeModifier{0}Description	{0}
Feature/&AttributeModifierBolgrifStrengthAbilityScoreIncreaseDescription	Stärke +1.
Feature/&AttributeModifierBolgrifStrengthAbilityScoreIncreaseTitle	Attribut Erhöhung
Feature/&AttributeModifierBolgrifWisdomAbilityScoreIncreaseDescription	Weisheit +2.
Feature/&AttributeModifierBolgrifWisdomAbilityScoreIncreaseTitle	Attribut Erhöhung
Feature/&AttributeModifierForestGnomeAbilityScoreIncreaseDescription	Geschicklichkeit +1.
Feature/&AttributeModifierForestGnomeAbilityScoreIncreaseTitle	Waldgnom Attribut Erhöhung
Feature/&AttributeModifierGnomeAbilityScoreIncreaseDescription	Intelligenz +2.
Feature/&AttributeModifierGnomeAbilityScoreIncreaseTitle	Gnom-Attribut-Steigerung
Feature/&BarbarianIndomitableMightDescription	Wenn die Gesamtsumme eines Stärkechecks geringer ist als dein Stärkewert, kannst du diesen Wert anstelle der Gesamtsumme verwenden.
Feature/&BarbarianIndomitableMightTitle	Unbezwingbare Macht
Feature/&BardSkillsTitle	Barden-Fertigkeiten
Feature/&BeguilingInfluenceDescription	Du erhältst die Fertigkeiten Täuschung und Überredung.
Feature/&BeguilingInfluenceTitle	Betörende Beeinflussung
Feature/&BolgrifDruidicMagicDescription	Du kennst einen Cantrip deiner Wahl aus der Druidenzauberliste. Weisheit ist deine Zauberfertigkeit für diesen Zauber.
Feature/&BolgrifDruidicMagicTitle	Druidische Magie
Feature/&BolgrifInvisibilityPowerDescription	Als Bonusaktion kannst du dich auf magische Weise für 1 Runde unsichtbar machen. Diese Unsichtbarkeit wird unterbrochen, wenn du eine offensive Aktion ausführst. Wenn du diese Fähigkeit einmal benutzt hast, kannst du sie erst nach einer kurzen oder langen Ruhepause wieder einsetzen.
Feature/&BolgrifInvisibilityPowerTitle	Verschwinden
Feature/&BolgrifPowerfulBuildDescription	Du zählst deine Größe als Groß, wenn du deine Tragfähigkeit bestimmst.
Feature/&BolgrifPowerfulBuildTitle	Mächtiger Aufbau
Feature/&BondoftheTalismanDescription	Teleportiere dich bis zu 30 Fuß weit weg.
Feature/&BondoftheTalismanTitle	Teleport-Talisman
Feature/&ChainsofCarceriDescription	Lähmt einen Himmlischen, Unhold oder Elementar, es sei denn, ihm gelingt ein Weisheitswurf.
Feature/&ChainsofCarceriTitle	Ketten von Carceri
Feature/&ClassMonkDeflectMissileDescription	Wenn du von einem Fernkampfwaffenangriff getroffen wirst, kannst du deine Reaktion nutzen, um das Geschoss abzulenken. Wenn du dies tust, wird der Schaden, den du durch den Angriff erleidest, um 1d10 + deinen Geschicklichkeitsmodifikator + deine Mönchsstufe reduziert.
Feature/&ClassMonkDeflectMissileTitle	Geschosse ablenken
Feature/&ClassMonkDiamondSoulDescription	Deine Beherrschung von Ki verleiht dir die Fähigkeit, alle Rettungswürfe zu meistern. Außerdem kannst du jedes Mal, wenn du einen Rettungswurf machst und er misslingt, 1 Ki-Punkt ausgeben, um ihn zu wiederholen und das zweite Ergebnis zu nehmen.
Feature/&ClassMonkDiamondSoulTitle	Diamantseele
Feature/&ClassMonkExtraAttackDescription	Du kannst zweimal statt einmal angreifen, wenn du in deinem Zug die Aktion "Angriff" ausführst.
Feature/&ClassMonkExtraAttackTitle	Extra-Angriff
Feature/&ClassMonkKiDescription	Dein Training erlaubt es dir, die mystische Energie des Ki zu nutzen. Du erhältst Ki-Punkte in Höhe deiner Mönchsstufe. Wenn du einen Ki-Punkt ausgibst, steht er nicht mehr zur Verfügung, bis du eine kurze oder lange Pause einlegst, an deren Ende du dein gesamtes verbrauchtes Ki wieder in dich hineinziehst. Du kannst diese Punkte ausgeben, um verschiedene Ki-Funktionen zu aktivieren. Zu Beginn kennst du drei solcher Eigenschaften:
Feature/&ClassMonkKiEmpoweredStrikesDescription	Deine unbewaffneten Schläge zählen als magisch, wenn es darum geht, Widerstand und Immunität gegen nicht-magische Angriffe und Schaden zu überwinden.
Feature/&ClassMonkKiEmpoweredStrikesTitle	Ki-fähige Schläge
Feature/&ClassMonkKiTitle	Ki
Feature/&ClassMonkMartialArtsDescription	Du erhältst die folgenden Vorteile, wenn du unbewaffnet bist oder nur eine Mönchswaffe führst und keine Rüstung oder einen Schild trägst:\n- Du kannst Geschicklichkeit statt Stärke für die Angriffs- und Schadenswürfe deiner unbewaffneten Schläge und Mönchswaffen verwenden.\n- Du kannst einen d4 anstelle des normalen Schadens deines unbewaffneten Schlags oder deiner Mönchswaffe werfen. Dieser Würfel ändert sich, wenn du Mönchsstufen erreichst. \n- Wenn du in deinem Zug die Aktion Angriff mit einem unbewaffneten Schlag oder einer Mönchswaffe verwendest, kannst du einen unbewaffneten Schlag als Bonusaktion ausführen.
Feature/&ClassMonkMartialArtsTitle	Kampfkünste
Feature/&ClassMonkMartialDiceProgression00Description	Du kannst <color=#57BCF4>d6</color> anstelle des normalen Schadens deines unbewaffneten Schlags oder deiner Mönchswaffe würfeln.
Feature/&ClassMonkMartialDiceProgression00Title	Kampfkunst Würfelerhöhung (d6)
Feature/&ClassMonkMartialDiceProgression01Description	Du kannst <color=#57BCF4>d8</color> anstelle des normalen Schadens deines unbewaffneten Schlags oder deiner Mönchswaffe würfeln.
Feature/&ClassMonkMartialDiceProgression01Title	Kampfkunstwürfel-Erhöhung (d8)
Feature/&ClassMonkMartialDiceProgression02Description	Du kannst <color=#57BCF4>d10</color> anstelle des normalen Schadens deines unbewaffneten Schlags oder deiner Mönchswaffe würfeln.
Feature/&ClassMonkMartialDiceProgression02Title	Kampfkunstwürfel-Erhöhung (d10)
Feature/&ClassMonkPerfectSelfDescription	Wenn du einen Kampf beginnst und keine Ki-Punkte mehr hast, erhältst du 4 Ki-Punkte zurück.
Feature/&ClassMonkPerfectSelfTitle	Perfektes Selbst
Feature/&ClassMonkPurityOfBodyDescription	Deine Beherrschung des Ki, das dich durchströmt, macht dich immun gegen Krankheiten und Gifte.
Feature/&ClassMonkPurityOfBodyTitle	Reinheit des Körpers
Feature/&ClassMonkSkillProficiencyTitle	Mönch-Fähigkeiten
Feature/&ClassMonkTongueOfSunAndMoonDescription	Du lernst, das Ki anderer Geister zu berühren, so dass du alle gesprochenen Sprachen verstehst. Außerdem kann jedes Lebewesen, das eine Sprache versteht, verstehen, was du sagst.
Feature/&ClassMonkTongueOfSunAndMoonTitle	Zunge der Sonne und des Mondes
Feature/&ClassMonkUnarmoredDefenseDescription	Solange du keine Rüstung trägst und keinen Schild hast, sind deine AC gleich 10 + dein Geschicklichkeitsmodifikator + dein Weisheitsmodifikator.
Feature/&ClassMonkUnarmoredDefenseTitle	Ungepanzerte Verteidigung
Feature/&ClassMonkUnarmoredMovementBonusDescription	Der Bewegungsbonus erhöht sich um 5 Fuß.
Feature/&ClassMonkUnarmoredMovementBonusTitle	Ungepanzerte Bewegungsverbesserung
Feature/&ClassMonkUnarmoredMovementDescription	Deine Geschwindigkeit erhöht sich um 10 Fuß, wenn du keine Rüstung trägst oder einen Schild hältst. Dieser Bonus erhöht sich, wenn du bestimmte Mönchsstufen erreichst.
Feature/&ClassMonkUnarmoredMovementTitle	Ungepanzerte Bewegung
Feature/&ClassMonkUnarmoredMovementVerticalSurfaceDescription	Solange du ungepanzert bist und keinen Schild trägst, kannst du dich an Wänden wie eine Spinne bewegen. Diese Fähigkeit geht vorübergehend verloren, wenn du eine Aktion ausführst, die keine Bewegung ist, oder wenn du im Kampf nicht am Zug bist.
Feature/&ClassMonkUnarmoredMovementVerticalSurfaceTitle	Ungepanzerte Bewegung: Klettern
Feature/&ClassMonkWeaponProficiencyTitle	Mönch-Waffenfertigkeiten
Feature/&ClassMonkZenArcherCombatDescription	Du erlangst die Beherrschung von Bögen und sie gelten für dich als Mönchswaffen. Du hast keinen Nachteil, wenn du einen Fernkampfangriff mit einer Mönchswaffe ausführst, während du dich in einem Umkreis von 5 Fuß um einen Feind befindest, vorausgesetzt, du trägst keine Rüstung und keinen Schild.
Feature/&ClassMonkZenArcherCombatTitle	Kampf mit entfernter Hand
Feature/&ClassMonkZenArcherKiPoweredArowsDescription	Deine Bogenangriffe zählen als magisch, wenn es darum geht, Widerstand und Immunität gegen nicht-magische Angriffe und Schaden zu überwinden.
Feature/&ClassMonkZenArcherKiPoweredArowsTitle	Ki-betriebene Pfeile
Feature/&ClassMonkZenArcherStunningArrowsDescription	Du kannst den Ki-Fluss im Körper deines Gegners stören. Wenn du eine andere Kreatur, die nicht betäubt ist, mit einem Pfeilangriff triffst, kannst du 1 Ki-Punkt ausgeben, um einen Betäubungsschlag zu versuchen. Das Ziel muss einen Konstitutionsschutzwurf bestehen oder bis zum Ende deines nächsten Zuges betäubt sein.
Feature/&ClassMonkZenArcherStunningArrowsTitle	Betäubende Pfeile
Feature/&ClassWarlockArmorProficiencyDescription	Leichte Rüstung.
Feature/&ClassWarlockArmorProficiencyTitle	Hexenmeister-Rüstungsfähigkeiten
Feature/&ClassWarlockEldritchInvocationReplaceDescription	Wähle Eldritch Invocation zum Ersetzen.
Feature/&ClassWarlockEldritchInvocationReplaceTitle	Beschwörung ersetzen
Feature/&ClassWarlockEldritchInvocationSetLevelDescription	Füge eine eldritchische Beschwörung hinzu.
Feature/&ClassWarlockEldritchInvocationSetLevelTitle	Eldritch-Beschwörung
Feature/&ClassWarlockEldritchMasterDescription	kannst du auf deine inneren Reserven an mystischer Macht zurückgreifen, während du deinen Gönner anflehst, verbrauchte Zauberplätze wiederherzustellen. Du kannst 1 Minute damit verbringen, deinen Gönner um Hilfe zu bitten, um alle verbrauchten Zauberplätze aus deiner Eigenschaft Paktmagie wiederzuerlangen. Sobald du mit dieser Eigenschaft Zauberplätze wiedererlangt hast, musst du eine lange Ruhepause einlegen, bevor du dies erneut tun kannst.
Feature/&ClassWarlockEldritchMasterTitle	Eldritch-Meister
Feature/&ClassWarlockMysticArcanumSetDescription	Dein Gönner verleiht dir ein magisches Geheimnis, das Arkanum genannt wird. Du kannst deinen Arkanum-Zauber einmal wirken, ohne einen Zauberslot zu verbrauchen. Du musst eine lange Pause einlegen, bevor du ihn erneut wirken kannst. Auf höheren Stufen erhältst du weitere Hexenmeister-Zauber deiner Wahl, die auf diese Weise gewirkt werden können: einen Zauber der Stufe 6 auf Stufe 11, einen Zauber der Stufe 7 auf Stufe 13, einen Zauber der Stufe 8 auf Stufe 15 und einen Zauber der Stufe 9 auf Stufe 17.
Feature/&ClassWarlockMysticArcanumSetTitle	Mystisches Arkanum
Feature/&ClassWarlockSavingThrowProficiencyDescription	Weisheit, Charisma.
