ActionAffinity/&DHFeeblemindSpellDescription	No puede lanzar hechizos.
Feat/&PowerMistyStepFromFeatDescription	Rodeado brevemente por una niebla plateada, te teletransportas hasta 30 pies a un espacio desocupado que puedas ver.
Feat/&PowerMistyStepFromFeatTitle	Paso de la Niebla
Feat/&PowerShadowTouchedFromFeatDescription	Aprende a lanzar los hechizos Invisibilidad, Vida falsa e Infligir heridas.
Feat/&PowerShadowTouchedFromFeatTitle	Aprender Invisibilidad, Vida Falsa e Infligir Heridas
Feat/&ProfChefTreatActionDescription	Come una golosina como acción adicional y gana 5 puntos de golpe temporales.
Feat/&ProfChefTreatActionTitle	Comer golosina del chef
Feat/&ProfChefTreatCookDescription	Dedica una hora a cocinar golosinas que al comerlas proporcionan 5 puntos de golpe temporales.
Feat/&ProfChefTreatCookTitle	Cocinar un bocadillo del chef
Feat/&ProfChefTreatDescription	Come como acción adicional y gana 5 puntos de vida temporales.
Feat/&ProfChefTreatTitle	Trato de Chef
Feat/&ProfHealerMedicineDescription	Gana competencia en Medicina, o pericia si ya eres competente.
Feat/&ProfHealerMedicineTitle	Conocimiento de Medicina
Feat/&ProtectorConstructAttackDescription	Melee 1d10 de daño de fuerza del constructo protector.
Feat/&ProtectorConstructAttackTitle	Rendimiento de fuerza
Feat/&ProtectorConstructDescription	Es amigable contigo y tus compañeros, y obedece tus órdenes.
Feat/&ProtectorConstructDescription_5	Mejora del constructo protector.
Feat/&ProtectorConstructLevel15AutopreparedSpellsDescription	Obtienes hechizos adicionales que se consideran hechizos de Tinker para ti, siempre están preparados y no cuentan contra el número de hechizos de Tinker que conoces.
Feat/&ProtectorConstructLevel15AutopreparedSpellsTitle	Hechizos del Constructor Protector
Feat/&ProtectorConstructLevel3AutopreparedSpellsDescription	Ganas hechizos de bonificación que se consideran hechizos de Hojalatero para ti, siempre están preparados y no cuentan contra el número de hechizos de Hojalatero que conoces.
Feat/&ProtectorConstructLevel3AutopreparedSpellsTitle	Hechizos de Constructor Protector
Feat/&ProtectorConstructTitle	Constructo Protector
Feat/&ProtectorConstructTitle_5	Mejora del Constructo Protector
Feat/&RecklessFuryFeatDescription	Obtienes la habilidad de entrar en furia durante un minuto una vez al día (ten en cuenta que no hay restricción de armadura), y puedes atacar temerariamente ganando ventaja en tus ataques cuerpo a cuerpo mientras das ventaja a tus atacantes hasta tu siguiente turno.
Feat/&RecklessFuryFeatTitle	Furia temeraria
Feat/&ResummonArtilleryConstruct_03Title	Invocar construcción de artillería 1
Feat/&ResummonArtilleryConstruct_09Title	Invocar construcción de artillería 2
Feat/&ResummonArtilleryConstruct_15Title	Invocar construcción de artillería 3
Feat/&ResummonArtilleryConstructDescription	Este hechizo permite al Hechicero volver a invocar un constructo de artillería en uno de sus múltiples modos después de que expire la invocación inicial. El constructo invocado también dura 1 hora.
Feat/&RetributionDescription	El constructo hace 1d4 + tu modificador de Inteligencia de daño de fuerza al atacante cuando es golpeado por un ataque.
Feat/&RetributionTitle	Retribución
Feat/&ScoutSentinelFeatureSet_level03Description	<tamaño=17><color=#add8e6ff>Múltiples funciones de armadura</color></size>\nPuedes cambiar entre los modos de función una vez al día creando y usando armas temporales</tamaño=17><color=#add8e6ff>Modo centinela</color></size>\nGanas un número limitado de PS temporales según el nivel. Impone desventaja a los enemigos que atacan a los aliados. Obtiene un movimiento incrementado, ventaja de sigilo y un ataque a distancia que inflige un dado extra de daño una vez por turno. \Puedes usar las armas de la armadura como foco de hechizo para tus conjuros. La armadura pesada no tiene un requisito de fuerza.
Feat/&ScoutSentinelFeatureSet_level03Title	Centinela explorador
Feat/&ScoutSentinelFeatureSet_level05Description	<size=17><color=#add8e6ff>Ataque extra</color></size> <size>Puedes atacar una vez más, por turno de combate, cuando utilices las acciones de ataque o empuje.
Feat/&ScoutSentinelFeatureSet_level05Title	Centinela explorador
Feat/&ScoutSentinelFeatureSet_level09Description	<tamaño=17><color=#add8e6ff>Ranuras de infusión extra</color></tamaño></también ganas ranuras de infusión extra, que debes usar en la armadura.
Feat/&ScoutSentinelFeatureSet_level09Title	Centinela explorador
Feat/&ScoutSentinelFeatureSet_level15Description	<tamaño=17><color=#add8e6ff>Modo de centinela mejorado</color></size>Ahora puede atraer a los enemigos al rango de cuerpo a cuerpo con una acción de bonificación e infligir 1d8 de daño de trueno mediante el poder de Agarre de guantelete</tamaño=17><color=#add8e6ff>Modo de explorador mejorado</color></size>Ahora puede crear ventaja para los aliados y desventaja para los enemigos con un solo ataque.
Feat/&ScoutSentinelFeatureSet_level15Title	Centinela explorador
Feat/&SelfDestructDescription	Se autodestruye y obliga a realizar una tirada de salvación de Destreza a las criaturas en un radio de 3 metros. Si falla, inflige 3d8 de daño de fuerza.
Feat/&SelfDestructTitle	Autodestrucción
Feat/&SelfRepairDescription	Cura 2d8 PS, 3 veces al día.
Feat/&SelfRepairTitle	Autorreparación
Feat/&SubclassMovementDescription	La armadura pesada no tiene un requisito de Fuerza.
Feat/&SubclassMovementTitle	Inmunidad a la armadura pesada
Feat/&SubclassProficienciesDescription	Ganas competencia en herramientas de herrero y armadura pesada.
Feat/&SubclassProficienciesTitle	Proficiencias de subclase
Feat/&SummonArtificialServantDescription	El siervo es amigable contigo y tus compañeros, y obedece tus órdenes.
Feat/&SummonArtificialServantTitle	Invocar siervo artificial
Feat/&SummonArtilleryConstructDescription	El Blaster crea y comanda un Constructo de Artillería en uno de sus múltiples modos. Los PS del constructo aumentan con los niveles de su invocador y puede ser invocado gratuitamente durante 1 hora una vez al día. El constructo puede volver a ser invocado mediante un hechizo de primer nivel. Los tres modos son: <color=#add8e6ff>Construcción de cúpula protectora:</color>[n]Otorga 1d8 + 4 PV temporales a los aliados en un radio de 3 metros. <color=#add8e6ff>Construcción de artillería de llamas:</color>[n] Crea un cono de fuego. Las criaturas deben realizar una tirada de salvación de Destreza o recibirán 2d8 de daño.
Feat/&SummonArtilleryConstructlevel09Description	Se ha añadido una nueva función. El Constructo de Artillería puede destruirse a sí mismo, forzando una salvación de Destreza o infligiendo 3d8 de daño de fuerza en caso de fallo. \Además, las tiradas de daño de la Artillería de Fuego y de Fuerza aumentan en 1d8 hasta un total de 3d8.
Feat/&SummonArtilleryConstructlevel09Title	Mejora de la construcción de artillería: autodestrucción
Feat/&SummonArtilleryConstructlevel15Description	Se ha añadido una nueva función. Ahora el constructo de artillería proporciona media cobertura a los aliados en un radio de 3 metros: Refuerzos</color></size>\NAhora puedes invocar dos Constructos de Artillería. Los constructos pueden ser del mismo modo o de modos diferentes.
Feat/&SummonArtilleryConstructlevel15Title	Mejora del constructo de artillería: Cúpula de media cobertura
Feat/&SummonArtilleryConstructTitle	Invoca un constructo de artillería
Feat/&SummonProtectorConstructDescription	Tu propio compañero de batalla está listo para defenderte y atacar a los enemigos. El Constructora Protectora puede autorrepararse 3 veces al día y puede imponer desventaja en los ataques a los aliados.
Feat/&SummonProtectorConstructDescription_2	Invoca la mejora del constructo protector.
Feat/&SummonProtectorConstructDescription_Upgrade	Invocar mejora del constructo protector.
Feat/&SummonProtectorConstructTitle	Invocar construcción protectora
Feat/&SummonProtectorConstructTitle_2	Mejora de la estructura protectora invocada
Feat/&SummonProtectorConstructTitle_Upgrade	Invocar mejora de construcción protectora
Feat/&TempHPShieldConstructDescription	Concede 1d8 + 4 PS temporales a los aliados en un radio de 3 metros.
Feat/&TempHPShieldConstructTitle	Constructo Cúpula Protectora
Feat/&TempHPShieldConstructTitle_3	Construcción de cúpula protectora
Feat/&TempHPShieldConstructTitle_5	Constructo Cúpula Protectora
Feat/&TempHPShieldDescription	Proporciona 1d8 + 4 PS temporales a los aliados en un radio de 3 metros.
Feat/&ThunderShieldDescription	El escudo defensivo proporciona HP temporales iguales a tu nivel. Puede usarse 5 veces por descanso largo.
Feat/&ThunderShieldTitle	Escudo del Trueno
Feat/&TinkererConstructFamilyDescription	Creado por Tinkerer.
Feat/&TinkererConstructFamilyTitle	Constructor Hechicero
Feat/&TorchbearerDescription	Eres hábil en el uso de una antorcha en batalla. Una vez por turno, como acción adicional, puedes elegir usar una fuente de luz que tengas equipada para intentar prender fuego a un enemigo que puedas tocar. Tu objetivo debe tener éxito en una tirada de salvación de Destreza (DC 8 + tu bono de competencia + tu modificador de Destreza) o recibir 1d4 de daño por fuego por turno durante 1 minuto o hasta que se extinga.
Feat/&TorchbearerTitle	Portador de antorchas
Feat/&UseArmorWeaponsAsFocusDescription	Puedes utilizar las armas de la armadura como foco de conjuro para tus hechizos.
Feat/&UseArmorWeaponsAsFocusTitle	Foco de conjuro
Feat/&UsingitemPowerDescription	Permite utilizar el poder de las armas en una acción extra.
Feat/&UsingitemPowerTitle	Usar poder de arma
Feature/&AdditionalActionDualFlurryDescription	Puedes hacer un ataque adicional fuera de la mano.
Feature/&AdditionalActionDualFlurryTitle	Flurry doble
Feature/&AdditionalDamageAgonizingBlastDescription	Añades tu modificador de Carisma a la primera tirada de daño de un ataque de ráfaga eldritch.
Feature/&AdditionalDamageAgonizingBlastTitle	Ráfaga Agonizante
Feature/&AdditionalDamageFeatShadySneakAttackDescription	Una vez por turno, puedes infligir un daño extra de 1d6 a una criatura a la que golpees con un ataque que cumpla el Ataque Furtivo del Pícaro. A 7º nivel este daño aumenta a 2d6 y a 14º nivel a 3d6. Esto puede acumularse con el Ataque Furtivo del Pícaro.
Feature/&AdditionalDamageFeatShadySneakAttackTitle	Ataque Furtivo del Pícaro
Feature/&AdditionalDamageHinderingBlastDescription	Cuando golpeas a una criatura con tu ráfaga eldritch, puedes reducir la velocidad de esa criatura en 3 metros hasta el final de tu siguiente turno.
Feature/&AdditionalDamageHinderingBlastTitle	Ráfaga obstaculizadora
Feature/&AgonizingBlastDescription	Añade tu modificador de Carisma al daño de las ráfagas de eldritch.
Feature/&AgonizingBlastTitle	Ráfaga agonizante
Feature/&AHSoulBladeEmpowerDamageBonusDescription	Tienes poder y haces un bono de daño igual a tu competencia en todos tus ataques.
Feature/&AHSoulBladeEmpowerWeaponConditionDescription	Tienes poder y haces un bono de daño igual a tu competencia en todos tus ataques.
Feature/&AHSoulBladeEmpowerWeaponConditionTitle	Alma potenciada
Feature/&AHSoulBladeEmpowerWeaponDamageBonusDescription	Tienes poderes y haces una bonificación de daño igual a tu competencia en todos tus ataques.
Feature/&AHSoulBladeEmpowerWeaponDamageBonusTitle	Alma potenciada
Feature/&AHSoulBladeSummonPactWeaponPowerDescription	Una vez por descanso corto puedes invocar una forma espiritual de un arma de tu pacto como acción gratuita. Como acción adicional, puedes dirigir el arma como quieras para atacar a tus enemigos. El arma se mueve hasta 20 pies cada vez antes de golpear.
Feature/&AHSoulBladeSummonPactWeaponPowerTitle	Arma de Pacto Espiritual
Feature/&AHWarlockClassPactBoonSetDescription	A 3er nivel, tu patrón de otro mundo te otorga un regalo por tu leal servicio. Puedes elegir entre
Feature/&AHWarlockClassPactBoonSetTitle	Bendición del pacto
Feature/&AHWarlockClassPactOfTheBladeSetDescription	Te vuelves competente con todas las armas y tus ataques con armas se consideran mágicos.
Feature/&AHWarlockClassPactOfTheBladeSetTitle	Pacto de la Espada
Feature/&AHWarlockSoulBladePactEmpowerWeaponPowerDescription	Una vez por descanso largo puedes potenciar un arma con el poder de las almas. Esa arma utiliza el modificador de Carisma para las tiradas de ataque y daño y cuenta como mágica hasta el descanso largo.
Feature/&AHWarlockSoulBladePactEmpowerWeaponPowerTitle	Poder de las almas
Feature/&AHWarlockSoulBladePactExtendedSpellListDescription	La hoja de alma te permite elegir entre una lista ampliada de hechizos cuando aprendes un hechizo de brujo. Los siguientes hechizos se añaden a la lista de hechizos de Brujo para ti: {0}\n\n
Feature/&AHWarlockSoulBladePactExtendedSpellListTitle	Hechizos de Soulblade
Feature/&AHWarlockSoulBladePactSoulShieldPowerDescription	Una vez por descanso corto, usas el poder de las almas para defenderte. Usando una acción de bonificación, obtienes una potencia temporal igual a tu nivel + modificador de Carisma.
Feature/&AHWarlockSoulBladePactSoulShieldPowerTitle	Escudo del Alma
Feature/&AlwaysBeardDescription	{0}% de posibilidades de que te crezca una gloriosa barba.
Feature/&AncientForestExpandedSpelllistAfinityDescription	Eliges entre una lista ampliada de conjuros cuando aprendes un conjuro de Brujo. Los siguientes hechizos se añaden a la lista de hechizos de Brujo para ti: {0}\n\nmás
Feature/&AncientForestExpandedSpelllistAfinityTitle	Hechizos del Bosque Antiguo
Feature/&AncientForestLightAffinityDescription	Puedes absorber la energía de la luz del sol. Mientras estés bajo la luz directa del sol, ganas 2 HP por asalto.
Feature/&AncientForestLightAffinityTitle	Fotosíntesis
Feature/&AncientForestRegrowthDescription	Tienes una reserva de poder curativo que se repone cuando haces un descanso largo. Con esa reserva, puedes restaurar un número total de puntos de golpe igual a tu nivel de brujo × 5.
Feature/&AncientForestRegrowthTitle	Regeneración
Feature/&ArcaneDetonationDescription	Cuando golpeas a una criatura que tiene tu Marca de Arcanista con un ataque de arma, la marca detona, infligiendo 1d6 de daño de fuerza y destruyendo la marca.
Feature/&ArcaneDetonationTitle	Detonación arcana
Feature/&ArcaneDetonationUpgradeDescription	A partir del 11º nivel, el daño de tu Detonación arcana aumenta a 2d6.
Feature/&ArcaneDetonationUpgradeTitle	Detonación arcana mayor
Feature/&ArcanePulseDescription	A partir del 7º nivel, puedes provocar una erupción de energía arcana a un alcance de 30 pies. Las criaturas hostiles en un radio de 15 pies del punto de impacto reciben 4d8 de daño y obtienen una Marca de arcanista. Puedes utilizar esta habilidad un número de veces igual a tu modificador de Sabiduría por descanso largo. A 15º nivel, el daño de tu Pulso Arcano aumenta a 8d8.
Feature/&ArcanePulseTitle	Pulso Arcano
Feature/&ArcanistAutoPreparedSpellsDescription	Ganas conjuros adicionales que se consideran conjuros de Ranger para ti, siempre están preparados y no cuentan contra el número de conjuros de Ranger que conoces: \n{0}\n
Feature/&ArcanistAutoPreparedSpellsTitle	Hechizos de bonificación de Ranger Arcanista
Feature/&ArcanistMarkDescription	A partir del 3º nivel, imbuyes tus armas con poder arcano. Las criaturas que son golpeadas por tus ataques son afectadas por la Marca del Arcanista.
Feature/&ArcanistMarkTitle	Marca del Arcanista
Feature/&ArmorofShadowsTitle	Armadura de las Sombras
Feature/&ArtificerInfusionCastingDescription	Puedes realizar los componentes somáticos de los conjuros mientras sostienes armas y escudos.
Feature/&ArtificerInfusionCastingTitle	Lanzamiento de infusión
Feature/&ArtificerSpecialistArchetypesDescription	¿En qué campo de estudio te especializas? Los caldereros pueden ser repartidores de daño, sanadores y especialistas marciales.
Feature/&ArtificerSpecialistArchetypesTitle	Especializaciones de los caldereros
Feature/&AscendantStepTitle	Paso ascendente
Feature/&AspectoftheMoonDescription	Ya no necesitas dormir y puedes vigilar, reduciendo las posibilidades de ataque y asegurándote de estar despierto si el campamento es atacado.
