ActionAffinity/&DHFeeblemindSpellDescription	Incapaz de lançar feitiços
Feat/&RecklessFuryFeatDescription	Você ganha a habilidade de entrar em fúria por um minuto uma vez por dia (observe nenhuma restrição de armadura), e você pode atacar imprudentemente ganhando vantagem em seus ataques corpo a corpo enquanto dá vantagem aos seus atacantes até seu próximo turno
Feat/&RecklessFuryFeatTitle	Fúria Imprudente
Feat/&ResummonArtilleryConstruct_03Title	Retomar Construto de Artilharia 1
Feat/&ResummonArtilleryConstruct_09Title	Retomar Construto de Artilharia 2
Feat/&ResummonArtilleryConstruct_15Title	Retomar Construto de Artilharia 3
Feat/&ResummonArtilleryConstructDescription	Este feitiço permite que o funileiro ressuscite um Artillery Construct em um dos vários modos após a convocação inicial expirar. A construção invocada também dura 1 hora
Feat/&RetributionDescription	Dano de construção 1D4 + Int quando atacado
Feat/&RetributionTitle	Retribuição
Feat/&ScoutSentinelFeatureSet_level03Description	<size=17><color=#add8e6ff>Várias funções de armadura</color></size>\nVocê pode alternar entre os modos de função uma vez por dia criando e usando armas temporárias\n\n<size=17><color=#add8e6ff>Modo Sentinela</color></size>\nGanhe um número limitado de HP temporário com base no nível. Impor desvantagem em inimigos atacando aliados\n\n<size=17><color=#add8e6ff>Modo Explorador</color></size>\nGanhe movimento aumentado, vantagem furtiva e um ataque à distância que causa um dado extra de dano uma vez por turno.\n\n<size=17><color=#add8e6ff>Recursos</color></size>\nVocê pode usar as armas da armadura como um foco de conjuração para seus feitiços\nArmadura Pesada não tem um requisito de força\nVocê ganha proficiência em ferramentas de ferreiro e armaduras pesadas
Feat/&ScoutSentinelFeatureSet_level03Title	Sentinela Escoteira
Feat/&ScoutSentinelFeatureSet_level05Description	<size=17><color=#add8e6ff>Ataque Extra</color></size>\nVocê pode atacar mais uma vez, por turno de combate, quando usar as ações de ataque ou empurrão
Feat/&ScoutSentinelFeatureSet_level05Title	Sentinela Escoteira
Feat/&ScoutSentinelFeatureSet_level09Description	<size=17><color=#add8e6ff>Slots de infusão extra</color></size>\nVocê ganha slots de infusão extras, deve ser usado em armaduras
Feat/&ScoutSentinelFeatureSet_level09Title	Sentinela Escoteira
Feat/&ScoutSentinelFeatureSet_level15Description	<size=17><color=#add8e6ff>Modo Sentinela Aprimorado</color></size>\nAgora pode puxar os inimigos para o alcance corpo a corpo com uma ação bônus e causar 1D8 de dano trovejante através do poder Gauntlet Grapple\n\n<size=17><color=#add8e6ff>Modo Explorador Aprimorado</color></size>\nAgora pode criar vantagem para aliados e desvantagem para inimigos com um único ataque
Feat/&ScoutSentinelFeatureSet_level15Title	Sentinela Escoteira
Feat/&SelfDestructDescription	Autodestruir e forçar um teste de resistência de Dex para 3D8 de dano de força dentro de 10 pés
Feat/&SelfDestructTitle	Auto-destruição
Feat/&SelfRepairDescription	Cure 2D8 HP, 3 vezes por dia
Feat/&SelfRepairTitle	Auto-reparo
Feat/&SubclassMovementDescription	Armadura pesada não tem um requisito de força
Feat/&SubclassMovementTitle	Imunidade de armadura pesada
Feat/&SubclassProficienciesDescription	Você ganha proficiência em ferramentas de ferreiro e armaduras pesadas
Feat/&SubclassProficienciesTitle	Proficiências de Subclasse
Feat/&SummonArtificialServantDescription	O servo é amigável com você e seus companheiros, e obedece aos seus comandos
Feat/&SummonArtificialServantTitle	Invocar Servo Artificial
Feat/&SummonArtilleryConstructDescription	O Blaster cria e comanda um Artillery Construct em um dos vários modos. O HP do constructo aumenta com os níveis de invocador e pode ser invocado gratuitamente por 1 hora uma vez por dia. O constructo pode ser invocado através de uma magia de 1º nível. Os três modos são:\n<color=#add8e6ff>Proteção da construção do domo:</color>\nConcede 1D8 + 4 HP temporário para aliados dentro de 10 pés\n<color=#add8e6ff>Construção de Artilharia Flamejante:</color>\nCria um cone de fogo que causa 2D8 de dano se falhar no teste de Dex\n<color=#add8e6ff>Construção de Artilharia da Força:</color>\nCausa 2D8 de dano de força e empurra o inimigo 5 pés para longe
Feat/&SummonArtilleryConstructlevel09Description	Uma nova função foi adicionada. O Artillery Construct pode se destruir causando 3D8 de dano de força se falhar na resistência.\nAlém disso, as jogadas de dano da Artilharia Flame e Force aumentam em 1D8 para um total de 3D8
Feat/&SummonArtilleryConstructlevel09Title	Atualização de construção de artilharia: autodestruição
Feat/&SummonArtilleryConstructlevel15Description	Uma nova função foi adicionada. O Artillery Construct agora oferece meia cobertura para aliados em até 10 pés\n<size=17><color=#add8e6ff>Atualização de construção de artilharia: reforços</color></size>\nAgora você pode convocar dois Constructos de Artilharia. As construções podem ser do mesmo modo ou de modos diferentes
Feat/&SummonArtilleryConstructlevel15Title	Atualização de construção de artilharia: Meia Cobertura Dome
Feat/&SummonArtilleryConstructTitle	Evocar Construto de Artilharia
Feat/&SummonProtectorConstructDescription	Seu próprio Battle Buddy está pronto para defendê-lo e atacar os inimigos. O Protector Construct pode se auto-reparar 3 vezes ao dia e pode impor desvantagem em ataques a aliados
Feat/&SummonProtectorConstructDescription_2	Invocar Melhoria de Construto Protetor
Feat/&SummonProtectorConstructDescription_Upgrade	Invocar Melhoria de Construto Protetor
Feat/&SummonProtectorConstructTitle	Invocar Construto Protetor
Feat/&SummonProtectorConstructTitle_2	Invocar Melhoria de Construto Protetor
Feat/&SummonProtectorConstructTitle_Upgrade	Invocar Melhoria de Construto Protetor
Feat/&TempHPShieldConstructDescription	Concede 1D8 + 4 HP temporário para aliados dentro de 10 pés
Feat/&TempHPShieldConstructTitle	Construção de Cúpula de Proteção
Feat/&TempHPShieldConstructTitle_3	Construção de Cúpula de Proteção
Feat/&TempHPShieldConstructTitle_5	Construção de Cúpula de Proteção
Feat/&TempHPShieldDescription	Fornece 1D8 + 4 TempHP para aliados dentro de 10 pés
Feat/&ThunderShieldDescription	Escudo defensivo fornece nível TempHP x. 5 vezes por dia
Feat/&ThunderShieldTitle	Escudo do Trovão
Feat/&TinkererConstructFamilyDescription	Criado por Tinker
Feat/&TinkererConstructFamilyTitle	Construção Tinkerer
Feat/&TorchbearerDescription	Você é hábil no uso de uma tocha em batalha. Uma vez por turno, como uma ação bônus, você pode optar por usar uma fonte de luz que você equipou para tentar incendiar um inimigo que você pode tocar. Seu alvo deve ser bem sucedido em um teste de resistência de Destreza ou sofrerá 1d4 de dano de fogo por turno por 1 minuto ou até ser extinto. A CD deste salvamento é baseada em seu Bônus de Destreza e Proficiência
Feat/&TorchbearerTitle	Portador da tocha
Feat/&UseArmorWeaponsAsFocusDescription	Você pode usar as armas da armadura como um foco de conjuração para seus feitiços
Feat/&UseArmorWeaponsAsFocusTitle	Foco de conjuração
Feat/&UsingitemPowerDescription	Permite que o poder da arma seja usado na ação bônus
Feat/&UsingitemPowerTitle	Usar o poder da arma
Feature/&AdditionalActionDualFlurryDescription	Você pode fazer um ataque de mão secundária adicional
Feature/&AdditionalActionDualFlurryTitle	Turbilhão duplo!
Feature/&AdditionalDamageAgonizingBlastDescription	Você adiciona seu modificador de Car à primeira rolagem de dano de um ataque Eldritch Blast
Feature/&AdditionalDamageAgonizingBlastTitle	Explosão Agonizante
Feature/&AdditionalDamageFeatShadySneakAttackDescription	Uma vez por turno, você pode causar 1d6 de dano extra a uma criatura que você acertar com um ataque que atenda ao Ataque Furtivo do Ladino. No 7º nível este dano aumenta para 2d6 e no 14º nível para 3d6. Isso pode acumular com o Sneak Attack do Rogue
Feature/&AdditionalDamageFeatShadySneakAttackTitle	Ataque sorrateiro
Feature/&AdditionalDamageHinderingBlastDescription	Quando você atinge uma criatura com sua explosão mística, você pode reduzir o deslocamento dessa criatura em 3 metros até o final do seu próximo turno.
Feature/&AdditionalDamageHinderingBlastTitle	Impedindo Explosão
Feature/&AgonizingBlastDescription	Adicione seu modificador de Carisma ao dano de Eldritch Basts
Feature/&AgonizingBlastTitle	Explosão Agonizante
Feature/&AHSoulBladeEmpowerDamageBonusDescription	Você é fortalecido e causa um bônus de dano igual à sua proficiência em todos os seus ataques
Feature/&AHSoulBladeEmpowerWeaponConditionDescription	Você é fortalecido e causa um bônus de dano igual à sua proficiência em todos os seus ataques
Feature/&AHSoulBladeEmpowerWeaponConditionTitle	Fortalecido pela alma
Feature/&AHSoulBladeEmpowerWeaponDamageBonusDescription	Você é fortalecido e causa um bônus de dano igual à sua proficiência em todos os seus ataques
Feature/&AHSoulBladeEmpowerWeaponDamageBonusTitle	Fortalecido pela alma
Feature/&AHSoulBladeSummonPactWeaponPowerDescription	Uma vez por descanso curto, você pode invocar uma forma espiritual de uma arma do seu pacto como uma ação livre. Como uma ação bônus, você pode direcionar a arma conforme desejar para atacar seus inimigos. A arma se move até 20 pés cada vez antes de atacar
Feature/&AHSoulBladeSummonPactWeaponPowerTitle	Arma do Pacto Espiritual
Feature/&AHWarlockClassPactBoonSetDescription	No 3º nível, seu patrono sobrenatural concede um presente a você por seu serviço leal. Você pode escolher entre:
Feature/&AHWarlockClassPactBoonSetTitle	Benefício do pacto
Feature/&AHWarlockClassPactOfTheBladeSetDescription	Você se torna proficiente com todas as armas e seus ataques com armas são considerados mágicos
Feature/&AHWarlockClassPactOfTheBladeSetTitle	Pacto da Lâmina
Feature/&AHWarlockSoulBladePactEmpowerWeaponPowerDescription	Uma vez por descanso longo você pode fortalecer uma arma com o poder das almas. Essa arma usa o modificador de Carisma para jogadas de ataque e dano e conta como mágica até um descanso longo
Feature/&AHWarlockSoulBladePactEmpowerWeaponPowerTitle	Capacitação da alma
Feature/&AHWarlockSoulBladePactExtendedSpellListDescription	A lâmina da alma permite que você escolha de uma lista expandida de feitiços quando você aprende um feitiço de feiticeiro. As seguintes magias são adicionadas à lista de magias de bruxo para você: {0}
Feature/&AHWarlockSoulBladePactExtendedSpellListTitle	Feitiços de lâmina da alma
Feature/&AHWarlockSoulBladePactSoulShieldPowerDescription	Uma vez por descanso curto você usa o poder das almas para se defender. Usando uma ação bônus você ganha HP temporário igual ao seu nível + modificador de carisma
Feature/&AHWarlockSoulBladePactSoulShieldPowerTitle	Escudo da Alma
Feature/&AlwaysBeardDescription	{0}% de chances de crescer uma barba gloriosa!
Feature/&AncientForestExpandedSpelllistAfinityDescription	Você escolhe a partir de uma lista expandida de magias quando aprende uma magia de bruxo. Os seguintes feitiços são adicionados à lista de feitiços de bruxo para você: {0}
Feature/&AncientForestExpandedSpelllistAfinityTitle	Feitiços da Floresta Antiga
Feature/&AncientForestLightAffinityDescription	Você pode absorver energia da luz solar. Enquanto você estiver sob luz direta, você ganha 2 HP por rodada
Feature/&AncientForestLightAffinityTitle	Fotossíntese
Feature/&AncientForestRegrowthDescription	Uma piscina de poder de cura - 5 pontos por nível de bruxo
Feature/&AncientForestRegrowthTitle	Rebrota
Feature/&ArcaneDetonationDescription	Quando você atinge uma criatura que tem sua Marca do Arcanista com um ataque com arma, a marca detona, causando 1d6 de dano de força e destruindo a marca
Feature/&ArcaneDetonationTitle	Detonação Arcana
Feature/&ArcaneDetonationUpgradeDescription	A partir do 11º nível, o dano da sua Detonação Arcana aumenta para 2d6
Feature/&ArcaneDetonationUpgradeTitle	Detonação Arcana Maior
Feature/&ArcanePulseDescription	A partir do 7º nível, você pode causar uma erupção de energia arcana a uma distância de 9 metros. Criaturas hostis a até 4,5 metros do ponto de impacto recebem 4d8 de dano e ganham uma Marca do Arcanista. Você pode usar esta habilidade um número de vezes igual ao seu modificador de sabedoria por descanso longo. No 15º nível, o dano do seu Pulso Arcano aumenta para 8d8
Feature/&ArcanePulseTitle	Pulso Arcano
Feature/&ArcanistAutoPreparedSpellsDescription	Você ganha magias bônus que são consideradas magias de ranger para você, elas são sempre preparadas e não contam para o número de magias de ranger que você conhece:\n{0}
Feature/&ArcanistAutoPreparedSpellsTitle	Feitiços Bônus de Arcanista Patrulheiro
Feature/&ArcanistMarkDescription	A partir do 3º nível, você imbui suas armas com poder arcano. Criaturas que são atingidas por seus ataques são afligidas pela Marca do Arcanista
Feature/&ArcanistMarkTitle	Marca do Arcanista
Feature/&ArmorofShadowsTitle	Armadura das Sombras
Feature/&ArtificerInfusionCastingDescription	Você pode executar os componentes somáticos de feitiços enquanto segura armas e escudos
Feature/&ArtificerInfusionCastingTitle	Fundição de infusão
Feature/&ArtificerSpecialistArchetypesDescription	Em que área de estudo você se especializou? Tinkerers podem ser causadores de danos, curandeiros e especialistas marciais
Feature/&ArtificerSpecialistArchetypesTitle	Especializações de Tinker
Feature/&AscendantStepTitle	Passo Ascendente
Feature/&AspectoftheMoonDescription	Você não precisa mais dormir e pode ficar de vigia, diminuindo as chances de ataque e garantindo que você esteja acordado se o acampamento for atacado
Feature/&AspectoftheMoonTitle	Aspecto da Lua
Feature/&AttributeModifierBolgrifStrengthAbilityScoreIncreaseDescription	Força +1
Feature/&AttributeModifierBolgrifStrengthAbilityScoreIncreaseTitle	Aumento de atributo
Feature/&AttributeModifierBolgrifWisdomAbilityScoreIncreaseDescription	Sabedoria +2
Feature/&AttributeModifierBolgrifWisdomAbilityScoreIncreaseTitle	Aumento de atributo
Feature/&AttributeModifierForestGnomeAbilityScoreIncreaseDescription	Destreza +1
Feature/&AttributeModifierForestGnomeAbilityScoreIncreaseTitle	Aumento do Atributo do Gnomo da Floresta
Feature/&AttributeModifierGnomeAbilityScoreIncreaseDescription	Inteligência +2
Feature/&AttributeModifierGnomeAbilityScoreIncreaseTitle	Aumento de atributo do gnomo
Feature/&BarbarianIndomitableMightDescription	Se seu total para um teste de Força for menor que seu valor de Força, você pode usar esse valor no lugar do total.
Feature/&BarbarianIndomitableMightTitle	Força Indomável
Feature/&BardSkillsTitle	Habilidades de Bardo
Feature/&BeguilingInfluenceDescription	Você ganha proficiência nas perícias Enganação e Persuasão
Feature/&BeguilingInfluenceTitle	Influência sedutora
Feature/&BolgrifDruidicMagicDescription	Você conhece um truque de sua escolha da lista de magias de druida. Sabedoria é sua habilidade de conjuração para isso
Feature/&BolgrifDruidicMagicTitle	Magia Druídica
Feature/&BolgrifInvisibilityPowerDescription	Como uma ação bônus, você pode ficar invisível magicamente por 1 rodada. Esta invisibilidade quebra se você tomar qualquer ação ofensiva. Depois de usar essa habilidade, você não pode usá-la novamente até terminar um descanso curto ou longo
Feature/&BolgrifInvisibilityPowerTitle	Desaparecer
Feature/&BolgrifPowerfulBuildDescription	Você conta seu tamanho como Grande ao determinar sua capacidade de carga
Feature/&BolgrifPowerfulBuildTitle	Construção poderosa
Feature/&BondoftheTalismanDescription	Teletransporte até 5 células de distância
Feature/&BondoftheTalismanTitle	Talismã de Teletransporte
Feature/&ChainsofCarceriDescription	Paralisa um celestial, demônio ou elemental a menos que seja bem sucedido em um teste de resistência WIS
Feature/&ChainsofCarceriTitle	Correntes de Carceri
Feature/&ClassMonkDeflectMissileDescription	Você pode usar sua reação para desviar o míssil quando for atingido por um ataque de arma à distância. Quando você faz isso, o dano que você recebe do ataque é reduzido em 1d10 + seu modificador de Destreza + seu nível de monge
