ActionAffinity/&DHFeeblemindSpellDescription	Kann keine Zauber wirken
Feat/&ProfChefTreatCookDescription	Verbringe eine Stunde damit, Leckereien zu kochen, die beim Verzehr 5 temporäre Trefferpunkte liefern
Feat/&ProfChefTreatCookTitle	Cook Chef's Treat
Feat/&ProfChefTreatDescription	Essen als Bonusaktion und erhalte 5 temporäre Trefferpunkte
Feat/&ProfChefTreatTitle	Chef's Treat
Feat/&ProfHealerMedicineDescription	Erwerben Sie Kenntnisse in Medizin oder Fachwissen, wenn Sie bereits Kenntnisse haben
Feat/&ProfHealerMedicineTitle	Medizinisches Wissen
Feat/&ProtectorConstructAttackDescription	Nahkampf 1W10 Schaden durch das Beschützerkonstrukt
Feat/&ProtectorConstructAttackTitle	Zerreißen erzwingen
Feat/&ProtectorConstructDescription	Es ist freundlich zu dir und deinen Gefährten und gehorcht deinen Befehlen
Feat/&ProtectorConstructDescription_5	Beschützerkonstrukt-Upgrade
Feat/&ProtectorConstructLevel15AutopreparedSpellsDescription	Beschützerkonstrukt automatisch vorbereitetZauber
Feat/&ProtectorConstructLevel15AutopreparedSpellsTitle	Beschützerkonstrukt automatisch vorbereitetZauber
Feat/&ProtectorConstructLevel3AutopreparedSpellsDescription	Beschützerkonstrukt automatisch vorbereitetZauber
Feat/&ProtectorConstructLevel3AutopreparedSpellsTitle	Beschützerkonstrukt automatisch vorbereitetZauber
Feat/&ProtectorConstructTitle	Beschützer-Konstrukt
Feat/&ProtectorConstructTitle_5	Beschützerkonstrukt-Upgrade
Feat/&RecklessFuryFeatDescription	Sie erhalten die Fähigkeit, einmal am Tag eine Minute lang in Wut zu geraten (beachten Sie, dass es keine Rüstungsbeschränkung gibt), und Sie können rücksichtslos angreifen, indem Sie sich einen Vorteil aus Ihren Nahkampfangriffen verschaffen, während Sie Ihren Angreifern bis zu Ihrem nächsten Zug einen Vorteil verschaffen
Feat/&RecklessFuryFeatTitle	Rücksichtslose Wut
Feat/&ResummonArtilleryConstruct_03Title	Artilleriekonstrukt 1 wiederbeschwören
Feat/&ResummonArtilleryConstruct_09Title	Artilleriekonstrukt 2 wiederbeschwören
Feat/&ResummonArtilleryConstruct_15Title	Artilleriekonstrukt 3 wiederbeschwören
Feat/&ResummonArtilleryConstructDescription	Dieser Zauber erlaubt es dem Bastler, ein Artilleriekonstrukt in einem von mehreren Modi erneut zu beschwören, nachdem die anfängliche Beschwörung abgelaufen ist. Das wiederbeschworene Konstrukt hält ebenfalls 1 Stunde an
Feat/&RetributionDescription	Konstrukt beschädigt 1W4 + Int, wenn es angegriffen wird
Feat/&RetributionTitle	Vergeltung
Feat/&ScoutSentinelFeatureSet_level03Description	<size=17><color=#add8e6ff>Lerne Scout-Sentinel-Zauber</color></size>\nStufe 3: Magische Rakete, Donnerwelle\nStufe 5: Unschärfe, Zertrümmerung\nLevel 9: Lightning Bolt, Hypnotisches Muster\nLevel 13: Feuerschild, größere Unsichtbarkeit\nLevel 17: Dimensionstür, Windwand, Feuerwand\n\n<size=17><color=#add8e6ff>Mehrere Rüstungsfunktionen</color></size>\nSie können einmal pro Tag zwischen den Funktionsmodi wechseln, indem Sie temporäre Waffen erstellen und verwenden\n\n<size=17><color=#add8e6ff>Wächtermodus</color></size>\nErhalten Sie eine begrenzte Anzahl temporärer HP, basierend auf dem Level. Benachteiligen Sie Feinde, die Verbündete angreifen\n\n<size=17><color=#add8e6ff>Scout-Modus</color></size>\nErhalte mehr Bewegungsfreiheit, Tarnvorteil und einen Fernkampfangriff, der einmal pro Runde einen zusätzlichen Schadenswürfel verursacht.\n\n<size=17><color=#add8e6ff>Funktionen</color></size>\nDu kannst die Waffen der Rüstung als Zauberfokus für deine Zauber verwenden\nSchwere Rüstung hat keine Stärkeanforderungen\nDu lernst Schmiedewerkzeuge und schwere Rüstungen
Feat/&ScoutSentinelFeatureSet_level03Title	Scout-Wächter
Feat/&ScoutSentinelFeatureSet_level05Description	<size=17><color=#add8e6ff>Extra-Angriff</color></size>\nDu kannst ein weiteres Mal pro Kampfzug angreifen, wenn du die Angriffs- oder Schubs-Aktionen verwendest
Feat/&ScoutSentinelFeatureSet_level05Title	Scout-Wächter
Feat/&ScoutSentinelFeatureSet_level09Description	<size=17><color=#add8e6ff>Zusätzliche Infusionsplätze</color></size>\nSie erhalten zusätzliche Infusionsplätze, die für Rüstungen verwendet werden sollten
Feat/&ScoutSentinelFeatureSet_level09Title	Scout-Wächter
Feat/&ScoutSentinelFeatureSet_level15Description	<size=17><color=#add8e6ff>Verbesserter Sentinel-Modus</color></size>\nKann jetzt Feinde mit einer Bonusaktion in Nahkampfreichweite ziehen und über die Kraft Gauntlet Grapple 1W8 Donnerschaden zufügen\n\n<size=17><color=#add8e6ff>Verbesserter Scout-Modus</color></size>\nKann jetzt mit einem einzigen Angriff Vorteile für Verbündete und Nachteile für Feinde schaffen
Feat/&ScoutSentinelFeatureSet_level15Title	Scout-Wächter
Feat/&SelfDestructDescription	Selbstzerstörung und erzwinge einen GE-Rettungswurf für 3W8 Gewaltschaden innerhalb von 10 Fuß
Feat/&SelfDestructTitle	Selbstzerstörung
Feat/&SelfRepairDescription	Heile dreimal täglich 2W8 HP
Feat/&SelfRepairTitle	Selbstreparatur
Feat/&SubclassMovementDescription	Schwere Rüstungen haben keine Stärkeanforderungen
Feat/&SubclassMovementTitle	Immunität gegen schwere Rüstung
Feat/&SubclassProficienciesDescription	Du lernst Schmiedewerkzeuge und schwere Rüstungen
Feat/&SubclassProficienciesTitle	Unterklassenkenntnisse
Feat/&SummonArtificialServantDescription	Der Diener ist freundlich zu dir und deinen Gefährten und gehorcht deinen Befehlen
Feat/&SummonArtificialServantTitle	Beschwöre einen künstlichen Diener
Feat/&SummonArtilleryConstructDescription	Der Blaster erstellt und befehligt ein Artilleriekonstrukt in einem von mehreren Modi. Die HP des Konstrukts steigen mit der Stufe seines Beschwörers und es kann einmal pro Tag für 1 Stunde kostenlos beschworen werden. Das Konstrukt kann mit einem Zauber der 1. Stufe wiederbeschworen werden. Die drei Modi sind:\n<color=#add8e6ff>Schutzkuppel-Konstrukt:</color>\nGewährt Verbündeten innerhalb von 10 Fuß 1W8 + 4 temporäre HP\n<color=#add8e6ff>Flammenartillerie-Konstrukt:</color>\nErzeugt einen Feuerkegel, der bei einem misslungenen GE-Rettungswurf 2W8 Schaden verursacht\n<color=#add8e6ff>Force Artillery Construct:</color>\nVerursacht 2W8 Kraftschaden und stößt den Gegner 1,50 m weit weg
Feat/&SummonArtilleryConstructlevel09Description	Eine neue Funktion wurde hinzugefügt. Das Artilleriekonstrukt kann sich selbst zerstören und bei einem fehlgeschlagenen Rettungswurf 3W8 Machtschaden verursachen.\nZusätzlich erhöhen sich sowohl die Flammen- als auch die Machtartillerie-Schadenswürfe um 1W8 auf insgesamt 3W8
Feat/&SummonArtilleryConstructlevel09Title	Artillerie-Konstrukt-Upgrade: Selbstzerstörung
Feat/&SummonArtilleryConstructlevel15Description	Eine neue Funktion wurde hinzugefügt. Das Artillerie-Konstrukt bietet Verbündeten innerhalb von 10 Fuß jetzt halbe Deckung\n<size=17><color=#add8e6ff>Artilleriekonstrukt-Upgrade: Verstärkungen</color></size>\nDu kannst jetzt zwei Artilleriekonstrukte beschwören. Die Konstrukte können den gleichen oder unterschiedliche Modi aufweisen
Feat/&SummonArtilleryConstructlevel15Title	Upgrade des Artilleriekonstrukts: Halbe Deckungskuppel
Feat/&SummonArtilleryConstructTitle	Artilleriekonstrukt beschwören
Feat/&SummonProtectorConstructDescription	Dein eigener Battle Buddy steht bereit, um dich zu verteidigen und Feinde anzugreifen. Das Beschützerkonstrukt kann sich dreimal täglich selbst reparieren und Verbündeten bei Angriffen Nachteile zufügen
Feat/&SummonProtectorConstructDescription_2	Beschützerkonstrukt-Upgrade beschwören
Feat/&SummonProtectorConstructDescription_Upgrade	Beschützerkonstrukt-Upgrade beschwören
Feat/&SummonProtectorConstructTitle	Beschützerkonstrukt beschwören
Feat/&SummonProtectorConstructTitle_2	Beschützerkonstrukt-Upgrade beschwören
Feat/&SummonProtectorConstructTitle_Upgrade	Beschützerkonstrukt-Upgrade beschwören
Feat/&TempHPShieldConstructDescription	Gewährt Verbündeten innerhalb von 10 Fuß 1W8 + 4 temporäre HP
Feat/&TempHPShieldConstructTitle	Schutzkuppelkonstrukt
Feat/&TempHPShieldConstructTitle_3	Schutzkuppelkonstrukt
Feat/&TempHPShieldConstructTitle_5	Schutzkuppelkonstrukt
Feat/&TempHPShieldDescription	Versorge Verbündete innerhalb von 10 Fuß mit 1W8 + 4 TempHP
Feat/&ThunderShieldDescription	Verteidigungsschild bietet TempHP x Stufe. 5 mal am Tag
Feat/&ThunderShieldTitle	Donnerschild
Feat/&TinkererConstructFamilyDescription	Erstellt von Tinkerer
Feat/&TinkererConstructFamilyTitle	Tüftlerkonstrukt
Feat/&TorchbearerDescription	Du bist geübt im Umgang mit einer Fackel im Kampf. Einmal pro Runde kannst du dich als Bonusaktion dafür entscheiden, eine von dir ausgerüstete Lichtquelle zu verwenden, um zu versuchen, einen Feind, den du berühren kannst, in Brand zu setzen. Dein Ziel muss einen Geschicklichkeitsrettungswurf bestehen oder 1 Minute lang oder bis es erlischt, 1W4 Feuerschaden pro Runde erleiden. Der SG dieses Rettungswurfs basiert auf Ihrem Geschicklichkeits- und Kompetenzbonus
Feat/&TorchbearerTitle	Fackelträger
Feat/&UseArmorWeaponsAsFocusDescription	Du kannst die Waffen der Rüstung als Zauberfokus für deine Zauber verwenden
Feat/&UseArmorWeaponsAsFocusTitle	Fokus auf Zauberei
Feat/&UsingitemPowerDescription	Ermöglicht die Verwendung von Waffenkraft für Bonusaktionen
Feat/&UsingitemPowerTitle	Benutze Waffenkraft
Feature/&AdditionalActionDualFlurryDescription	Du darfst einen zusätzlichen Nebenhandangriff ausführen
Feature/&AdditionalActionDualFlurryTitle	Doppelte Flut!
Feature/&AdditionalDamageAgonizingBlastDescription	Du fügst deinen Cha-Modifikator zum ersten Wurfschaden eines Eldritch Blast-Angriffs hinzu
Feature/&AdditionalDamageAgonizingBlastTitle	Qualvolle Explosion
Feature/&AdditionalDamageFeatShadySneakAttackDescription	Einmal pro Zug kannst du einer Kreatur, die du mit einem Angriff triffst, der einem Hinterhältigen Angriff des Schurken entspricht, 1W6 zusätzlichen Schaden zufügen. Auf der 7. Stufe erhöht sich dieser Schaden auf 2W6 und auf der 14. Stufe auf 3W6. Dies kann mit Rogue's Sneak Attack gestapelt werden
Feature/&AdditionalDamageFeatShadySneakAttackTitle	Zwielichtiger Sneak-Angriff
Feature/&AdditionalDamageHinderingBlastDescription	Wenn du eine Kreatur mit deiner unheimlichen Explosion triffst, kannst du die Geschwindigkeit dieser Kreatur bis zum Ende deines nächsten Zuges um 3 m reduzieren
Feature/&AdditionalDamageHinderingBlastTitle	Hinderliche Explosion
Feature/&AgonizingBlastDescription	Fügen Sie Ihren Charisma-Modifikator zum Schaden von Eldritch Basts hinzu
Feature/&AgonizingBlastTitle	Qualvolle Explosion
Feature/&AHSoulBladeEmpowerDamageBonusDescription	Du bist ermächtigt und fügst bei all deinen Angriffen einen Schadensbonus in Höhe deines Könnens zu
Feature/&AHSoulBladeEmpowerWeaponConditionDescription	Du bist ermächtigt und fügst bei all deinen Angriffen einen Schadensbonus in Höhe deines Könnens zu
Feature/&AHSoulBladeEmpowerWeaponConditionTitle	Seele ermächtigt
Feature/&AHSoulBladeEmpowerWeaponDamageBonusDescription	Du bist ermächtigt und fügst bei all deinen Angriffen einen Schadensbonus in Höhe deines Könnens zu
Feature/&AHSoulBladeEmpowerWeaponDamageBonusTitle	Seele ermächtigt
Feature/&AHSoulBladeSummonPactWeaponPowerDescription	Einmal pro kurzer Rast kannst du als Freie Aktion eine spirituelle Form einer Waffe aus deinem Pakt beschwören. Als Bonusaktion kannst du die Waffe wie gewünscht lenken, um deine Feinde anzugreifen. Die Waffe bewegt sich jedes Mal bis zu 20 Fuß, bevor sie zuschlägt
Feature/&AHSoulBladeSummonPactWeaponPowerTitle	Waffe des spirituellen Paktes
Feature/&AHWarlockClassPactBoonSetDescription	Auf der 3. Stufe verleiht Ihnen Ihr jenseitiger Gönner ein Geschenk für Ihre treuen Dienste. Sie können wählen zwischen:
Feature/&AHWarlockClassPactBoonSetTitle	Pakt Segen
Feature/&AHWarlockClassPactOfTheBladeSetDescription	Sie beherrschen alle Waffen und Ihre Waffenangriffe gelten als magisch
Feature/&AHWarlockClassPactOfTheBladeSetTitle	Pakt der Klinge
Feature/&AHWarlockSoulBladePactEmpowerWeaponPowerDescription	Einmal pro langer Rast kannst du eine Waffe mit Seelenkraft stärken. Diese Waffe verwendet den Charisma-Modifikator für Angriffs- und Schadenswürfe und zählt bis zu einer langen Pause als magisch
Feature/&AHWarlockSoulBladePactEmpowerWeaponPowerTitle	Seelenkraft
Feature/&AHWarlockSoulBladePactExtendedSpellListDescription	Mit der Seelenklinge kannst du aus einer erweiterten Liste von Zaubersprüchen wählen, wenn du einen Hexenmeisterzauber lernst. Die folgenden Zauber werden für Sie zur Hexenmeister-Zauberliste hinzugefügt.\nStufe 1: Schild, falsches Leben\nLevel 2: Blur, Branding Smite\nStufe 3: Hast, Langsam\nLevel 4: Phantasmal Killer, Schwarze Tentakel\nLevel 5: Kältekegel, Mind Twist
Feature/&AHWarlockSoulBladePactExtendedSpellListTitle	Seelenklingenzauber
Feature/&AHWarlockSoulBladePactSoulShieldPowerDescription	Einmal pro kurzer Rast nutzt du die Kraft der Seelen, um dich zu verteidigen. Mit einer Bonusaktion erhältst du temporäre HP in Höhe deiner Stufe + Charisma-Modifikator
Feature/&AHWarlockSoulBladePactSoulShieldPowerTitle	Seelenschild
Feature/&AHWarlockSoulBladePactSpellListDescription	Mit der Seelenklinge kannst du aus einer erweiterten Liste von Zaubersprüchen wählen, wenn du einen Hexenmeisterzauber lernst. Die folgenden Zauber werden für Sie zur Hexenmeister-Zauberliste hinzugefügt.\nStufe 1: Schild, falsches Leben\nLevel 2: Blur, Branding Smite\nStufe 3: Hast, Langsam\nLevel 4: Phantasmal Killer, Schwarze Tentakel\nLevel 5: Kältekegel, Mind Twist
Feature/&AHWarlockSoulBladePactSpellListTitle	Erweiterte Zauberliste der Seelenklinge
Feature/&AlwaysBeardDescription	{0} % Chancen, einen herrlichen Bart wachsen zu lassen!
Feature/&AncientForestExpandedSpelllistAfinityDescription	Du wählst aus einer erweiterten Liste von Zaubersprüchen, wenn du einen Hexenmeisterzauber lernst. Die folgenden Zauber werden der Hexenmeister-Zauberliste für Sie hinzugefügt:\n Stufe 1: Goodberry, Verstricken\n Stufe 2: Rindenhaut, Stachelwachstum\n Stufe 3: Massenheilungswort, vampirische Berührung\n Level 4: Blight, Kreaturen identifizieren\n Stufe 5: Ansteckung, Erwecke Tote
Feature/&AncientForestExpandedSpelllistAfinityTitle	Alte Waldzauber
Feature/&AncientForestLightAffinityDescription	Sie können Energie aus Sonnenlicht absorbieren. Während Sie sich in direktem hellem Licht befinden, erhalten Sie 2 HP pro Runde
Feature/&AncientForestLightAffinityTitle	Photosynthese
Feature/&AncientForestRegrowthDescription	Ein Vorrat an Heilkraft – 5 Punkte pro Hexenmeisterstufe
Feature/&AncientForestRegrowthTitle	Nachwachsen
Feature/&ArcaneDetonationDescription	Wenn du eine Kreatur mit dem Mal deines Arkanisten mit einem Waffenangriff triffst, detoniert das Mal, verursacht 1W6 Machtschaden und zerstört das Mal
Feature/&ArcaneDetonationTitle	Arkane Detonation
Feature/&ArcaneDetonationUpgradeDescription	Ab der 11. Stufe erhöht sich der Schaden deiner Arkanen Detonation auf 2W6
Feature/&ArcaneDetonationUpgradeTitle	Größere Arkane Detonation
Feature/&ArcanePulseDescription	Ab der 7. Stufe kannst du eine Eruption arkaner Energie in einer Entfernung von 30 Fuß verursachen. Feindliche Kreaturen innerhalb von 4,5 m um den Einschlagspunkt erleiden 4W8 Schaden und erhalten ein Zeichen des Arkanisten. Du kannst diese Fähigkeit pro langer Pause so oft einsetzen, wie es deinem Weisheitsmodifikator entspricht. Auf der 15. Stufe erhöht sich der Schaden deines Arkanen Pulses auf 8W8
Feature/&ArcanePulseTitle	Arkaner Puls
Feature/&ArcanistMarkDescription	Ab der 3. Stufe verleihen Sie Ihren Waffen arkane Macht. Kreaturen, die von deinen Angriffen getroffen werden, werden vom Zeichen des Arkanisten heimgesucht
Feature/&ArcanistMarkTitle	Zeichen des Arkanisten
Feature/&ArmorofShadowsTitle	Rüstung der Schatten
Feature/&ArtificerInfusionCastingDescription	Sie können die somatischen Komponenten von Zaubersprüchen ausführen, während Sie Waffen und Schilde halten
Feature/&ArtificerInfusionCastingTitle	Infusionsguss
Feature/&ArtificerSpecialistArchetypesDescription	Auf welches Studienfach spezialisieren Sie sich? Bastler können Schadensverursacher, Heiler und Kampfspezialisten sein
Feature/&ArtificerSpecialistArchetypesTitle	Tüftler-Spezialisierungen
Feature/&AscendantStepTitle	Aszendentenschritt
Feature/&AspectoftheMoonDescription	Sie müssen nicht mehr schlafen und können Wache halten, was die Wahrscheinlichkeit eines Angriffs verringert und sicherstellt, dass Sie wach sind, wenn das Lager angegriffen wird
Feature/&AspectoftheMoonTitle	Aspekt des Mondes
Feature/&AttributeModifierBolgrifStrengthAbilityScoreIncreaseDescription	Stärke +1
Feature/&AttributeModifierBolgrifStrengthAbilityScoreIncreaseTitle	Attributerhöhung
Feature/&AttributeModifierBolgrifWisdomAbilityScoreIncreaseDescription	Weisheit +2
Feature/&AttributeModifierBolgrifWisdomAbilityScoreIncreaseTitle	Attributerhöhung
Feature/&AttributeModifierForestGnomeAbilityScoreIncreaseDescription	Geschicklichkeit +1
Feature/&AttributeModifierForestGnomeAbilityScoreIncreaseTitle	Erhöhung des Attributs des Waldgnoms
Feature/&AttributeModifierGnomeAbilityScoreIncreaseDescription	Intelligenz +2
Feature/&AttributeModifierGnomeAbilityScoreIncreaseTitle	Erhöhung der Gnomattribute
Feature/&BarbarianIndomitableMightDescription	Wenn Ihr Gesamtwert für einen Stärkewurf geringer ist als Ihr Stärkewert, können Sie diesen Wert anstelle des Gesamtwerts verwenden
Feature/&BarbarianIndomitableMightTitle	Unbezwingbare Macht
Feature/&BardSkillsTitle	Bardenfähigkeiten
Feature/&BeguilingInfluenceDescription	Sie erwerben Kenntnisse in den Fertigkeiten Täuschung und Überzeugung
Feature/&BeguilingInfluenceTitle	Betörender Einfluss
Feature/&BolgrifDruidicMagicDescription	Du kennst einen Cantrip deiner Wahl aus der Zauberliste der Druiden. Weisheit ist deine Zauberfähigkeit dafür
Feature/&BolgrifDruidicMagicTitle	Druidische Magie
Feature/&BolgrifInvisibilityPowerDescription	Als Bonusaktion kannst du dich auf magische Weise für 1 Runde unsichtbar machen. Diese Unsichtbarkeit wird unterbrochen, wenn Sie anstößig handeln. Sobald Sie diese Fähigkeit verwendet haben, können Sie sie nicht erneut verwenden, bis Sie eine kurze oder lange Pause beendet haben
Feature/&BolgrifInvisibilityPowerTitle	Verschwinden
Feature/&BolgrifPowerfulBuildDescription	Sie zählen Ihre Größe als Large, wenn Sie Ihre Tragfähigkeit bestimmen
Feature/&BolgrifPowerfulBuildTitle	Leistungsstarker Aufbau
Feature/&BondoftheTalismanDescription	Teleportiere dich bis zu 5 Zellen weit
Feature/&BondoftheTalismanTitle	Teleport-Talisman
Feature/&ChainsofCarceriTitle	Ketten von Carceri
Feature/&ClassWarlockArmorProficiencyDescription	Leichte Rüstung
Feature/&ClassWarlockArmorProficiencyTitle	Hexenmeister-Rüstungsfähigkeiten
Feature/&ClassWarlockEldritchInvocationSetLevelDescription	Fügen Sie eine unheimliche Anrufung hinzu
Feature/&ClassWarlockEldritchInvocationSetLevelTitle	Eldritch-Anrufung
Feature/&ClassWarlockEldritchInvocationSetReplaceDescription	Ersetzen Sie eine unheimliche Anrufung
Feature/&ClassWarlockEldritchInvocationSetReplaceTitle	Eldritch Invokation ersetzt
Feature/&ClassWarlockEldritchMasterDescription	Sie können auf Ihre innere Reserve an mystischer Kraft zurückgreifen, während Sie Ihren Gönner bitten, verbrauchte Zauberslots wiederzuerlangen. Sie können 1 Minute damit verbringen, Ihren Patron um Hilfe zu bitten, um alle Ihre verbrauchten Zauberslots aus Ihrer Paktmagie-Funktion zurückzugewinnen. Sobald Sie mit dieser Funktion Zauberslots wiedererlangen, müssen Sie eine lange Pause einlegen, bevor Sie dies erneut tun können
