ActionAffinity/&DHFeeblemindSpellDescription	Unfähig zu zaubern
Feat/&TorchbearerDescription	Du bist geschickt im Umgang mit einer Fackel im Kampf. Einmal pro Runde kannst du als Bonusaktion eine Lichtquelle, die du ausgerüstet hast, benutzen, um einen Gegner, den du berühren kannst, in Brand zu setzen. Dein Ziel muss einen Rettungswurf auf Geschicklichkeit bestehen oder 1 Minute lang oder bis zum Erlöschen 1d4 Feuerschaden pro Runde erleiden. Der DC dieses Schutzwurfs basiert auf deiner Geschicklichkeit und deinem Fertigkeitsbonus.
Feat/&TorchbearerTitle	Fackelträger
Feat/&UseArmorWeaponsAsFocusDescription	Du kannst die Waffen der Rüstung als Zauberfokus für deine Zaubersprüche verwenden
Feat/&UseArmorWeaponsAsFocusTitle	Zaubernder Fokus
Feat/&UsingitemPowerDescription	Ermöglicht den Einsatz von Waffenkraft als Bonusaktion
Feat/&UsingitemPowerTitle	Waffenkraft verwenden
Feature/&AdditionalActionDualFlurryDescription	Du kannst einen zusätzlichen Angriff aus der freien Hand ausführen.
Feature/&AdditionalActionDualFlurryTitle	Doppelter Ansturm!
Feature/&AdditionalDamageAgonizingBlastDescription	Du addierst deinen Cha-Modifikator zum Schaden des ersten Wurfs eines Eldritch Blast-Angriffs.
Feature/&AdditionalDamageAgonizingBlastTitle	Qualvolle Explosion
Feature/&AdditionalDamageFeatShadySneakAttackDescription	Einmal pro Runde kannst du einer Kreatur, die du mit einem Angriff triffst, der dem Schleichangriff des Schurken entspricht, zusätzlich 1d6 Schaden zufügen. Ab Stufe 7 erhöht sich dieser Schaden auf 2d6 und ab Stufe 14 auf 3d6. Dieser Angriff kann mit dem Schleichangriff des Schurken gestapelt werden.
Feature/&AdditionalDamageFeatShadySneakAttackTitle	Schattiger Schleichangriff
Feature/&AdditionalDamageHinderingBlastDescription	Wenn du eine Kreatur mit deinem Eldritch-Schlag triffst, kannst du die Geschwindigkeit dieser Kreatur bis zum Ende deines nächsten Zuges um 10 Fuß verringern.
Feature/&AdditionalDamageHinderingBlastTitle	Hinderliche Explosion
Feature/&AgonizingBlastFeatureSetDescription	Wenn du einen Zauber wirkst, der Kraftschaden verursacht (Eldritchblast), addiere deinen Charisma-Modifikator zu dem Schaden, den er bei einem Treffer verursacht.
Feature/&AgonizingBlastFeatureSetTitle	Quälende Explosion
Feature/&AHSoulBladeEmpowerDamageBonusDescription	Du bist befähigt und verursachst bei all deinen Angriffen einen Schadensbonus in Höhe deiner Befähigung.
Feature/&AHSoulBladeEmpowerWeaponConditionDescription	Du bist befähigt und verursachst bei all deinen Angriffen einen Schadensbonus in Höhe deiner Befähigung.
Feature/&AHSoulBladeEmpowerWeaponConditionTitle	Seele gestärkt
Feature/&AHSoulBladeEmpowerWeaponDamageBonusDescription	Du bist ermächtigt und verursachst bei all deinen Angriffen einen Schadensbonus in Höhe deiner Befähigung.
Feature/&AHSoulBladeEmpowerWeaponDamageBonusTitle	Ermächtigte Seele
Feature/&AHSoulBladeSummonPactWeaponPowerDescription	Einmal pro kurzer Ruhepause kannst du als freie Aktion eine spirituelle Form einer Waffe aus deinem Pakt herbeirufen. Als Bonusaktion kannst du die Waffe nach Belieben ausrichten, um deine Feinde anzugreifen. Die Waffe bewegt sich jedes Mal bis zu 20 Fuß weit, bevor sie zuschlägt.
Feature/&AHSoulBladeSummonPactWeaponPowerTitle	Spirituelle Paktwaffe
Feature/&AHWarlockClassPactBoonSetDescription	Auf der 3. Stufe überreicht dir dein jenseitiger Gönner ein Geschenk für deine loyalen Dienste. Du kannst wählen zwischen:
Feature/&AHWarlockClassPactBoonSetTitle	Paktsegen
Feature/&AHWarlockClassPactOfTheBladeSetDescription	Du wirst im Umgang mit allen Waffen geübt und deine Waffenangriffe werden als magisch angesehen.
Feature/&AHWarlockClassPactOfTheBladeSetTitle	Pakt der Klinge
Feature/&AHWarlockFiendPactDarkOnesBlessingPowerDescription	Ab Stufe 1 erhältst du, wenn du eine feindliche Kreatur auf 0 Trefferpunkte*** reduzierst, vorübergehend Trefferpunkte in Höhe deines Charisma-Modifikators + deiner Hexenmeisterstufe (mindestens 1). \n*** Mod-Anmerkung - Dies fügt eine kostenlose Willenskraft hinzu, um diese Temp-HP hinzuzufügen, die du manuell benutzen musst, wenn du einen Feind niederstreckst/tötest.
Feature/&AHWarlockFiendPactDarkOnesBlessingPowerTitle	Segen des Dunklen
Feature/&AHWarlockFiendPactDarkOnesOwnLuckDescription	Du erhältst einmal pro Tag einen unbezwingbaren Einsatz (du hast die Wahl, deinen Rettungswurf zu wiederholen, wenn du versagst). (Stimmt nicht mit der SRD überein, würde aber eine ganz neue Reaktionsfähigkeit erfordern, um die SRD zu emulieren).
Feature/&AHWarlockFiendPactDarkOnesOwnLuckTitle	Eigenes Glück des Dunklen
Feature/&AHWarlockFiendPactExtendedSpellListDescription	Der Unhold lässt dich aus einer erweiterten Liste von Zaubern wählen, wenn du einen Hexenmeisterzauber erlernst. Die folgenden Zauber werden der Liste der Hexenmeisterzauber für dich hinzugefügt. \nStufe 1: Brennende Hände, Fluch \nStufe 2: Blindheit, Sengender Strahl \nStufe 3: Feuerball, Stinkende Wolke \nStufe 4: Feuerschild, Feuerwand \nStufe 5: Flammenstoß, Elementarfeuer beschwören
Feature/&AHWarlockFiendPactExtendedSpellListTitle	Erweiterte Zauberliste des Unholds
Feature/&AHWarlockFiendPactFiendishResilienceDescription	Du erhältst Widerstand gegen Feuerschaden. (Nicht identisch mit SRD - ich glaube, die richtige Implementierung würde eine Kraft für jeden Schadenstyp mit einem gemeinsamen Ressourcenpool erfordern, da es im Moment keine Möglichkeit zu geben scheint, Kraftauswahlen wie Zauber zu gruppieren).
Feature/&AHWarlockFiendPactFiendishResilienceTitle	Unmenschliche Widerstandsfähigkeit
Feature/&AHWarlockFiendPactSpellListDescription	Der Unhold lässt euch aus einer erweiterten Liste von Zaubern wählen, wenn ihr einen Hexenmeisterzauber lernt. Die folgenden Zauber werden der Liste der Hexenmeisterzauber für euch hinzugefügt. \nStufe 1: Brennende Hände, Fluch \nStufe 2: Blindheit, Sengender Strahl \nStufe 3: Feuerball, Stinkende Wolke \nStufe 4: Feuerschild, Feuerwand \nStufe 5: Flammenstoß, Elementares Feuer beschwören
Feature/&AHWarlockFiendPactSpellListTitle	Erweiterte Zauberliste des Unholds
Feature/&AHWarlockSoulBladePactEmpowerWeaponPowerDescription	Einmal pro kurzer Ruhepause kannst du eine Minute lang eine Waffe mit der Macht der Seelen ausstatten. Deine Waffe leuchtet dann 20ft helles Licht und 20ft schummriges Licht aus und du addierst dein Charisma zu deinem Trefferwert. Zusätzlich fügen alle deine Angriffe für die Dauer der Fähigkeit einen Bonus auf deinen Schaden hinzu.
Feature/&AHWarlockSoulBladePactEmpowerWeaponPowerTitle	Seele verstärken
Feature/&AHWarlockSoulBladePactExtendedSpellListDescription	Die Seelenklinge lässt dich aus einer erweiterten Liste von Zaubern wählen, wenn du einen Hexenmeisterzauber erlernst. Die folgenden Zauber werden der Liste der Hexenmeisterzauber für dich hinzugefügt. \nStufe 1: Schild, Falsches Leben \nStufe 2: Unschärfe, Brennender Peiniger \nStufe 3: Eile, Verlangsamen \nStufe 4: Phantasmatischer Killer, Schwarze Tentakel \nStufe 5: Kältekegel, Gedankenverdrehung
Feature/&AHWarlockSoulBladePactExtendedSpellListTitle	Seelenklingen-Zauber
Feature/&AHWarlockSoulBladePactSoulShieldPowerDescription	Einmal pro kurzer Pause nutzt du die Macht der Seelen, um dich zu verteidigen. Mit einer Bonusaktion erhältst du temporäre PS in Höhe deiner Stufe + Charisma-Modifikator.
Feature/&AHWarlockSoulBladePactSoulShieldPowerTitle	Seelenschild
Feature/&AHWarlockSoulBladePactSpellListDescription	Die Seelenklinge lässt dich aus einer erweiterten Liste von Zaubern wählen, wenn du einen Hexenmeisterzauber erlernst. Die folgenden Zauber werden der Liste der Hexenmeisterzauber für dich hinzugefügt. \nStufe 1: Schild, Falsches Leben \nStufe 2: Unschärfe, Brennender Peiniger \nStufe 3: Eile, Langsam \nStufe 4: Phantasmatischer Killer, Schwarze Tentakel \nStufe 5: Kältekegel, Gedankenverdrehung
Feature/&AHWarlockSoulBladePactSpellListTitle	Erweiterte Zauberliste für Seelenklinge
Feature/&AlwaysBeardDescription	{0}% Chance, sich einen prächtigen Bart wachsen zu lassen!
Feature/&AncientForestExpandedSpelllistAfinityDescription	Wenn du einen Hexenmeisterzauber erlernst, kannst du aus einer erweiterten Liste von Zaubern wählen. Die folgenden Zauber werden der Liste der Hexenmeisterzauber für dich hinzugefügt: \n Stufe 1: Goodberry, Entangle \n Stufe 2: Barkskin, Spike Growth\n Stufe 3: Mass Healing Word, Vampiric Touch \n Stufe 4: Blight, Greater Restoration \n Stufe 5: Contagion, Raise Dead
Feature/&AncientForestExpandedSpelllistAfinityTitle	Uralte Waldzauber
Feature/&AncientForestLightAffinityDescription	Du kannst Energie aus Sonnenlicht absorbieren. Solange du dich in direktem, hellem Licht befindest, erhältst du 2 HP pro Runde.
Feature/&AncientForestLightAffinityTitle	Photosynthese
Feature/&AncientForestRegrowthDescription	Ein Pool an Heilkraft - 5 Punkte pro Hexenmeisterstufe
Feature/&AncientForestRegrowthTitle	Nachwuchs
Feature/&ArcaneDetonationDescription	Wenn du eine Kreatur, die dein Arkanistenmal trägt, mit einem Waffenangriff triffst, explodiert das Zeichen, verursacht 1d6 Kraftschaden und zerstört das Zeichen.
Feature/&ArcaneDetonationTitle	Arkane Detonation
Feature/&ArcaneDetonationUpgradeDescription	Ab Stufe 11 erhöht sich der Schaden deiner Arkanen Detonation auf 2d6.
Feature/&ArcaneDetonationUpgradeTitle	Größere Arkane Detonation
Feature/&ArcanePulseDescription	Ab der 7. Stufe kannst du eine Eruption arkaner Energie in einem Umkreis von 30 Fuß auslösen. Feindliche Kreaturen im Umkreis von 15 Fuß um den Einschlagspunkt erleiden 4d8 Schaden und erhalten ein Arkanistenmal. Du kannst diese Fähigkeit so oft einsetzen, wie es deinem Weisheitsmodifikator pro langer Ruhezeit entspricht. Auf Stufe 15 erhöht sich der Schaden deines Arkanen Impulses auf 8d8.
Feature/&ArcanePulseTitle	Arkaner Impuls
Feature/&ArcanistMarkDescription	Ab der 3. Stufe durchdringt du deine Waffen mit arkaner Macht. Kreaturen, die von deinen Angriffen getroffen werden, werden mit dem Mal des Arkanisten behaftet.
Feature/&ArcanistMarkTitle	Zeichen des Arkanisten
Feature/&ArmorofShadowsTitle	Rüstung der Schatten
Feature/&ArtificerInfusionCastingDescription	Du kannst die somatischen Komponenten von Zaubern ausführen, während du Waffen und Schilde hältst.
Feature/&ArtificerInfusionCastingTitle	Infusionszauber
Feature/&ArtificerSpecialistArchetypesDescription	Auf welches Fachgebiet hast du dich spezialisiert? Kesselflicker können Schadensausteiler, Heiler und Kampfspezialisten sein.
Feature/&ArtificerSpecialistArchetypesTitle	Kesselflicker-Spezialisierungen
Feature/&AscendantStepTitle	Aufsteigende Stufe
Feature/&AspectoftheMoonDescription	Du brauchst nicht mehr zu schlafen und kannst Wache halten, um die Wahrscheinlichkeit eines Angriffs zu verringern und sicherzustellen, dass du wach bist, wenn das Lager angegriffen wird.
Feature/&AspectoftheMoonTitle	Aspekt des Mondes
Feature/&AttributeModifierBolgrifAbilityScoreSetDescription	Weisheit +2, Stärke +1
Feature/&AttributeModifierBolgrifAbilityScoreSetTitle	Attributsteigerung
Feature/&AttributeModifierGnomeAbilityScoreSetDescription	Intelligenz +2, Geschicklichkeit +1
Feature/&AttributeModifierGnomeAbilityScoreSetTitle	Attributssteigerung
Feature/&BarbarianIndomitableMightDescription	Wenn die Gesamtsumme eines Stärkechecks niedriger ist als dein Stärkewert, kannst du diesen Wert anstelle der Gesamtsumme verwenden.
Feature/&BarbarianIndomitableMightTitle	Unbezwingbare Macht
Feature/&BardSkillsTitle	Barden-Fertigkeiten
Feature/&BeguilingInfluenceDescription	Du erhältst die Fertigkeiten Täuschung und Überredung.
Feature/&BeguilingInfluenceTitle	Betörende Beeinflussung
Feature/&BolgrifDruidicMagicDescription	Du kennst einen Cantrip deiner Wahl aus der Druidenzauberliste. Weisheit ist deine Zauberfähigkeit für diesen Zauber.
Feature/&BolgrifDruidicMagicTitle	Druidische Magie
Feature/&BolgrifInvisibilityPowerDescription	Als Bonusaktion kannst du dich auf magische Weise für 1 Runde unsichtbar machen. Diese Unsichtbarkeit wird unterbrochen, wenn du eine offensive Aktion ausführst. Wenn du diese Fähigkeit einmal benutzt hast, kannst du sie erst wieder nach einer kurzen oder langen Ruhepause einsetzen.
Feature/&BolgrifInvisibilityPowerTitle	Verschwinden
Feature/&BolgrifPowerfulBuildDescription	Du zählst deine Größe als Groß, wenn du deine Tragfähigkeit bestimmst.
Feature/&BolgrifPowerfulBuildTitle	Mächtiges Gebäude
Feature/&BondoftheTalismanDescription	Teleportiere dich bis zu 5 Zellen weit weg.
Feature/&BondoftheTalismanTitle	Teleport-Talisman
Feature/&ChainsofCarceriTitle	Ketten von Carceri
Feature/&ClassWarlockArmorProficiencyDescription	Leichte Rüstung
Feature/&ClassWarlockArmorProficiencyTitle	Hexenmeister-Rüstungsfähigkeiten
Feature/&ClassWarlockEldritchInvocationSetLevel2Description	Füge eine eldritchische Beschwörung hinzu.
Feature/&ClassWarlockEldritchInvocationSetLevel2Title	Eldritch-Beschwörung
Feature/&ClassWarlockEldritchInvocationSetLevel5Description	Fügt eine eldritchische Beschwörung hinzu.
Feature/&ClassWarlockEldritchInvocationSetLevel5Title	Eine eldritchische Beschwörung hinzufügen.
Feature/&ClassWarlockEldritchInvocationSetLevelDescription	Eine eldritchische Beschwörung hinzufügen.
Feature/&ClassWarlockEldritchInvocationSetLevelTitle	Eldritch-Beschwörung
Feature/&ClassWarlockEldritchMasterDescription	Du kannst auf deine inneren Reserven an mystischer Macht zurückgreifen, während du deinen Gönner anflehst, verbrauchte Zauberplätze wiederherzustellen. Du kannst 1 Minute damit verbringen, deinen Beschützer um Hilfe zu bitten, um alle verbrauchten Zauberplätze aus deiner Eigenschaft Paktmagie wiederzuerlangen. Sobald du mit dieser Eigenschaft Zauberplätze wiedererlangt hast, musst du eine lange Ruhepause einlegen, bevor du dies erneut tun kannst.
Feature/&ClassWarlockEldritchMasterTitle	Eldritch-Meister
Feature/&ClassWarlockMysticArcanumSetDescription	Dein Gönner verleiht dir ein magisches Geheimnis namens Arkanum. Du kannst deinen Arkanum-Zauber einmal wirken, ohne einen Zauberslot zu verbrauchen. Du musst eine lange Pause einlegen, bevor du ihn erneut wirken kannst. Auf höheren Stufen erhältst du weitere Hexenmeisterzauber deiner Wahl, die auf diese Weise gewirkt werden können: einen Zauber der Stufe 6 auf Stufe 11, einen Zauber der Stufe 7 auf Stufe 13, einen Zauber der Stufe 8 auf Stufe 15 und einen Zauber der Stufe 9 auf Stufe 17.
Feature/&ClassWarlockMysticArcanumSetTitle	Mystisches Arkanum
Feature/&ClassWarlockSavingThrowProficiencyDescription	Weisheit, Charisma
Feature/&ClassWarlockSavingThrowProficiencyTitle	Fertigkeiten für Rettungswürfe
Feature/&ClassWarlockSkillProficiencyDescription	Wähle 2 der folgenden Fertigkeiten: Arkana, Täuschung, Geschichte, Einschüchterung, Erkundung, Natur und Religion
Feature/&ClassWarlockSkillProficiencyTitle	Hexenmeister-Fertigkeiten
Feature/&ClassWarlockSpellcastingDescription	Deine arkanen Forschungen und die Magie, die dir von deinem jenseitigen Gönner verliehen wurde, haben dir den Umgang mit Zaubern ermöglicht
Feature/&ClassWarlockSpellcastingTitle	Hexenmeister-Pakt-Magie
Feature/&ClassWarlockToolsProficiencyDescription	Du wurdest darin ausgebildet, Kräutermittel zu brauen und Verzauberungsgeräte zu benutzen.
Feature/&ClassWarlockToolsProficiencyTitle	Magisches Handwerk des Hexenmeisters
Feature/&ClassWarlockWeaponProficiencyDescription	Einfache Waffen
Feature/&ClassWarlockWeaponProficiencyTitle	Hexenmeister-Waffenfähigkeiten
Feature/&CounterStrikePowerDescription	Gib einen Gambit-Würfel aus und füge dem Feind einen Gegenschlag zu. Wenn du triffst, verursachst du zusätzlich 1d6+2 Schaden durch Niederschlagen.
Feature/&CounterStrikePowerTitle	Gegenschlag
Feature/&DH_AirTitan_LightningStorm_Custom_Power_Description	6d8 Blitze im weiten Umkreis
Feature/&DH_AirTitan_LightningStorm_Custom_Power_Title	Blitzsturm
Feature/&DH_AtWill_Fireball_Power_Description	Feuerball mit Willenskraft
Feature/&DH_AtWill_Fireball_Power_Title	Feuerball
Feature/&DH_AtWill_HoldMonster_Power_Description	3 Einsätze pro Tag
Feature/&DH_AtWill_HoldMonster_Power_Title	Monster festhalten
Feature/&DH_AtWill_Invisibility_Power_Description	Unsichtbarkeit mit Willenskraft
Feature/&DH_AtWill_Invisibility_Power_Title	Unsichtbarkeit
Feature/&DH_BlinkDescription	Als Bonusaktion verschwindest du aus deiner aktuellen Existenzebene und verhinderst jeglichen Schaden. Zu Beginn deines nächsten Zuges kehrst du in den Raum zurück, aus dem du verschwunden bist.
Feature/&DH_BlinkTitle	Blinzeln
Feature/&DH_FadeIntoTheVoidDescription	Wenn du auf 0 Trefferpunkte reduziert, aber nicht getötet wirst, sinkst du stattdessen auf 1 Trefferpunkt, während du kurz in die Leere verschwindest, um den Schaden zu verringern. Du kannst diese Fähigkeit erst wieder einsetzen, wenn du eine lange Pause gemacht hast.
Feature/&DH_FadeIntoTheVoidTitle	In die Leere verblassen
Feature/&DH_Generic_Lightning_Attack_Custom_Power_Description	12D8
Feature/&DH_Generic_Lightning_Attack_Custom_Power_Title	Blitzschlag
Feature/&DH_RiftCloakDescription	Deine Kontrolle über Spaltportale hat sich so weit verbessert, dass du nun anderen den Schutz des Spalts gewähren kannst. Du kannst nach Belieben ein Schutzband wirken (ohne Schaden zu teilen).
Feature/&DH_RiftCloakTitle	Spalt-Umhang
Feature/&DH_RiftControlDescription	Du bist kurzzeitig von der Energie des Spalts umgeben und teleportierst dich in einen unbesetzten Raum. Du kannst jetzt einen Verbündeten mitnehmen, wenn du dich teleportierst, und die Reichweite wurde deutlich erhöht.
Feature/&DH_RiftControlTitle	Spalt-Portal
Feature/&DH_RiftStrikeDescription	Einmal am Tag, wenn du im Nahkampf verletzt wirst, kannst du mit deiner Reaktion ein Portal erschaffen, das den Angreifer für 1 Runde aus deiner Existenzebene verbannt.
Feature/&DH_RiftStrikeTitle	Spalt-Schlag
Feature/&DH_RiftWalkDescription	Du bist kurzzeitig von der Energie der Leere zwischen den Welten umgeben und teleportierst dich bis zu 30 Fuß weit in einen unbesetzten Raum, den du sehen kannst.
Feature/&DH_RiftWalkTitle	Riss-Schritt
Feature/&DHAncientForestBonusCantripDescription	Dein Gönner weiht dich in die Geheimnisse der Verbindung von natürlicher Magie und Lebensenergie ein. Du lernst Shillelagh und Chill Touch
Feature/&DHAncientForestBonusCantripTitle	Uralte Wald-Bonuszauber
Feature/&DHConjureMinorElementalsBonusCantripDescription	Deine Kontrolle über elementare Energien hat sich soweit verbessert, dass du nun auch schwächere Elementare beherrschen kannst. Du kannst nach Belieben kleinere Elementare beschwören.
Feature/&DHConjureMinorElementalsBonusCantripTitle	Elementare Schergen
Feature/&DHHolyAuraBlindingPowerDescription	Wenn ein Unhold oder ein Untoter eine betroffene Kreatur mit einem Nahkampfangriff trifft, blitzt die Aura in leuchtendem Licht auf. Der Angreifer muss einen Konstitutionsschutzwurf bestehen oder geblendet werden, bis der Zauber endet.
Feature/&DHHolyAuraBlindingPowerTitle	Heilige Aura - Vergeltung
Feature/&DHPactOfTheTomeFeatureSetDescription	Dein Gönner schenkt dir ein Grimoire namens Buch der Schatten. Wenn du diese Eigenschaft erhältst, kannst du drei Zaubersprüche aus der Zauberliste einer beliebigen Klasse wählen. Die Zaubersprüche müssen nicht aus derselben Zauberliste stammen. Solange du das Buch bei dir trägst, kannst du diese Zaubersprüche nach Belieben wirken. Sie zählen nicht zu deiner Anzahl bekannter Zaubersprüche. Jeder Zauber, den du mit dieser Eigenschaft wirkst, gilt für dich als Hexenmeisterzauber.
