ActionAffinity/&DHFeeblemindSpellDescription	Unable to cast spells
Feat/&SummonArtilleryConstructDescription	The Blaster creates and commands an Artillery Construct in one of multiple modes. The construct's HP increases with it's summoners levels and can be summoned for free for 1 hour once per day. The construct can be resummoned via 1st level spell. The three modes are: \n<color=#add8e6ff>Protecting Dome Construct:</color>\nGrants 1D8 + 4 temporary HP to allies within 10ft \n<color=#add8e6ff>Flame Artillery Construct:</color>\nCreates a cone of fire that deals 2D8 damage on a failed Dex save\n<color=#add8e6ff>Force Artillery Construct:</color>\nDeals 2D8 force damage and pushs enemy 5ft away
Feat/&SummonArtilleryConstructlevel09Description	A new function has been added. The Artillery Construct can destroy itself dealing 3D8 force damage on a failed save. \nAddditionally both the Flame and Force Artillery damage rolls increase by 1D8 to a total of 3D8
Feat/&SummonArtilleryConstructlevel09Title	Artillery Construct Upgrade: Self-Destruct
Feat/&SummonArtilleryConstructlevel15Description	A new function has been added. The Artillery Construct now provides half cover to allies within 10ft \n<size=17><color=#add8e6ff>Artillery Construct Upgrade: Reinforcements</color></size>\nYou can now summon two Artillery Constructs. The constructs can be of the same or different modes
Feat/&SummonArtilleryConstructlevel15Title	Artillery Construct Upgrade: Half Cover Dome
Feat/&SummonArtilleryConstructTitle	Summon Artillery Construct
Feat/&SummonProtectorConstructDescription	Your very own Battle Buddy stands ready to defend you and attack enemies. The Protector Construct can Self-Repair 3 times a day and can impose disadvantage on attacks on allies
Feat/&SummonProtectorConstructDescription_2	Summon Protector Construct Upgrade
Feat/&SummonProtectorConstructDescription_Upgrade	Summon Protector Construct Upgrade
Feat/&SummonProtectorConstructTitle	Summon Protector Construct
Feat/&SummonProtectorConstructTitle_2	Summon Protector Construct Upgrade
Feat/&SummonProtectorConstructTitle_Upgrade	Summon Protector Construct Upgrade
Feat/&TempHPShieldConstructDescription	Grants 1D8 + 4 temporary HP to allies within 10ft
Feat/&TempHPShieldConstructTitle	Protecting Dome Construct
Feat/&TempHPShieldConstructTitle_3	Protecting Dome Construct
Feat/&TempHPShieldConstructTitle_5	Protecting Dome Construct
Feat/&TempHPShieldDescription	Provide 1D8 + 4 TempHP to allies within 10ft
Feat/&ThunderShieldDescription	Denfensive shield provides TempHP x level. 5 times per day
Feat/&ThunderShieldTitle	Thunder Shield
Feat/&TinkererConstructFamilyDescription	Created by Tinkerer
Feat/&TinkererConstructFamilyTitle	Tinkerer Construct
Feat/&TorchbearerDescription	You are skilled in the use of a torch in battle. Once per turn, as a bonus action you may elect to use a light source you have equipped to attempt to set an enemy you can touch on fire. Your target must succeed on a Dexterity saving throw or take 1d4 fire damage per turn for 1 minute or until extinguished. The DC of this save is based on your Dexterity and Proficiency Bonus
Feat/&TorchbearerTitle	Torchbearer
Feat/&UseArmorWeaponsAsFocusDescription	You can use the armor's weapons as a spellcasting focus for your spells
Feat/&UseArmorWeaponsAsFocusTitle	Spellcasting focus
Feat/&UsingitemPowerDescription	Allows weapon power to be used on bonus action
Feat/&UsingitemPowerTitle	Use Weapon Power
Feature/&AdditionalActionDualFlurryDescription	You may make an additional off-hand attack
Feature/&AdditionalActionDualFlurryTitle	Dual Flurry!
Feature/&AdditionalDamageAgonizingBlastDescription	You add you Cha modifier to the first roll damge of an Eldritch Blast attack
Feature/&AdditionalDamageAgonizingBlastTitle	Agonizing Blast
Feature/&AdditionalDamageFeatShadySneakAttackDescription	Once per turn, you can deal an extra 1d6 damage to one creature you hit with an attack that meets Rogue's Sneak Attack. At 7th level this damage increases to 2d6 and at 14th level to 3d6. This can stack with Rogue's Sneak Attack
Feature/&AdditionalDamageFeatShadySneakAttackTitle	Shady Sneak Attack
Feature/&AdditionalDamageHinderingBlastDescription	When you hit a creature with your eldritch blast, you can reduce that creature's speed by 10 feet until the end of your next turn
Feature/&AdditionalDamageHinderingBlastTitle	Hindering Blast
Feature/&AgonizingBlastDescription	Add your Charisma modifier to the damage of Eldritch Basts
Feature/&AgonizingBlastTitle	Agonizing Blast
Feature/&AHSoulBladeEmpowerDamageBonusDescription	You are empowered and do a damage bonus equal to your proficiency on all your attacks
Feature/&AHSoulBladeEmpowerWeaponConditionDescription	You are empowered and do a damage bonus equal to your proficiency on all your attacks
Feature/&AHSoulBladeEmpowerWeaponConditionTitle	Soul Empowered
Feature/&AHSoulBladeEmpowerWeaponDamageBonusDescription	You are empowered and do a damage bonus equal to your proficiency on all your attacks
Feature/&AHSoulBladeEmpowerWeaponDamageBonusTitle	Soul Empowered
Feature/&AHSoulBladeSummonPactWeaponPowerDescription	Once per short rest you can summon forth a spiritual form of a weapon from your pact as a free action. As a bonus action you can direct the weapon as desired to attack your foes. The weapon moves up to 20ft each time before striking
Feature/&AHSoulBladeSummonPactWeaponPowerTitle	Spiritual Pact Weapon
Feature/&AHWarlockClassPactBoonSetDescription	At 3rd level, your otherworldly patron bestows a gift upon you for your loyal service. You can choose between:
Feature/&AHWarlockClassPactBoonSetTitle	Pact boon
Feature/&AHWarlockClassPactOfTheBladeSetDescription	You become proficient with all weapons and your weapon attacks are considered magical
Feature/&AHWarlockClassPactOfTheBladeSetTitle	Pact of the Blade
Feature/&AHWarlockSoulBladePactEmpowerWeaponPowerDescription	Once per long rest you can empower a weapon with the power of souls. That weapon uses Charisma modifier for attack and damage rolls and counts as magical until long rest
Feature/&AHWarlockSoulBladePactEmpowerWeaponPowerTitle	Soul Empower
Feature/&AHWarlockSoulBladePactExtendedSpellListDescription	The Soul blade lets you choose from an expanded list of spells when you learn a warlock spell. The following spells are added to the warlock spell list for you. \nLevel 1: Shield, False life\nLevel 2: Blur, Branding Smite \nLevel 3: Haste, Slow \nLevel 4: Phantasmal Killer, Black Tentacles \nLevel 5: Cone of Cold, Mind Twist
Feature/&AHWarlockSoulBladePactExtendedSpellListTitle	Soulblade Spells
Feature/&AHWarlockSoulBladePactSoulShieldPowerDescription	Once per short rest you use the power of souls to defend yourself. Using a bonus action you gain temp hp equal to your level + charisma modifier
Feature/&AHWarlockSoulBladePactSoulShieldPowerTitle	Soul Shield
Feature/&AHWarlockSoulBladePactSpellListDescription	The Soul blade lets you choose from an expanded list of spells when you learn a warlock spell. The following spells are added to the warlock spell list for you. \nLevel 1: Shield, False life\nLevel 2: Blur, Branding Smite \nLevel 3: Haste, Slow \nLevel 4: Phantasmal Killer, Black Tentacles \nLevel 5: Cone of Cold, Mind Twist
Feature/&AHWarlockSoulBladePactSpellListTitle	Soul blade expanded spell list
Feature/&AlwaysBeardDescription	{0}% chances to grow a glorious beard!
Feature/&AncientForestExpandedSpelllistAfinityDescription	You choose from an expanded list of spells when you learn a warlock spell. The following spells are added to the warlock spell list for you: \n Level 1: Goodberry, Entangle \n Level 2: Barkskin, Spike Growth\n Level 3: Mass Healing Word, Vampiric Touch \n Level 4: Blight, Identify Creatures \n Level 5: Contagion,Raise Dead
Feature/&AncientForestExpandedSpelllistAfinityTitle	Ancient Forest Spells
Feature/&AncientForestLightAffinityDescription	You can absorb energy from sunlight. While you are in direct bright light, you gain 2 HP per round
Feature/&AncientForestLightAffinityTitle	Photosynthesis
Feature/&AncientForestRegrowthDescription	A pool of healing power - 5 points per warlock level
Feature/&AncientForestRegrowthTitle	Regrowth
Feature/&ArcaneDetonationDescription	When you hit a creature that has your Arcanist's Mark with a weapon attack, the mark detonates, dealing 1d6 force damage and destroying the mark
Feature/&ArcaneDetonationTitle	Arcane Detonation
Feature/&ArcaneDetonationUpgradeDescription	Starting at 11th level, the damage from your Arcane Detonation increases to 2d6
Feature/&ArcaneDetonationUpgradeTitle	Greater Arcane Detonation
Feature/&ArcanePulseDescription	Starting at 7th level, you can cause an eruption of arcane energy at a range of 30 feet. Hostile creatures within 15 feet of the point of impact take 4d8 damage and gain an Arcanist's Mark. You may use this ability a number of times equal to your wisdom modifier per long rest. At 15th level, the damage of your Arcane Pulse increases to 8d8
Feature/&ArcanePulseTitle	Arcane Pulse
Feature/&ArcanistMarkDescription	Starting at 3rd level, you imbue your weapons with arcane power. Creatures that are hit by your attacks are afflicted by the Arcanist's Mark
Feature/&ArcanistMarkTitle	Arcanist's Mark
Feature/&ArmorofShadowsTitle	Armor of Shadows
Feature/&ArtificerInfusionCastingDescription	You can perform the somatic components of spells while holding weapons and shields
Feature/&ArtificerInfusionCastingTitle	Infusion Casting
Feature/&ArtificerSpecialistArchetypesDescription	What field of study do you specialize in? Tinkerers can be damage dealers, healers, and martial specialists
Feature/&ArtificerSpecialistArchetypesTitle	Tinkerer Specializations
Feature/&AscendantStepTitle	Ascendant Step
Feature/&AspectoftheMoonDescription	You no longer need to sleep and can keep watch, lowering the chances of attack and ensuring you are awake if camp is attacked
Feature/&AspectoftheMoonTitle	Aspect of the Moon
Feature/&AttributeModifierBolgrifStrengthAbilityScoreIncreaseDescription	Strength +1
Feature/&AttributeModifierBolgrifStrengthAbilityScoreIncreaseTitle	Attribute Increase
Feature/&AttributeModifierBolgrifWisdomAbilityScoreIncreaseDescription	Wisdom +2
Feature/&AttributeModifierBolgrifWisdomAbilityScoreIncreaseTitle	Attribute Increase
Feature/&AttributeModifierForestGnomeAbilityScoreIncreaseDescription	Dexterity +1
Feature/&AttributeModifierForestGnomeAbilityScoreIncreaseTitle	Forest Gnome Attribute Increase
Feature/&AttributeModifierGnomeAbilityScoreIncreaseDescription	Intelligence +2
Feature/&AttributeModifierGnomeAbilityScoreIncreaseTitle	Gnome Attribute Increase
Feature/&BarbarianIndomitableMightDescription	If your total for a Strength check is less than your Strength score, you can use that score in place of the total
Feature/&BarbarianIndomitableMightTitle	Indomitable Might
Feature/&BardSkillsTitle	Bard Skills
Feature/&BeguilingInfluenceDescription	You gain proficiency in the Deception and Persuasion skills
Feature/&BeguilingInfluenceTitle	Beguiling Influence
Feature/&BolgrifDruidicMagicDescription	You know one cantrip of your choice from the druid spell list. Wisdom is your spellcasting ability for it
Feature/&BolgrifDruidicMagicTitle	Druidic Magic
Feature/&BolgrifInvisibilityPowerDescription	As a bonus action, you can magically turn invisible for 1 round. This invisibility breaks if you take any offensive action. Once you use this ability, you can't use it again until you finish a short or long rest
Feature/&BolgrifInvisibilityPowerTitle	Vanish
Feature/&BolgrifPowerfulBuildDescription	You count your size as Large when determining your carrying capacity
Feature/&BolgrifPowerfulBuildTitle	Powerful Build
Feature/&BondoftheTalismanDescription	Teleport up to 5 cells away
Feature/&BondoftheTalismanTitle	Teleport Talisman
Feature/&ChainsofCarceriTitle	Chains of Carceri
Feature/&ClassWarlockArmorProficiencyDescription	Light Armor
Feature/&ClassWarlockArmorProficiencyTitle	Warlock Armor Proficiencies
Feature/&ClassWarlockEldritchInvocationSetLevelDescription	Add an eldritch invocation
Feature/&ClassWarlockEldritchInvocationSetLevelTitle	Eldritch Invocation
Feature/&ClassWarlockEldritchInvocationSetReplaceDescription	Replace an eldritch invocation
Feature/&ClassWarlockEldritchInvocationSetReplaceTitle	Replaced Eldritch Invocation
Feature/&ClassWarlockEldritchMasterDescription	you can draw on your inner reserve of mystical power while entreating your patron to regain expended spell slots. You can spend 1 minute entreating your patron for aid to regain all your expended spell slots from your Pact Magic feature. Once you regain spell slots with this feature, you must finish a long rest before you can do so again
Feature/&ClassWarlockEldritchMasterTitle	Eldritch Master
Feature/&ClassWarlockMysticArcanumSetDescription	Your patron bestows upon you a magical secret called an arcanum. You can cast your arcanum spell once without expending a spell slot. You must finish a long rest before you can do so again. At higher levels, you gain more warlock spells of your choice that can be cast in this way: one 6th-level spell at 11th level, one 7th-level spell at 13th level, one 8th-level spell at 15th level, and one 9th-level spell at 17th level
Feature/&ClassWarlockMysticArcanumSetTitle	Mystic Arcanum
Feature/&ClassWarlockSavingThrowProficiencyDescription	Wisdom, Charisma
Feature/&ClassWarlockSavingThrowProficiencyTitle	Saving Throws Proficiencies
Feature/&ClassWarlockSkillProficiencyDescription	Choose 2 of these skills: Arcana, Deception, History, Intimidation, Investigation, Nature, and Religion
Feature/&ClassWarlockSkillProficiencyTitle	Warlock Skills
Feature/&ClassWarlockSpellcastingDescription	Your arcane research and the magic bestowed on you by your otherwordly patron have given you facility with spells
Feature/&ClassWarlockSpellcastingTitle	Warlock Pact Magic
Feature/&ClassWarlockToolsProficiencyDescription	You have been trained to brew herbal remedies and use enchanting equipment
Feature/&ClassWarlockToolsProficiencyTitle	Warlock Magical Crafting
Feature/&ClassWarlockWeaponProficiencyDescription	Simple Weapons
Feature/&ClassWarlockWeaponProficiencyTitle	Warlock Weapon Proficiencies
Feature/&CounterStrikePowerDescription	Spend a gambit die and Counter Strike the enemy, if you hit, do an additional 1d6+2 bludgeoning damage
Feature/&CounterStrikePowerTitle	Counter Strike
Feature/&DevilsSightDescription	You can see normally in Darkness, both magical and nonmagical, to a distance of 120 feet.
Feature/&DevilsSightTitle	Devil's Sight
Feature/&DH_BlinkDescription	As a bonus action, you vanish from your current plane of existence, preventing all damage. At the start of your next turn, you return to the space you vanished from
Feature/&DH_BlinkTitle	Blink
Feature/&DH_FadeIntoTheVoidDescription	When you are reduced to 0 hit points but not killed outright, you drop to 1 hit point instead as you briefly fade into the void to lessen the damage. You can't use this feature again until you finish a long rest
Feature/&DH_FadeIntoTheVoidTitle	Fade Into The Void
Feature/&DH_RiftCloakDescription	Your control of rift portals has increased to the point than you can now grant the protection of the rift to others. You can cast warding bond at will (without the sharing of damage)
