ActionAffinity/&DHFeeblemindSpellDescription	Incapable de lancer des sorts
Feat/&MoonlitBonusCantripsDescription	Votre contrôle de la lumière lunaire a augmenté au point que vous pouvez lancer Rayon de Lune et Feu de Fée à volonté.
Feat/&MoonlitBonusCantripsTitle	Contrôle de la lumière
Feat/&PickPocketFeatDescription	Vous gagnez une compétence en Voltige, ou une expertise si vous la maîtrisez déjà. Vous avez également l'avantage sur les tests de dextérité de ce type.
Feat/&PickPocketFeatTitle	Pickpocket
Feat/&PowerAlchemistEmboldeningShotsDescription	Vous gagnez la capacité d'administrer un élixir qui enhardit vos alliés, leur procurant 4d6+modificateur d'intelligence points de vie temporaires.
Feat/&PowerAlchemistEmboldeningShotsTitle	Tirs d'enhardissement
Feat/&PowerAlchemistGreaterRestorativeElixirsDescription	Une fois par jour, vous pouvez lancer Restauration supérieure
Feat/&PowerAlchemistGreaterRestorativeElixirsTitle	Greater Restoration
Feat/&PowerAlchemistHealElixirsDescription	Une fois par jour, vous pouvez lancer Guérison
Feat/&PowerAlchemistHealElixirsTitle	Guérison
Feat/&PowerAlchemistRestorativeElixirsDescription	Vous pouvez lancer Lesser Rotation sans dépenser un emplacement de sort. Vous pouvez le faire un nombre de fois par repos long égal à votre modificateur d'intelligence.
Feat/&PowerAlchemistRestorativeElixirsTitle	Élixirs de restauration
Feat/&PowerAttackFeatDescription	Vous avez appris à troquer la précision contre des coups plus violents ou plus durs. Vous pouvez choisir de subir une pénalité de -{0} à votre capacité de toucher afin de faire plus de dégâts (+{0} dégâts pour les armes à une main, +{1} dégâts pour les armes à deux mains). Une fois activée, elle dure tout le tour. Fonctionne avec les armes de mêlée et à distance.
Feat/&PowerAttackFeatTitle	Attaque de puissance
Feat/&PowerFalseLifeFromFeatDescription	En vous renforçant avec un fac-similé de vie nécromantique, vous gagnez 1d4+4 points de vie temporaires pour la durée.
Feat/&PowerFalseLifeFromFeatTitle	Fausse vie
Feat/&PowerInflictWoundsFromFeatDescription	Effectuez une attaque de sort en mêlée contre une créature que vous pouvez atteindre. En cas de succès, la cible subit 3d10 points de dégâts nécrotiques.
Feat/&PowerInflictWoundsFromFeatTitle	Infliger des blessures
Feat/&PowerInvisibilityFromFeatDescription	Une créature que vous touchez devient Invisible jusqu'à la fin du sort. Tout ce que la cible porte ou transporte est Invisible tant qu'il est sur la personne de la cible. Le sort prend fin pour une cible qui attaque ou lance un sort.
Feat/&PowerInvisibilityFromFeatTitle	Invisibilité
Feat/&PowerMistyStepFromFeatDescription	Brièvement entouré d'une brume argentée, vous vous téléportez jusqu'à 10 mètres dans un espace inoccupé que vous pouvez voir.
Feat/&PowerMistyStepFromFeatTitle	Pas brumeux
Feat/&PowerShadowTouchedFromFeatDescription	Apprenez à lancer les sorts Invisibilité, Fausse vie, et Infliger des blessures.
Feat/&PowerShadowTouchedFromFeatTitle	Apprenez les sorts Invisibilité, Fausse vie et Infliger des blessures.
Feat/&ProfChefTreatActionDescription	Mangez une friandise comme action bonus et gagnez 5 points de vie temporaires.
Feat/&ProfChefTreatActionTitle	Manger une friandise du chef
Feat/&ProfChefTreatCookDescription	Passez une heure à cuisiner des friandises qui, une fois mangées, rapportent 5 points de vie temporaires.
Feat/&ProfChefTreatCookTitle	Cuisiner une friandise du chef
Feat/&ProfChefTreatDescription	Mangez une friandise en tant qu'action bonus et gagnez 5 points de vie temporaires.
Feat/&ProfChefTreatTitle	Gâterie du chef
Feat/&ProfHealerMedicineDescription	Gagnez de la compétence en médecine, ou de l'expertise si vous êtes déjà compétent.
Feat/&ProfHealerMedicineTitle	Connaissance de la médecine
Feat/&ProtectorConstructAttackDescription	Mêlée 1d10 dégâts de force de la construction protectrice
Feat/&ProtectorConstructAttackTitle	Rendu de Force
Feat/&ProtectorConstructDescription	Il est amical envers vous et vos compagnons, et il obéit à vos ordres.
Feat/&ProtectorConstructDescription_5	Amélioration de la construction protectrice
Feat/&ProtectorConstructLevel15AutopreparedSpellsDescription	Construction protectrice Sorts préparés automatiquement
Feat/&ProtectorConstructLevel15AutopreparedSpellsTitle	Construction protectrice Sorts préparés automatiquement
Feat/&ProtectorConstructLevel3AutopreparedSpellsDescription	Construction de protection Sorts automatiques
Feat/&ProtectorConstructLevel3AutopreparedSpellsTitle	Protector Construct Sorts automatiques
Feat/&ProtectorConstructTitle	Construction de protecteur
Feat/&ProtectorConstructTitle_5	Amélioration de la structure protectrice
Feat/&RecklessFuryFeatDescription	Vous gagnez la capacité d'entrer en fureur pendant une minute une fois par jour (notez qu'il n'y a pas de restriction d'armure), et vous pouvez attaquer de façon téméraire en gagnant un avantage sur vos attaques de mêlée tout en donnant un avantage à vos attaquants jusqu'à votre prochain tour.
Feat/&RecklessFuryFeatTitle	Fureur téméraire
Feat/&ResummonArtilleryConstruct_03Title	Réveiller la construction d'artillerie 1
Feat/&ResummonArtilleryConstruct_09Title	Invoquer à nouveau la construction d'artillerie 2
Feat/&ResummonArtilleryConstruct_15Title	Resummon Artillery Construct 3
Feat/&ResummonArtilleryConstructDescription	Ce sort permet au bricoleur de rappeler une construction d'artillerie dans l'un des nombreux modes après l'expiration de l'invocation initiale. La construction invoquée à nouveau dure également 1 heure.
Feat/&RetributionDescription	La construction inflige des dégâts de 1D4 + Int lorsqu'elle est attaquée.
Feat/&RetributionTitle	Rétribution
Feat/&ScoutSentinelFeatureSet_level03Description	<size=17><color=#add8e6ff>Apprendre les sorts de Sentinelle scoute</color></size>\nNiveau 3 : Missile magique, Onde de tonnerre\nNiveau 5 : Flou, Éclat\niveau 9 : Éclair, Motif hypnotique\nNiveau 13 : Bouclier de feu, Invisibilité accrue\nNiveau 17 : Porte dimensionnelle, Mur de vent, Mur de feu\n\n<size=17><color=#add8e6ff>Multiples fonctions de l'armure</color></size>\nVous pouvez passer d'un mode de fonction à l'autre une fois par jour en créant et en utilisant des armes temporaires\n<size=17><color=#add8e6ff>Mode Sentinelle</color></size>\nGagne un nombre limité de HP temporaires en fonction du niveau. Impose un désavantage aux ennemis qui attaquent les alliés. \n\n<size=17><color=#add8e6ff>Mode Scout</color></size>\nGagne un déplacement accru, un avantage de furtivité et une attaque à distance qui inflige un dé supplémentaire de dégâts une fois par tour. \N\N<size=17><color=#add8e6ff>Caractéristiques</color></size>\NVous pouvez utiliser les armes de l'armure comme cible pour vos sorts\NL'armure lourde n'a pas de condition de force\NVous gagnez la compétence en outils de forgeron et en armure lourde.
Feat/&ScoutSentinelFeatureSet_level03Title	Éclaireur Sentinelle
Feat/&ScoutSentinelFeatureSet_level05Description	<size=17><color=#add8e6ff>Attaque supplémentaire</color></size>\nVous pouvez attaquer une fois de plus, par tour de combat, lorsque vous utilisez les actions attaque ou poussée.
Feat/&ScoutSentinelFeatureSet_level05Title	Éclaireur Sentinelle
Feat/&ScoutSentinelFeatureSet_level09Description	<size=17><color=#add8e6ff>Extra Infusion Slots</color></size>\nVous gagnez des emplacements d'infusion supplémentaires, à utiliser sur une armure.
Feat/&ScoutSentinelFeatureSet_level09Title	Sentinelle scoute
Feat/&ScoutSentinelFeatureSet_level15Description	<size=17><color=#add8e6ff>Mode Sentinelle amélioré</color></size>\nPeut désormais attirer les ennemis à portée de mêlée avec une action bonus et infliger 1D8 dégâts de tonnerre via le pouvoir Grappin de gantelet\n<size=17><color=#add8e6ff>Mode Éclaireur amélioré</color></size>\nPeut désormais créer un avantage pour les alliés et un désavantage pour les ennemis avec une seule attaque.
Feat/&ScoutSentinelFeatureSet_level15Title	Sentinelle scoute
Feat/&SelfDestructDescription	Autodestruction et jet de sauvegarde de Dex pour 3D8 dégâts de force dans un rayon de 3 mètres.
Feat/&SelfDestructTitle	Autodestruction
Feat/&SelfRepairDescription	Guérison de 2D8 HP, 3 fois par jour
Feat/&SelfRepairTitle	Auto-réparation
Feat/&SubclassMovementDescription	Les armures lourdes n'ont pas besoin de force.
Feat/&SubclassMovementTitle	Immunité aux armures lourdes
Feat/&SubclassProficienciesDescription	Vous gagnez la maîtrise des outils de forgeron et des armures lourdes.
Feat/&SubclassProficienciesTitle	Compétences de sous-classe
Feat/&SummonArtificialServantDescription	Le serviteur est amical envers vous et vos compagnons, et il obéit à vos ordres.
Feat/&SummonArtificialServantTitle	Invoquer un serviteur artificiel
Feat/&SummonArtilleryConstructDescription	Le blaster crée et commande une construction d'artillerie dans l'un des nombreux modes. Les HP de la construction augmentent avec le niveau de l'invocateur et peuvent être invoqués gratuitement pendant 1 heure une fois par jour. La construction peut être invoquée à nouveau avec un sort de 1er niveau. Les trois modes sont : \n<color=#add8e6ff>Construction dôme protecteur:</color>\nGagne 1D8 + 4 HP temporaires aux alliés dans un rayon de 3 m \n<color=#add8e6ff>Construction artillerie de feu : </color>\nCrée un cône de feu qui inflige 2D8 points de dégâts en cas d'échec à la sauvegarde de Dex\n<color=#add8e6ff>Construction d'artillerie de force:</color>\nImprime 2D8 points de dégâts de force et repousse l'ennemi à 5ft.
Feat/&SummonArtilleryConstructlevel09Description	Une nouvelle fonction a été ajoutée. La construction d'artillerie peut s'autodétruire en infligeant 3D8 points de dégâts de force en cas d'échec de la sauvegarde. \De plus, les jets de dégâts de l'artillerie de flamme et de force augmentent de 1D8 pour atteindre un total de 3D8.
Feat/&SummonArtilleryConstructlevel09Title	Amélioration de la construction d'artillerie : autodestruction
Feat/&SummonArtilleryConstructlevel15Description	Une nouvelle fonction a été ajoutée. La construction d'artillerie offre désormais une demi-couverture aux alliés situés dans un rayon de 3 m. <size=17><color=#add8e6ff>Modification de la construction d'artillerie : renforts</color></size>\nVous pouvez désormais invoquer deux constructions d'artillerie. Les constructions peuvent être de même type ou de type différent.
Feat/&SummonArtilleryConstructlevel15Title	Amélioration des constructions d'artillerie : Dôme à demi-couvert
Feat/&SummonArtilleryConstructTitle	Invoquer une construction d'artillerie
Feat/&SummonProtectorConstructDescription	Votre propre compagnon de combat est prêt à vous défendre et à attaquer vos ennemis. La construction protectrice peut se réparer elle-même 3 fois par jour et imposer un désavantage aux attaques des alliés.
Feat/&SummonProtectorConstructDescription_2	Invoquer une construction protectrice - Amélioration
Feat/&SummonProtectorConstructDescription_Upgrade	Invoquer une construction protectrice - Amélioration
Feat/&SummonProtectorConstructTitle	Summon Protector Construct
Feat/&SummonProtectorConstructTitle_2	Invoquer le protecteur Upgrade
Feat/&SummonProtectorConstructTitle_Upgrade	Invoquer une construction de protection - Amélioration
Feat/&TempHPShieldConstructDescription	Confère 1D8 + 4 PV temporaires aux alliés dans un rayon de 3 m.
Feat/&TempHPShieldConstructTitle	Construct Dôme protecteur
Feat/&TempHPShieldConstructTitle_3	Dôme protecteur
Feat/&TempHPShieldConstructTitle_5	Construction d'un dôme protecteur
Feat/&TempHPShieldDescription	Confère 1D8 + 4 HP temporaires aux alliés situés dans un rayon de 3 mètres.
Feat/&ThunderShieldDescription	Bouclier défensif fournit HP Temp x niveau. 5 fois par jour
Feat/&ThunderShieldTitle	Bouclier du tonnerre
Feat/&TinkererConstructFamilyDescription	Créé par Tinker
Feat/&TinkererConstructFamilyTitle	Construction du rétameur
Feat/&TorchbearerDescription	Vous êtes habile dans l'utilisation d'une torche au combat. Une fois par tour, comme action bonus, vous pouvez choisir d'utiliser une source de lumière que vous avez équipée pour tenter d'enflammer un ennemi que vous pouvez toucher. Votre cible doit réussir un jet de sauvegarde de Dextérité ou subir 1d4 dégâts de feu par tour pendant 1 minute ou jusqu'à ce qu'elle soit éteinte. La valeur de ce jet de sauvegarde dépend de votre bonus de Dextérité et de compétence.
Feat/&TorchbearerTitle	Porteur de flambeau
Feat/&UseArmorWeaponsAsFocusDescription	Vous pouvez utiliser les armes de l'armure comme cible de vos sorts.
Feat/&UseArmorWeaponsAsFocusTitle	Focalisation des sorts
Feat/&UsingitemPowerDescription	Permet d'utiliser la puissance des armes en action bonus.
Feat/&UsingitemPowerTitle	Utiliser la puissance de l'arme
Feature/&AdditionalActionDualFlurryDescription	Vous pouvez effectuer une attaque à main levée supplémentaire.
Feature/&AdditionalActionDualFlurryTitle	Double Flurry !
Feature/&AdditionalDamageAgonizingBlastDescription	Vous ajoutez votre modificateur de Cha au premier jet de dégâts d'une attaque Eldritch Blast.
Feature/&AdditionalDamageAgonizingBlastTitle	Souffle agonisant
Feature/&AdditionalDamageFeatShadySneakAttackDescription	Une fois par tour, vous pouvez infliger 1d6 points de dégâts supplémentaires à une créature que vous touchez avec une attaque qui répond à l'Attaque sournoise du Rogue. Au 7e niveau, ces dégâts passent à 2d6 et au 14e niveau à 3d6. Ceci peut s'empiler avec l'attaque sournoise de Rogue.
Feature/&AdditionalDamageFeatShadySneakAttackTitle	Attaque sournoise ombrageuse
Feature/&AdditionalDamageHinderingBlastDescription	Lorsque vous touchez une créature avec votre souffle eldritch, vous pouvez réduire la vitesse de cette créature de 3 mètres jusqu'à la fin de votre prochain tour.
Feature/&AdditionalDamageHinderingBlastTitle	Souffle gênant
Feature/&AgonizingBlastFeatureSetDescription	Lorsque vous lancez un sort utilisant des dégâts de force (souffle eldritch), ajoutez votre modificateur de Charisme aux dégâts qu'il inflige en cas de succès.
Feature/&AgonizingBlastFeatureSetTitle	Souffle agonisant
Feature/&AHSoulBladeEmpowerDamageBonusDescription	Vous êtes doté de pouvoirs et infligez un bonus de dégâts égal à votre compétence sur toutes vos attaques.
Feature/&AHSoulBladeEmpowerWeaponConditionDescription	Vous êtes doté de pouvoirs et infligez un bonus de dégâts égal à votre compétence à toutes vos attaques.
Feature/&AHSoulBladeEmpowerWeaponConditionTitle	Soul Empowered
Feature/&AHSoulBladeEmpowerWeaponDamageBonusDescription	Vous êtes doté de pouvoirs et infligez un bonus de dégâts égal à votre compétence à toutes vos attaques.
Feature/&AHSoulBladeEmpowerWeaponDamageBonusTitle	Âme surpuissante
Feature/&AHSoulBladeSummonPactWeaponPowerDescription	Une fois par repos court, vous pouvez invoquer une forme spirituelle d'une arme de votre pacte par une action libre. Comme action bonus, vous pouvez diriger l'arme comme vous le souhaitez pour attaquer vos ennemis. L'arme se déplace à chaque fois de 6 mètres avant de frapper.
Feature/&AHSoulBladeSummonPactWeaponPowerTitle	Arme du pacte spirituel
Feature/&AHWarlockClassPactBoonSetDescription	Au 3e niveau, votre patron d'un autre monde vous offre un cadeau pour vos loyaux services. Vous pouvez choisir entre :
Feature/&AHWarlockClassPactBoonSetTitle	Bonté du pacte
Feature/&AHWarlockClassPactOfTheBladeSetDescription	Vous devenez compétent avec toutes les armes et vos attaques d'armes sont considérées comme magiques.
Feature/&AHWarlockClassPactOfTheBladeSetTitle	Pacte de la Lame
Feature/&AHWarlockSoulBladePactEmpowerWeaponPowerDescription	Une fois par repos court, vous pouvez donner à une arme le pouvoir des âmes pendant une minute, votre arme s'illumine sur 6 mètres de lumière vive et 6 mètres de lumière faible et vous ajoutez votre charisme à vos chances de succès. De plus, toutes vos attaques ajoutent votre bonus de compétence en dégâts pour la durée.
Feature/&AHWarlockSoulBladePactEmpowerWeaponPowerTitle	Pouvoir de l'âme
