ActionAffinity/&DHFeeblemindSpellDescription	Incapaz de lançar feitiços
Feat/&PowerInvisibilityFromFeatTitle	Invisibilidade
Feat/&PowerMistyStepFromFeatDescription	Brevemente rodeado de névoa prateada, você se teletransporta até 30 pés para um espaço desocupado que você pode ver.
Feat/&PowerMistyStepFromFeatTitle	Degrau enevoado
Feat/&PowerShadowTouchedFromFeatDescription	Aprenda a lançar os feitiços Invisibilidade, Falsa Vida e Feridas de Inflição.
Feat/&PowerShadowTouchedFromFeatTitle	Aprenda a Invisibilidade, Vida Falsa e Feridas Infligidas
Feat/&ProfChefTreatActionDescription	Coma uma guloseima como uma ação bônus e ganhe 5 pontos de sucesso temporários.
Feat/&ProfChefTreatActionTitle	Coma um petisco do chef
Feat/&ProfChefTreatCookDescription	Passar uma hora para cozinhar guloseimas que, quando comidas, proporcionam 5 pontos de sucesso temporários.
Feat/&ProfChefTreatCookTitle	Tratar do cozinheiro
Feat/&ProfChefTreatDescription	Coma como uma ação bônus e ganhe 5 pontos de sucesso temporários.
Feat/&ProfChefTreatTitle	Tratamento do Chef
Feat/&ProfHealerMedicineDescription	Ganhe Proficiência em Medicina, ou Especialização se você já é proficiente.
Feat/&ProfHealerMedicineTitle	Conhecimento em Medicina
Feat/&ProtectorConstructAttackDescription	Melee 1d10 força danos da construção do protetor
Feat/&ProtectorConstructAttackTitle	Força de Tenda
Feat/&ProtectorConstructDescription	É amigável para você e seus companheiros, e obedece às suas ordens
Feat/&ProtectorConstructDescription_5	Atualização do Protector Construct
Feat/&ProtectorConstructLevel15AutopreparedSpellsDescription	Protector Constructora Constrói AutopreparedSpells
Feat/&ProtectorConstructLevel15AutopreparedSpellsTitle	Protector Constructora Constrói AutopreparedSpells
Feat/&ProtectorConstructLevel3AutopreparedSpellsDescription	Protector Constructora Constrói AutopreparedSpells
Feat/&ProtectorConstructLevel3AutopreparedSpellsTitle	Protector Constructora Constrói AutopreparedSpells
Feat/&ProtectorConstructTitle	Construtor Protetor
Feat/&ProtectorConstructTitle_5	Atualização do Protector Construct
Feat/&RecklessFuryFeatDescription	Você ganha a capacidade de entrar em fúria por um minuto uma vez por dia (note que não há restrição de armaduras), e pode atacar imprudentemente ganhando vantagem em seus ataques corpo a corpo enquanto dá vantagem a seus atacantes até sua próxima vez.
Feat/&RecklessFuryFeatTitle	Fúria sem medo
Feat/&ResummonArtilleryConstruct_03Title	Resummon Artillery Construct 1
Feat/&ResummonArtilleryConstruct_09Title	Resummon Artillery Construct 2
Feat/&ResummonArtilleryConstruct_15Title	Resummon Artillery Construct 3
Feat/&ResummonArtilleryConstructDescription	Este feitiço permite ao funileiro retomar uma Construção de Artilharia em um dos vários modos após o término da convocação inicial. A construção resumida também dura 1 hora.
Feat/&RetributionDescription	Construir danos 1D4 + Int quando atacado
Feat/&RetributionTitle	Retribuição
Feat/&ScoutSentinelFeatureSet_level03Description	<tamanho=17><color=#add8e6ff>Learn Scout Sentinel Spells</cor></tamanho>>nível 3: Míssil Mágico, Onda de Trovão Nível 5: Borrão, Desfocagem Nível 9: Parafuso Relâmpago, Padrão Hipnótico Nível 13: Escudo de Fogo, Maior Invisibilidade Nível 17: Dimensão Porta, Parede de Vento, Parede de Fogo Tamanho=17>#add8e6ff>Multiplas Funções da Armadura</cor>## tamanho>#nVocê pode alternar entre os modos funcionais uma vez por dia, criando e usando armas temporárias=n<tamanho=17># cor=#add8e6ff>Modo Sentinela</cor>#/tamanho>#nGanhe um número limitado de HP temporários com base no nível. Impor desvantagem aos inimigos que atacam os aliados. Tamanho=17> cor=#add8e6ff>Scout Mode</cor>## tamanho>#nGanhe maior movimento, vantagem de furtividade e um ataque à distância que lida com um dado extra de dano uma vez por vez. \Tamanho = 17 cor = 8e6ff Características = cor = tamanho = 1. Você pode usar as armas da armadura como um foco soletrador para seus feitiços.
Feat/&ScoutSentinelFeatureSet_level03Title	Sentinela Escoteira
Feat/&ScoutSentinelFeatureSet_level05Description	<tamanho=17><color=#add8e6ff>Extra Attack</cor></tamanho>\n Você pode atacar mais uma vez, por turno de combate, quando usar o ataque ou empurrar ações
Feat/&ScoutSentinelFeatureSet_level05Title	Sentinela Escoteira
Feat/&ScoutSentinelFeatureSet_level09Description	<tamanho=17><color=#add8e6ff>Extra Infusion Slots</cor></tamanho>\nVocê ganha slots de infusão extras, deve ser usado em armadura
Feat/&ScoutSentinelFeatureSet_level09Title	Sentinela Escoteira
Feat/&ScoutSentinelFeatureSet_level15Description	<tamanho=17><color=#add8e6ff>Modo Sentinela Melhorado</cor></tamanho>\nCanpodem agora puxar os inimigos para dentro do alcance melee com uma ação bônus e infligir danos de 1D8 através do Gauntlet Grapple power\n<tamanho=17><color=#add8e6ff>Modo Escoteiro Melhorado</cor></tamanho>\nCanpodem agora criar vantagem para os aliados e desvantagem para os inimigos com um único ataque
Feat/&ScoutSentinelFeatureSet_level15Title	Sentinela Escoteira
Feat/&SelfDestructDescription	Autodestruição e forçar um lançamento de salvamento Dex para danos por força 3D8 dentro de 10 pés
Feat/&SelfDestructTitle	Autodestruição
Feat/&SelfRepairDescription	Curar 2D8 HP, 3 vezes por dia
Feat/&SelfRepairTitle	Auto-Reparo
Feat/&SubclassMovementDescription	A armadura pesada não tem um requisito de força
Feat/&SubclassMovementTitle	Imunidade a armaduras pesadas
Feat/&SubclassProficienciesDescription	Você ganha proficiência em ferramentas de ferreiro e armadura pesada
Feat/&SubclassProficienciesTitle	Proficiências de subclasse
Feat/&SummonArtificialServantDescription	O servo é amigável com você e seus companheiros, e obedece às suas ordens.
Feat/&SummonArtificialServantTitle	Invocar o Servo Artificial
Feat/&SummonArtilleryConstructDescription	O Explosivo cria e comanda uma Construção de Artilharia em um de vários modos. O HP da construção aumenta com seus níveis de convocadores e pode ser convocado gratuitamente por 1 hora uma vez por dia. A construção pode ser retomada através de um feitiço de 1º nível. Os três modos são : \n<color=#add8e6ff>Protecting Dome Construct:</color>\nGrants 1D8 + 4 HP temporários para aliados dentro de 10ft \n<color=#add8e6ff>Flame Artillery Construct: </color>\nCria um cone de fogo que trata de danos 2D8 em um Dex save\n<color=#add8e6ff>Force Artillery Construct:</color>\nDeals 2D8 force damage and pusts enemy 5ft away.
Feat/&SummonArtilleryConstructlevel09Description	Uma nova função foi adicionada. A Artillery Construct pode destruir a si mesma lidando com danos por força 3D8 em um salvamento falhado. \nAdicionalmente, tanto a chama quanto os rolos de dano de Artilharia de Força aumentam em 1D8 para um total de 3D8
Feat/&SummonArtilleryConstructlevel09Title	Atualização da construção de artilharia : Autodestruição
Feat/&SummonArtilleryConstructlevel15Description	Uma nova função foi acrescentada. A Artillery Construct agora fornece metade da cobertura aos aliados dentro de 10ft \n<size=17>>color=#add8e6ff>Artillery Construct Upgrade : Reforços</cor></tamanho>\n Agora você pode convocar duas Artillery Constructs. As construções podem ser do mesmo modo ou de modos diferentes.
Feat/&SummonArtilleryConstructlevel15Title	Modernização da Construção de Artilharia : Cúpula de Meia Capa
Feat/&SummonArtilleryConstructTitle	Invocação da construção de artilharia
Feat/&SummonProtectorConstructDescription	Seu próprio Battle Buddy está pronto para defendê-lo e atacar os inimigos. O Protector Construct pode Auto-Reparar 3 vezes ao dia e pode impor desvantagens aos ataques aos aliados
Feat/&SummonProtectorConstructDescription_2	Invocar a atualização do Protetor Construtor
Feat/&SummonProtectorConstructDescription_Upgrade	Invocar a atualização do Protetor Construtor
Feat/&SummonProtectorConstructTitle	Invocar o Protetor Construtor
Feat/&SummonProtectorConstructTitle_2	Invocar a atualização do Protetor Construtor
Feat/&SummonProtectorConstructTitle_Upgrade	Invocar a atualização do Protetor Construtor
Feat/&TempHPShieldConstructDescription	Concede 1D8 + 4 HP temporários aos aliados dentro de 10 pés.
Feat/&TempHPShieldConstructTitle	Proteção da Construção da Cúpula
Feat/&TempHPShieldConstructTitle_3	Proteção da Construção da Cúpula
Feat/&TempHPShieldConstructTitle_5	Proteção da Construção da Cúpula
Feat/&TempHPShieldDescription	Fornecer 1D8 + 4 TempHP aos aliados dentro de 10 pés
Feat/&ThunderShieldDescription	O escudo denfensivo fornece nível x de TempHP. 5 vezes por dia
Feat/&ThunderShieldTitle	Escudo contra trovões
Feat/&TinkererConstructFamilyDescription	Criado por Tinkerer
Feat/&TinkererConstructFamilyTitle	Tinkerer Construct
Feat/&TorchbearerDescription	Você é hábil no uso de uma tocha em batalha. Uma vez por vez, como ação bônus, você pode optar por usar uma fonte de luz que tenha equipado para tentar incendiar um inimigo que você possa tocar. Seu alvo deve ser bem sucedido em um lançamento salvador de destreza ou sofrer danos de fogo 1d4 por turno durante 1 minuto ou até ser extinto. O DC dessa economia é baseado em seu Bônus de Destreza e Proficiência.
Feat/&TorchbearerTitle	Carregador de tocha
Feat/&UseArmorWeaponsAsFocusDescription	Você pode usar as armas da armadura como um foco de soletração para seus feitiços
Feat/&UseArmorWeaponsAsFocusTitle	Foco em fundição ortográfica
Feat/&UsingitemPowerDescription	Permite que o poder das armas seja usado em ações bônus
Feat/&UsingitemPowerTitle	Usar a energia das armas
Feature/&AdditionalActionDualFlurryDescription	Você pode fazer um ataque adicional fora de mão.
Feature/&AdditionalActionDualFlurryTitle	Flurry duplo!
Feature/&AdditionalDamageAgonizingBlastDescription	Você adiciona seu modificador Cha ao primeiro ataque de um Eldritch Blast de rolo
Feature/&AdditionalDamageAgonizingBlastTitle	Explosão agonizante
Feature/&AdditionalDamageFeatShadySneakAttackDescription	Uma vez por vez, você pode lidar com um dano extra de 1d6 a uma criatura que você atinge com um ataque que encontra o Rogue's Sneak Attack. No 7º nível, este dano aumenta para 2d6 e no 14º nível para 3d6. Isto pode ser empilhado com o Rogue's Sneak Attack.
Feature/&AdditionalDamageFeatShadySneakAttackTitle	Ataque Sneak Sneak Sneak Shady
Feature/&AdditionalDamageHinderingBlastDescription	Quando você atinge uma criatura com sua explosão de eldritch, você pode reduzir a velocidade dessa criatura em 3 metros até o final de sua próxima curva
Feature/&AdditionalDamageHinderingBlastTitle	Dificultando a explosão
Feature/&AgonizingBlastFeatureSetDescription	Quando você lança um feitiço usando dano por força (explosão de eldritch), adicione seu modificador de Carisma ao dano que ele trata em um golpe.
Feature/&AgonizingBlastFeatureSetTitle	Explosão agonizante
Feature/&AHSoulBladeEmpowerDamageBonusDescription	Você está habilitado e faz um bônus de dano igual à sua proficiência em todos os seus ataques.
Feature/&AHSoulBladeEmpowerWeaponConditionDescription	Você tem poder e faz um bônus de dano igual à sua proficiência em todos os seus ataques.
Feature/&AHSoulBladeEmpowerWeaponConditionTitle	Alma capacitada
Feature/&AHSoulBladeEmpowerWeaponDamageBonusDescription	Você está habilitado e faz um bônus de dano igual à sua proficiência em todos os seus ataques.
Feature/&AHSoulBladeEmpowerWeaponDamageBonusTitle	Alma capacitada
Feature/&AHSoulBladeSummonPactWeaponPowerDescription	Uma vez por breve descanso você pode invocar uma forma espiritual de arma de seu pacto como uma ação livre. Como ação bônus, você pode direcionar a arma conforme seu desejo para atacar seus inimigos. A arma se move até 20 pés de cada vez antes de atacar.
Feature/&AHSoulBladeSummonPactWeaponPowerTitle	Arma do pacto espiritual
Feature/&AHWarlockClassPactBoonSetDescription	No terceiro nível, seu outro patrono mundial lhe dá um presente por seu leal serviço. Você pode escolher entre eles:
Feature/&AHWarlockClassPactBoonSetTitle	Pacto
Feature/&AHWarlockClassPactOfTheBladeSetDescription	Você se torna proficiente com todas as armas e seus ataques com armas são considerados mágicos.
Feature/&AHWarlockClassPactOfTheBladeSetTitle	Pacto da Lâmina
Feature/&AHWarlockFiendPactDarkOnesBlessingPowerDescription	Começando no 1º nível, quando você reduz uma criatura hostil a 0 pontos de golpe***, você ganha pontos de golpe temporários iguais ao seu modificador de Carisma + seu nível de mago (mínimo de 1). \Nota Mod - Isto acrescenta um poder de vontade livre para adicionar estes HP Temp que você terá que usar manualmente quando você derrubar/mata um inimigo.
Feature/&AHWarlockFiendPactDarkOnesBlessingPowerTitle	A bênção do escuro
Feature/&AHWarlockFiendPactDarkOnesOwnLuckDescription	Você ganha um uso indomável uma vez por dia (Escolha para voltar a lançar com economia se você falhar). (Não corresponde à SRD, mas exigiria uma capacidade de reação totalmente nova para imitar a SRD).
Feature/&AHWarlockFiendPactDarkOnesOwnLuckTitle	A Própria Sorte do Escuro
Feature/&AHWarlockFiendPactExtendedSpellListDescription	O Fiend lhe permite escolher entre uma lista expandida de feitiços quando você aprende um feitiço de mago. Os seguintes feitiços são adicionados à lista de feitiços de mago para você. \Nível 1: Mãos ardentes, Bane Nível 2: Cegueira, Raio Escaldante Nível 3: Bola de fogo, Nuvem fedorenta Nível 4: Escudo de fogo, Parede de fogo Nível 5: Ataque de chama, Fogo de Conjugação Elemental
Feature/&AHWarlockFiendPactExtendedSpellListTitle	Fiend expandiu a lista de feitiços
Feature/&AHWarlockFiendPactFiendishResilienceDescription	Você ganha resistência aos danos causados pelo fogo. (Não é o mesmo que SRD - acredito que a implementação adequada exigiria um poder para cada tipo de dano com um pool de recursos compartilhado, pois não parece haver uma maneira de agrupar escolhas de poder como feitiços neste momento).
Feature/&AHWarlockFiendPactFiendishResilienceTitle	Resiliência Fiendish
Feature/&AHWarlockFiendPactSpellListDescription	O Fiend lhe permite escolher entre uma lista expandida de feitiços quando você aprende um feitiço de mago. Os seguintes feitiços são adicionados à lista de feitiços de mago para você. \Nível 1: Mãos ardentes, Bane Nível 2: Cegueira, Raio Escaldante Nível 3: Bola de fogo, Nuvem fedorenta Nível 4: Escudo de fogo, Parede de fogo Nível 5: Ataque de chama, Fogo de Conjugação Elemental
Feature/&AHWarlockFiendPactSpellListTitle	Fiend expandiu a lista de feitiços
Feature/&AHWarlockSoulBladePactEmpowerWeaponPowerDescription	Uma vez por breve descanso, você pode dar poder a uma arma com o poder das almas por um minuto, sua arma acende por 20 pés de luz brilhante e 20 pés de luz fraca e você acrescenta seu carisma ao seu para acertar. Além disso, todos os seus ataques acrescentam seu bônus de proficiência em danos durante o período de duração.
Feature/&AHWarlockSoulBladePactEmpowerWeaponPowerTitle	Poder da Alma
Feature/&AHWarlockSoulBladePactExtendedSpellListDescription	A lâmina da Alma permite que você escolha a partir de uma lista expandida de feitiços quando aprender um feitiço de mago. Os seguintes feitiços são adicionados à lista de feitiços de mago para você. \Nível 1: Escudo, Vida Falsa Nível 2: Borrão, Feitiço de Marca Nível 3: Pressa, Lento Nível 4: Assassino Fantasma, Tentáculos Negros Nível 5: Cone de Frio, Torção da Mente
Feature/&AHWarlockSoulBladePactExtendedSpellListTitle	Feitiços da Lâmina da Alma
Feature/&AHWarlockSoulBladePactSoulShieldPowerDescription	Uma vez por breve descanso você usa o poder das almas para se defender. Usando uma ação bônus, você ganha um hp temporário igual ao seu nível + modificador de carisma.
Feature/&AHWarlockSoulBladePactSoulShieldPowerTitle	Escudo de alma
Feature/&AHWarlockSoulBladePactSpellListDescription	A lâmina da Alma permite que você escolha a partir de uma lista expandida de feitiços quando aprender um feitiço de mago. Os seguintes feitiços são adicionados à lista de feitiços de mago para você. \Nível 1: Escudo, Vida Falsa Nível 2: Borrão, Feitiço de Marca Nível 3: Pressa, Lento Nível 4: Assassino Fantasma, Tentáculos Negros Nível 5: Cone de Frio, Torção da Mente
